marker_set,best_cluster,best_AUROC
116,Ex_Ccn3_Fezf2_Ptprc_3,0.9933691851017532
2523,Ex_Ccn3_Fezf2_Vgll3_1,0.9176955722288112
3458,Ex_Ccn3_Slc30a3_Dcn_1,0.9561669245651512
2987,Ex_Ccn3_Slc30a3_Grp,0.9905929486982358
432,Ex_Crym_Cldn22,0.9722722007242358
648,Ex_Crym_Csf2rb2,0.9874877001798738
1155,Ex_Crym_Cxcl12,0.961260479958294
4085,Ex_Crym_Mndal_1,0.9956645213567936
2026,Ex_Crym_Mndal_4,0.9645357844395136
63,Ex_Crym_Nuak2,0.9302684883155588
2684,Ex_Crym_Odad2_2,0.9239346618279408
4267,Ex_Crym_Odad2_3,0.9496125273843452
1990,Ex_Crym_Rgs5,0.9599932765110262
4868,Ex_Dach2_Arhgap36_2,0.9836606599204694
4862,Ex_Dach2_Arhgap36_3,0.9939237592789242
4482,Ex_Defb1_Gsta2_2,0.9489829942576776
4708,Ex_Defb1_Ldoc1_2,0.9780790392262688
4692,Ex_Defb1_Wif1,0.9923719300506632
2203,Ex_Dmrta2_Agtr1b_2,0.993634353274582
2206,Ex_Dmrta2_Arhgap36_2,0.8352295546182069
5150,Ex_Dmrta2_Chrna6_5,0.9969635893009652
2830,Ex_Dmrta2_Col6a6_3,0.9545638325019756
154,Ex_Dmrta2_Greb1_2,0.9799636383876822
2108,Ex_Dmrta2_Kcnmb1,0.9892202123605732
929,Ex_Dmrta2_Lrrc31_Th,0.9212448890089554
1403,Ex_Dsp_Atf3_1,0.9761407556700888
5212,Ex_Dsp_Atf3_2,0.9962159549640645
26,Ex_Dsp_Atf3_3,0.99140529238301
4228,Ex_Ebf2_6430628N08Rik_6,0.9998586265742334
1915,Ex_Ebf2_Abcc9_1,0.9928030836986717
1115,Ex_Ebf2_Abcc9_2,0.9717336223885256
4623,Ex_Ebf2_Adgrd1_1,0.9974027691836228
1071,Ex_Ebf2_Adgrd1_2,0.9985061575370096
3746,Ex_Ebf2_Adgrd1_3,0.9977839010897378
1407,Ex_Ebf2_C1ql2_2,0.9892530307081524
283,Ex_Ebf2_C1qtnf7_1,0.9991143970799206
5339,Ex_Ebf2_C1qtnf7_2,0.9978130844298162
5265,Ex_Ebf2_Cox8b_1,0.7676350020379253
8172,Ex_Ebf2_Cox8b_2,0.6565294840772238
4935,Ex_Ebf2_Ddit4l_1,0.99113885177967
3987,Ex_Ebf2_Ddit4l_3,0.9975272572440153
2533,Ex_Ebf2_Ddit4l_4,0.9983826677288404
3799,Ex_Ebf2_Dmrt2,0.9949903710637744
4911,Ex_Ebf2_Fam83f,0.904008126436578
1662,Ex_Ebf2_Fer1l6_1,0.9944689437385508
1829,Ex_Ebf2_Fer1l6_3,0.9956623718322426
1023,Ex_Ebf2_Fer1l6_5,0.9908423873276226
2353,Ex_Ebf2_Fzd9_1,0.9799330622818618
1705,Ex_Ebf2_Gask1b_2,0.8037902504895524
215,Ex_Ebf2_Gask1b_3,0.9997523374781352
5118,Ex_Ebf2_Glp1r_4,0.9797364962854976
4566,Ex_Ebf2_Lpar1,0.9921096098955432
3796,Ex_Ebf2_Mgp,0.9950949502800552
269,Ex_Ebf2_Nat8f6_1,0.9992463261192408
1053,Ex_Ebf2_Nat8f6_2,0.9968197190919388
2215,Ex_Ebf2_Nek11_2,0.8084422261655303
4965,Ex_Ebf2_Niban1_1,0.997614852251432
2813,Ex_Ebf2_Niban1_2,0.9988030075655152
1141,Ex_Ebf2_Nmu_1,0.9688134709490532
3911,Ex_Ebf2_Nmu_2,0.994426946252965
1265,Ex_Ebf2_Nmu_3,0.9883093903409336
4785,Ex_Ebf2_Npff_2,0.8509315978402983
4236,Ex_Ebf2_Olfr273_2,0.9998824693899968
2705,Ex_Ebf2_Olfr275,0.9742240827192892
2801,Ex_Ebf2_Pla2g5_10,0.8944388891939424
1193,Ex_Ebf2_Pla2g5_4,0.8055292295620226
34153,Ex_Ebf2_Prokr1_1,0.9714496152522822
4221,Ex_Ebf2_Prokr1_3,0.997864105715281
3914,Ex_Ebf2_Sec1_2,0.7970029254939013
1142,Ex_Ebf2_Tac2_1,0.9995931063915472
4238,Ex_Ebf2_Tac2_2,0.9902492435809636
2458,Ex_Ebf2_Tnfaip8_1,0.987691667961788
1039,Ex_Ebf2_Tnfaip8_2,0.988876620532684
314,Ex_Ebf2_Ucn3_1,0.9930665188267386
1665,Ex_Ebf2_Unc5cl,0.9767764857924044
1702,Ex_Ebf2_Vip,0.9754469136930716
2976,Ex_Ebf3_Adam33_12,0.7171962825694989
24595,Ex_Evx1_Cox4i2,0.7024801684182347
663,Ex_Evx2_Chat,0.8870860552196632
4887,Ex_Evx2_Clec9a,0.9615956677045728
4958,Ex_Evx2_Krt19,0.9950400395437716
2743,Ex_Evx2_Lmcd1_2,0.8925383070077145
1660,Ex_Evx2_Ngfr,0.981730960784812
3378,Ex_Evx2_Pdyn,0.9909890683458334
4500,Ex_Evx2_Prdm6_2,0.9858080773043252
3722,Ex_Fam163a_Adad2,0.9990757119417496
3724,Ex_Fam163a_Kcne4_2,0.9442501659978964
2526,Ex_Fam163a_Npy2r,0.9959630894746058
2962,Ex_Fam163a_Prdm6_2,0.9120811368877222
3674,Ex_Fam163a_Prdm6_3,0.8319123108795013
3108,Ex_Fbxl7_Hmga2,0.9602054309231406
770,Ex_Fbxl7_Tmem72_2,0.9442186050672352
2254,Ex_Fbxl7_Tmem72_3,0.9601446834182644
4475,Ex_Fbxo40_Kcnk5_1,0.948717578302928
14985,Ex_Fev_Kif18b,0.9998829756735196
3183,Ex_Fev_Sln,0.9917157340986524
