Zeng_cluster,Macosko_cluster,p_value,Macokso_marker_size,Zeng_marker_size
194,Ex_Ccn3_Slc30a3_Grp,1.6011123267262136e-07,4.0,4.0
481,Ex_Cyp26b1_Slc30a3_Ptprc_1,2.668352727575654e-07,4.0,5.0
4903,Ex_Dach2_Arhgap36_1,8.00606510234552e-08,3.0,4.0
4862,Ex_Dach2_Arhgap36_3,6.293581559897426e-13,3.0,3.0
422,Ex_Dcn_Grik3,2.668352727575654e-07,5.0,4.0
3510,Ex_Defb1_Arhgap36,1.2447614684668015e-06,5.0,8.0
4509,Ex_Defb1_Arhgap36,2.668352727575654e-07,5.0,4.0
4935,Ex_Defb1_Bhlhe23_1,1.6011123267262136e-07,4.0,4.0
3537,Ex_Defb1_Cnga3,8.00606510234552e-08,3.0,4.0
1722,Ex_Defb1_Ldoc1_1,2.668352727575654e-07,5.0,4.0
106,Ex_Defb1_Zic2,4.44683503322212e-07,5.0,5.0
795,Ex_Dlk1_Nms,8.00606510234552e-08,3.0,4.0
1435,Ex_Dmrta2_Bmp3_1,2.668352727575654e-07,4.0,5.0
2520,Ex_Dmrta2_Bmp3_1,8.00606510234552e-08,4.0,3.0
2356,Ex_Dmrta2_Chat_2,1.3344280981450513e-08,3.0,2.0
1643,Ex_Dmrta2_Chodl_1,4.448093660483505e-08,5.0,2.0
1143,Ex_Dmrta2_Chrna6_2,1.6011123267262136e-07,4.0,4.0
3422,Ex_Dmrta2_Col6a6_2,1.3343022265138534e-07,5.0,3.0
3612,Ex_Dmrta2_Gm7271,1.6011123267262136e-07,4.0,4.0
2200,Ex_Dmrta2_Greb1_1,8.00606510234552e-08,4.0,3.0
2213,Ex_Dmrta2_Greb1_1,2.668352727575654e-07,4.0,5.0
2362,Ex_Dmrta2_Greb1_1,8.00606510234552e-08,4.0,3.0
5001,Ex_Dmrta2_Greb1_1,4.002277374816599e-07,4.0,6.0
714,Ex_Dmrta2_Itga4,4.002277374816599e-07,4.0,6.0
2200,Ex_Dmrta2_Lhx1_3,2.0013904039551817e-07,6.0,3.0
2213,Ex_Dmrta2_Lhx1_3,6.669623325249725e-07,6.0,5.0
2362,Ex_Dmrta2_Lhx1_3,2.0013904039551817e-07,6.0,3.0
2200,Ex_Dmrta2_Lhx1_4,8.00606510234552e-08,4.0,3.0
2213,Ex_Dmrta2_Lhx1_4,2.668352727575654e-07,4.0,5.0
2362,Ex_Dmrta2_Lhx1_4,8.00606510234552e-08,4.0,3.0
2682,Ex_Dmrta2_Lhx1_5,8.00606510234552e-08,4.0,3.0
4780,Ex_Dmrta2_Lhx1_6,3.7356937936714357e-07,3.0,8.0
2150,Ex_Dmrta2_Nmu,4.4480936604835055e-09,2.0,2.0
1454,Ex_Dmrta2_Prkcq_1,1.3343022265138534e-07,5.0,3.0
260,Ex_Dmrta2_Prkcq_1,4.44683503322212e-07,5.0,5.0
1213,Ex_Dmrta2_Prkcq_3,4.002277374816599e-07,6.0,4.0
2241,Ex_Dmrta2_Prkcq_6,8.00606510234552e-08,3.0,4.0
3190,Ex_Dmrta2_Rxfp2_2,2.6688561962901027e-08,4.0,2.0
4942,Ex_Dmrta2_Rxfp2_2,2.6688561962901027e-08,4.0,2.0
3764,Ex_Dmrta2_Slc26a7,1.3344280981450513e-08,2.0,3.0
4222,Ex_Ebf2_4930469K13Rik_1,1.6011123267262136e-07,4.0,4.0
4240,Ex_Ebf2_6430628N08Rik_1,4.002277374816599e-07,4.0,6.0
4355,Ex_Ebf2_6430628N08Rik_2,8.00606510234552e-08,4.0,3.0
4222,Ex_Ebf2_Abcc9_2,8.00606510234552e-08,3.0,4.0
3465,Ex_Ebf2_Antxr2,8.00606510234552e-08,4.0,3.0
4558,Ex_Ebf2_Atp8b1,2.444375219040734e-06,5.0,11.0
4609,Ex_Ebf2_Atp8b1,4.44683503322212e-07,5.0,5.0
4614,Ex_Ebf2_Atp8b1,6.669623325249725e-07,5.0,6.0
4861,Ex_Ebf2_Bhlhe23,8.00606510234552e-08,3.0,4.0
4616,Ex_Ebf2_Bmp6,2.668352727575654e-07,4.0,5.0
4722,Ex_Ebf2_C1ql2_2,1.3343022265138534e-07,5.0,3.0
4951,Ex_Ebf2_C1ql2_2,2.668352727575654e-07,5.0,4.0
4589,Ex_Ebf2_C1ql2_3,2.0013904039551817e-07,6.0,3.0
1691,Ex_Ebf2_C1ql2_6,1.3343022265138534e-07,5.0,3.0
24472,Ex_Ebf2_C1ql2_6,4.44683503322212e-07,5.0,5.0
4335,Ex_Ebf2_C1qtnf7_1,1.3344280981450513e-08,3.0,2.0
388,Ex_Ebf2_C1qtnf7_2,8.00606510234552e-08,4.0,3.0
4912,Ex_Ebf2_Fam83f,1.3343022265138534e-07,3.0,5.0
4333,Ex_Ebf2_Fer1l6_5,4.448093660483505e-08,5.0,2.0
4362,Ex_Ebf2_Galnt3,4.002277374816599e-07,4.0,6.0
2723,Ex_Ebf2_Gask1b_1,1.6011123267262136e-07,4.0,4.0
4881,Ex_Ebf2_Ghrh_1,2.0013904039551817e-07,6.0,3.0
590,Ex_Ebf2_Glp1r_1,4.002277374816599e-07,4.0,6.0
762,Ex_Ebf2_Glp1r_1,1.6011123267262136e-07,4.0,4.0
4641,Ex_Ebf2_Gpsm3_1,9.336591803261916e-07,5.0,7.0
4815,Ex_Ebf2_Gpsm3_1,1.3343022265138534e-07,5.0,3.0
3402,Ex_Ebf2_Gpsm3_2,8.00606510234552e-08,4.0,3.0
4850,Ex_Ebf2_Grp,1.6011123267262136e-07,4.0,4.0
475,Ex_Ebf2_Gzmk_1,2.668352727575654e-07,5.0,4.0
366,Ex_Ebf2_Gzmk_2,4.44683503322212e-07,5.0,5.0
4547,Ex_Ebf2_Iigp1_1,1.3343022265138534e-07,3.0,5.0
5045,Ex_Ebf2_Iigp1_2,5.602835934044848e-07,4.0,7.0
1516,Ex_Ebf2_Il15_2,4.44683503322212e-07,5.0,5.0
2558,Ex_Ebf2_Layn,1.6011123267262136e-07,4.0,4.0
4305,Ex_Ebf2_Layn,2.6688561962901027e-08,4.0,2.0
1737,Ex_Ebf2_Ltbp1_2,1.6011123267262136e-07,4.0,4.0
2729,Ex_Ebf2_Ltbp1_2,1.6011123267262136e-07,4.0,4.0
1858,Ex_Ebf2_Mafa_1,1.6011123267262136e-07,4.0,4.0
24534,Ex_Ebf2_Met,4.003158422803956e-08,3.0,3.0
628,Ex_Ebf2_Mybpc1,8.00606510234552e-08,3.0,4.0
4916,Ex_Ebf2_Nek11_2,2.6688561962901027e-08,2.0,4.0
4633,Ex_Ebf2_Npffr2_1,9.336591803261916e-07,5.0,7.0
4944,Ex_Ebf2_Npffr2_1,2.668352727575654e-07,5.0,4.0
4640,Ex_Ebf2_Npffr2_2,8.00606510234552e-08,4.0,3.0
1995,Ex_Ebf2_Nr5a2_2,1.3343022265138534e-07,5.0,3.0
4236,Ex_Ebf2_Olfr273_2,8.00606510234552e-08,3.0,4.0
79,Ex_Ebf2_Pla2g5_7,1.3343022265138534e-07,3.0,5.0
81,Ex_Ebf2_Pla2g5_7,1.3343022265138534e-07,3.0,5.0
24578,Ex_Ebf2_Pmfbp1_1,2.668352727575654e-07,5.0,4.0
5411,Ex_Ebf2_Pmfbp1_1,2.668352727575654e-07,5.0,4.0
2115,Ex_Ebf2_Postn,4.003158422803956e-08,3.0,3.0
2870,Ex_Ebf2_Postn,1.3344280981450513e-08,3.0,2.0
15059,Ex_Ebf2_Prox1_Pou4f3,3.7356937936714357e-07,8.0,3.0
