Study_ID|Celltype_1,Study_ID|Celltype_2,best_AUROC,Mean_AUROC,Match_type
Zeng|1673,Macosko|Ex_C1ql4_Foxd3_2,0.960118623695534,0.960118623695534,Reciprocal_top_hit
Zeng|4510,Macosko|Ex_C1ql4_Gucy2c,0.9935318810000332,0.9935318810000332,Reciprocal_top_hit
Zeng|3823,Macosko|Ex_C1ql4_Islr2_3,0.9935939169508052,0.9935939169508052,Reciprocal_top_hit
Zeng|4707,Macosko|Ex_C1ql4_Krt73_1,0.9919018954816898,0.9919018954816898,Reciprocal_top_hit
Zeng|4697,Macosko|Ex_C1ql4_Krt73,0.9906038018666924,0.9906038018666924,Reciprocal_top_hit
Zeng|1363,Macosko|Ex_C1ql4_Mdfic2_2,0.9830661111888868,0.9830661111888868,Reciprocal_top_hit
Zeng|24578,Macosko|Ex_C1ql4_Rgcc_2,0.9985863824557512,0.9985863824557512,Reciprocal_top_hit
Zeng|2510,Macosko|Ex_C1ql4_Serpina3g,0.9077874956296248,0.9077874956296248,Reciprocal_top_hit
Zeng|3815,Macosko|Ex_C1ql4_Teddm3_3,0.9988852702508136,0.9988852702508136,Reciprocal_top_hit
Zeng|1566,Macosko|Ex_C1ql4_Tekt2,0.9994190803608388,0.9994190803608388,Reciprocal_top_hit
Zeng|5263,Macosko|Ex_C1ql4_Trhr_8,0.9544660434677176,0.9544660434677176,Reciprocal_top_hit
Zeng|934,Macosko|Ex_Ccn2_Nmbr_3,0.9850827506120658,0.9850827506120658,Reciprocal_top_hit
Zeng|2305,Macosko|Ex_Ccn3_Fezf2_Ptprc_1,0.9886430363013514,0.9886430363013514,Reciprocal_top_hit
Zeng|473,Macosko|Ex_Ccn3_Fezf2_Ptprc_2,0.9942346896457688,0.9942346896457688,Reciprocal_top_hit
Zeng|116,Macosko|Ex_Ccn3_Fezf2_Ptprc_3,0.9933691851017532,0.9933691851017532,Reciprocal_top_hit
Zeng|2523,Macosko|Ex_Ccn3_Fezf2_Vgll3_1,0.9176955722288112,0.9176955722288112,Reciprocal_top_hit
Zeng|3458,Macosko|Ex_Ccn3_Slc30a3_Dcn_1,0.9561669245651512,0.9561669245651512,Reciprocal_top_hit
