,highly_variable,highly_variable_rank,means,variances,variances_norm,highly_variable_nbatches
ENSMUSG00000085079,True,14592.0,0.0005979689174502312,0.0006035283913450969,0.8062714691973691,2
ENSMUSG00000028033,True,1452.0,9.719904992407345,462.79419535876707,2.1667672107775893,2
ENSMUSG00000041670,True,7753.0,11.586192965149523,291.5730057662129,0.9449968413458487,2
ENSMUSG00000073730,True,6096.0,5.4317778173294305e-05,5.928508897996508e-05,1.133948061958498,2
ENSMUSG00000026158,True,2829.5,1.7991442168962135,14.78962820142915,1.4596349967850224,2
ENSMUSG00000026156,True,2809.5,0.34395401710146134,1.1671134487313506,1.6904010130828713,2
ENSMUSG00000026155,True,17099.5,1.5700256749131862,4.870591639869251,0.7468147029836377,2
ENSMUSG00000026154,True,10395.0,0.456129459501422,0.8897374298371553,0.8618615803783618,2
ENSMUSG00000026153,True,12601.5,0.9771774210344946,2.222578602022166,0.8325139366368919,2
ENSMUSG00000026147,True,4429.5,0.023247535700625967,0.04260491386686693,1.1395526730766155,2
ENSMUSG00000026141,True,368.5,0.5662809433826509,6.636011859721296,5.259952825936085,2
ENSMUSG00000073725,True,19581.5,1.7761393952762703,5.945737089340023,0.6577370536365159,2
ENSMUSG00000033569,True,16032.0,22.31976094970671,896.8211444922783,0.7354462394759018,2
ENSMUSG00000073722,True,6082.0,6.50866622991544e-05,7.691637372762784e-05,1.0094194031219892,2
ENSMUSG00000048411,True,11304.5,0.0014216110439995305,0.0017040781516389754,0.8618834172008032,2
ENSMUSG00000048874,True,19829.5,1.715283602705333,4.415667023405574,0.6114089638283762,2
ENSMUSG00000026064,True,20288.0,0.011518445796774352,0.01187120076939743,0.6613555832527358,2
ENSMUSG00000117310,True,20128.5,0.007621293137072984,0.007913257868225318,0.6685143973788681,2
