Macosko_cluster,gene
Inh_Lhx6_Sst_Crh_Tac2,Eya4
Ex_Sim1_Pgr15l_4,Gpr50
Ex_Onecut3_Spag16_3,Sall1
Inh_Pax3_Igfbpl1_2,Pax3
Ex_Sim1_Bsx_4,Gulp1
Ex_Sim1_Th_1,Grin3a
Ex_Phox2b_Hhip_2,Zfp385b
Ex_Pitx2_Zfp366,Pitx2
Ex_Ebf2_Atp8b1,Gulp1
Ex_Sim1_Crh_5,Ecel1
Chol_Isl2_Gata6_3,Jag1
Inh_Lhx1_Acan,Rxfp1
Ser_Fev_Wfdc12,Il1r1
Inh_Gbx1_Htr1a_9,Nkain3
Ex_Lmx1b_Vmn1r206_3,Egfem1
Endo_Flt1_Ssu2_2,Rad54b
Ex_Lhx2_Il31ra_2,Arhgap36
Inh_Pax8_Rapsn,Dusp10
Ex_Fam163a_Adad2,Tac1
Inh_Lhx6_Iqca_1,Npr1
Ex_Lhx2_Hgf_1,Fam163a
Fibro_Eya2_Rbp4_1,Rps3
Inh_Pax2_Trhr,En1
Inh_Pax2_Vgll3_20,Tfap2b
Inh_Vip_Crh_1,Prox1
Inh_Hoxa5_Galr1_1,Prox1
Ex_Sall1_Pmfbp1_3,Pigyl
Inh_Emx2_Qrfprl,Chst7
Inh_Six3_Ush2a,Gulp1
Ex_Lmx1a_Dnaaf6b_2,Dnaaf6b
Ex_C1ql4_Myo18b_1,P2ry1
Ex_Phox2b_Olig3_2,Tfap2b
Inh_Six3_6430628N08Rik,C1ql3
Inh_Pax2_Vgll3_21,Spata16
Ex_Vsx2_Pitx2,Lhx4
Inh_Fbxl7_Klf4,Foxd3
Ex_Ccn3_Fezf2_Cd36,Cbln4
Inh_Gata3_Nptx2_2,Kcnq5
Inh_Gata3_Sox14_1,Vwa5b1
Inh_Fbxl7_Adad2_2,Fibin
Inh_Frm7_Kcns3,Slco5a1
Inh_Htr3a_Bmp3_3,Ecel1
Inh_Sox8_Calcrl_6,Adora2a
Inh_Pax2_Ctsc,Cdk15
Ex_Lhx2_Gng8_2,Stk32b
Inh_Pax2_Ppp1r1c_1,Ppp1r1c
Inh_Dmbx1_Slitrk6_2,Slco5a1
Inh_Pax2_Tmem215_1,Lypd1
Ex_Plekhg1_Fign_Tnc_1,Wnt4
Ex_Slc30a3_Cfap58_Trhr,C1qtnf7
Ex_Neurod6_Pou4f3_1,Gli3
Inh_Nkx2-2_Gata2_3,Nkx2-2
Inh_Six3_Enpep,Pla2g5
NorEx_Phox2b_Gch1,Sctr
Ex_Lhx9_Ripk4,Cnih3
Ex_Plekhg1_Nox4_Anxa13_2,Synpo2
Inh_Fbxl7_Cyp26b1,Cyp26b1
Inh_Pax5_Slc38a11_1,Slc38a11
Inh_Onecut3_Fbxo40,En1
Ex_Dmrta2_Col6a6_2,Pth2r
Ex_C1ql4_Cpne7_1,Corin
Ex_Phox2b_Pdyn_6,Tmem114
Ex_Phox2b_Bmp3_3,Eya1
Inh_Pax8_Sfrp1_6,Pax8
Inh_Foxd3_Ifit3,Nxph2
Ex_Ebf2_Sec1_4,Necab1
Inh_Dmbx1_Tnnt1_2,Tnnt1
Ex_Pax5_Ucn3_1,Ucma
Inh_Hoxb5_Sytl5_3,Pax8
Inh_Six3_Bmp3_Ano1_1,Tnnt1
NorEx_Phox2b_Ppara_1,Tafa4
Ex_Ebf2_Cox8b_1,Arid5a
Ex_Lmx1b_Dynap_4,Th
Ex_Sim1_Aox3_2,Aox3
Tanycyte_Rax_Fndc3c1_1,Fndc3c1
Inh_Pde11a_Pgm5_4,Pde11a
Inh_Onecut3_Wnt16,Tfap2b
Inh_Pax2_Adam34,Nr5a2
Ex_Prox1_Ltbp1,Cdh11
Tanycyte_Rax_Ccdc170,Dnah12
Ex_Pitx2_Odad2_3,Plcl1
Inh_Lhx6_Iqca_4,Igdcc3
Inh_Lhx6_Esr2_12,Nxph2
Fibro_Eya2_Slc47a1_3,Slc47a1
Inh_Six3_Aox3_Sox2,Aox3
Inh_Pax8_Sp9_6,Tspan18
Ex_Pou4f1_Plscr5_1,Tfap2d
Ex_Sulf1_Drd2,Spag16
Inh_Six3_Met_1,Bnc2
Inh_Pax6_Pdgfd_4,Aox3
Inh_Irx4_Catspere1_5,Lancl3
Inh_Pax2_Erfl_8,Lrp2
CholEx_Onecut2_Crabp1_1,Mecom
Ex_Dmrta2_Slc26a7,C1ql2
Inh_Onecut3_Arsj,Sulf1
Ex_Pou4f2_Gdpd4,Sult3a2
Ex_Nkx6-1_Gucy2c_2,Gucy2c
Inh_Pax7_A730009L09Rik,Itga8
Ex_Ebf2_Fer1l6_3,Tafa2
Inh_Ecel1_Foxd1_2,Sphkap
Ex_Phox2_4930469K13Rik,4930469K13Rik
Ex_Samd3_Emx2_5,Lef1
Ex_Tlx1_Ednra,Rbms1
Inh_Gata3_Pdlim3_5,Sp9
Inh_Sncg_Sln_Plch2_2,Ror1
Inh_Ppp1r1b_Drd1_Tns3_2,Cst3
Ex_Defb1_Wif1,Tmem238
Ex_Hmx2_Gli3,Gulp1
Ex_Lhx9_Atp8b1_1,Adam12
Inh_Six3_Foxa2_3,Foxp2
Ex_Lhx9_Lrrk1,Barhl2
Ex_Hoxb3_Ldlrap1_7,Clrn1
Inh_Ppp1r1b_Drd1_Shisa8_2,Gpr88
Ex_Ebf2_Catspere1_2,Prdm16
Ex_Lmx1b_Pou4f1_Arsj_2,Satb2
Inh_Gata3_Mmrn1_1,Mmrn1
Inh_Pax8_Sfrp1_1,Pax8
Inh_Pax2_Vgll3_17,Pax8
Inh_Nkx2-2_Tspo2_2,Zfp593
Ex_Tfap2b_Rxfp2_5,Tacr3
Ex_Slc30a3_Shisa8_7,Col5a2
Inh_Pax2_Hoxb5_Rubcnl_1,Prox1
Ex_Nkx2-1_Pmch_2,Dach2
Inh_Pax5_Serpina12,Emcn
Ex_Ebf2_Fzd9_2,Fn1
Ex_Ebf2_Ddit4l_2,Fstl5
Ex_Pax5_Cdkn1c,Pax5
Ex_Phox2a_Npy4r_1,Dbh
Ex_Nkx6-1_Nccrp1_2,Emcn
Inh_Foxb1_Tacr3_2,Pax8
Ex_Ebf2_Tac2_3,Ntn4
Inh_Pax3_Vmn1r207_1,Tmem132c
Inh_Pax5_Sox1,Ikzf1
Inh_Ppp1r1b_Drd2_Sphkap_3,Slit2
Inh_Sall3_Cytip_3,Mob3b
Ex_Lmx1b_Ccdc170,Serpinb8
Inh_Nkx2-1_Gm8113_3,Cox5b
Endo_Flt1_Kcnj8_Slc47a2_1,Rnf152
Ex_Tfap2d_Atp6ap1l_3,Barhl1
Inh_Pax2_Hoxb5_Sh2d4a,En1
Inh_Pax8_Nkx6-1_2,Dkk3
Fibro_Vdr_Bglap,Bglap
CholEx_Onecut2_Crabp1_3,Wipf1
Ex_Ebf2_Apela_2,Sp5
Ex_Sox6_Sult3a2_1,Meis2
Inh_Pax8_Apbb1ip,Pax8
Ex_Phox2b_Six2_4,Tfap2b
Inh_Htr3a_Ibsp_2,Ildr2
Inh_Sall3_Ndnf_1,Trp53i11
Inh_Onecut1_Mctp2,Nos1
Inh_Pax2_Tnnt2,Sh3bp4
Ex_Plekhg1_Pth2r_Frem3_4,Cox5b
Ex_Phox2b_Igfbpl1_1,Suv39h2
Inh_Fbxl7_Ankrd1,Hmcn1
Ex_Pitx2_Wdr95,Nr5a2
Inh_Gata3_Dkk1_2,Gpr88
Ex_Onecut3_Erfl_1,Chrdl1
Ex_Dmrta2_Prkcq_3,Prkcq
Ex_Tfap2b_Chrdl1,Chrdl1
Ex_Ebf2_Sec1_1,6430628N08Rik
Inh_Pax3_Vmn1r207_9,Ogfrl1
Inh_Pax2_Erfl_3,C1ql2
Inh_Frmd7_Trim55_1,Tmem182
Ex_Sim1_Trh_6,Prox1
Inh_Gata3_Gxylt2_2,Olfr48
Ex_Hgf_Tacr3,Tacr3
Ex_Lmx1b_Aldh1a2_3,Prox1
Ex_Neurod6_Bfsp2,Erbb4
Inh_Pax2_Twist2,Pax8
Inh_Pax2_Glp1r_6,Twist2
Inh_Pax2_Vmn1r209,A830018L16Rik
Ex_Phox2b_Slc39a12_3,Ror1
Inh_Pax2_Lama4_2,Cpa6
Chol_Tbx20_Fst_1,Thsd7b
Inh_Gbx1_Atp8b1_8,Lhx8
Ex_Plekhg1_Col27a1_C1ql2_3,Olfr539
Ex_Onecut2_Galnt14,Ccdc141
Inh_Vip_Drd2,Il5ra
Ex_Samd3_Egflam,Gpr101
Inh_Pax8_Qrfpr_3,Abcc9
Inh_Pax3_Moxd1,Pax3
Ex_Lhx9_Mcoln2,Kcnk15
Inh_Lhx1_Dach2_4,Cox5b
Ex_Samd3_Emx2_3,Kcnq5
Ex_Lmx1b_Tnnt2,Pou4f1
Ex_C1ql4_Art4,C1ql2
Ex_Ebf2_Upp1_1,Ddr2
Ex_Ebf2_Sp5_5,Hmcn1
Inh_Lhx1_Dach2_1,Rpl7
Inh_Gbx1_Atp8b1_9,Fign
Inh_Sox8_Calcrl_10,Pde1c
Ex_Tfap2b_Piezo2_3,Kl
Ex_Lmx1b_Tmem215,Nxph2
Inh_Pax7_Gna14_1,Tnnt2
Fibro_Eya2_Unc5c_2,Eprs
Ex_Sall1_Vmn1r196,Sall1
Ex_Crym_Mndal_2,St18
Fibro_Eya2_Rbp4_4,Themis
Inh_Ppp1r1b_Drd1_Pde1a,Drd1
Inh_Hoxa5_Galr1_3,Prox1
Inh_Sncg_Slc17a8,St6galnac5
Inh_Irx4_Catspere1_4,Prdm16
Ex_Ccn2_Nmbr_4,Il1rapl2
Ex_C1ql4_Foxd3_1,Foxd3
Ex_Tfap2d_Hspg2,Crispld1
Ex_Sall1_Lrrc38_2,Hs3st2
Ex_Ebf2_6430628N08Rik_1,Erbb4
Ex_Plekhg1_Pth2r_Slc17a8,Adgrd1
Ex_Hmx3_Twist2_2,1700019D03Rik
Ex_Vsx2_Tspo2_2,Gucy2f
Ex_Pax6_Qrfprl_1,Pax6
Inh_Pde11a_Pgm5_6,Crh
Ex_Pitx2_Sall3,Catspere1
Ex_Ebf2_Ltbp1_3,Ebf2
Inh_Fbxl7_Tshr,Pax5
Inh_Lhx6_Mc3r_2,St18
Inh_Tfap2b_Col5a2_1,Pappa2
Ex_Foxb1_Plekhg6,Ccdc115
Inh_Irx5_Shisal2b_3,Cpne5
Ex_Ebf2_Iigp1_2,Prkcq
Ex_Vsx2_Ctxn3_1,Lhx4
Ex_Lhx2_Tlx1_5,Fn1
Ex_Phox2b_Tmem100,Adam12
Ex_Neurod6_Fn1_2,Fn1
Ex_Tfap2d_Casq2,Npr1
Ex_Ebf2_4930469K13Rik_3,Qrfpr
Inh_Lhx8_Pde11a_9,Pcdh11x
Inh_Pax2_Pgr15l,Pde1a
Ex_Nkx6-1_Gucy2c_3,Ccer2
Ex_Slc30a3_P2rx6,Igfn1
Inh_Lhx1_Pax3_3,Pax3
Ex_Lhx9_A1bg_2,Kcnk15
Ex_Dcn_Grik3,Dcn
Inh_Tfap2b_Shisal2b_1,Pde11a
Inh_Esr2_Tac2_2,Spon1
Inh_Gata3_Crhbp_2,Brs3
Inh_Gata3_Tll2_4,Nptx2
Ex_Dmrta2_Lhx1_4,Pitx2
Inh_Pax8_Pkhd1l1_1,Rubcnl
Ex_Phox2b_Adamtsl1_Col6a2,Cox5b
Ex_Vsx2_Lhx3_1,Lhx3
Inh_Ppp1r1b_Drd1_Pkib,Krt12
Ex_Fezf1_Bnc2_2,Bnc2
Ex_Phox2b_Nr1h4_3,Itga4
Inh_Gbx1_Htr1a_5,Gpc3
Ex_Fezf2_Fn1_Mctp2,Fn1
Ex_Sim1_Cd34_2,Crh
Inh_Gata3_Tecrl_1,Gli3
Ex_Ebf2_Rxfp1,Kbtbd12
Ex_Lhx9_Kif19a_2,Pdyn
Ex_Eya2_Sapcd1,Col5a2
Inh_Pax2_Olfr920_6,Hmcn1
Inh_Tfap2b_Ntrk1,Pax7
Ex_Dmrta2_Lcp1_2,Tnfsf15
Inh_Lhx1_Mc4r,Cox5b
Ex_Crym_Odad2_Fos,Nr4a3
Ex_Lhx9_C1ql4,C1ql3
Inh_Pax2_Cyyr1_2,Calcrl
Inh_Frmd7_Olfr142_1,Etl4
Ex_Pou4f1_Htr5b_13,Htr5b
Inh_Gata3_Pmfbp1_2,Dkk2
Inh_Pax8_Agtr1a_Tacr3,Cdh23
Ex_Tfap2b_Clec12a,En1
Ex_Lmx1b_Deup1_5,Pir
Ex_Tfap2d_Ctsc,Kcnmb2
Inh_Nkx2-2_Itgb6,Adgrl4
CholEx_Lmx1b_Abcc2,Calca
Inh_Lhx6_Sst_Crhbp,Gpc3
Inh_Pax5_Irs4_3,Pax8
Inh_Ecel1_Col6a4_1,Pamr1
Ex_Lmx1b_Vmn1r196,Usp43
Inh_Six3_Sox2_12,Ccdc141
Inh_Otx1_Acacb_2,Npnt
Inh_Lhx1_Emx2_1,Lypd6
Inh_Sp8_Spp1_2,Cox5b
Ex_Lhx3_Tlcd1_1,C1ql2
Inh_Lhx8_Pde11a_1,Lhx8
Ex_Skor1_Samd3_1,Cadps2
Ex_Phox2b_Ghrh_2,Col11a1
Ex_Onecut3_Pirt_1,Slc17a6
Ex_Pitx1_Moxd1,Tacr3
Inh_Nkx2-2_Sox14_2,Nrp2
Inh_Lhx6_Cxcr4_3,Col19a1
Chol_Tbx20_S100a11_4,Qrfpr
Ex_Lmx1a_Csf2rb2_1,Ier5
Inh_Otx2_Ntrk1_2,C1ql2
Inh_Gata3_Olfr48_6,Frem1
Ex_Vsx2_Erfl,Trpc4
Ex_Pou4f2_Sult3a2_3,Meis2
Inh_Otx2_Ntrk1_1,Gpr149
Inh_Gata3_Wnt16_1,Nxph2
Inh_Pax2_Vgll3_13,Zeb2
SerEx_Nkx6-1_Trh_4,Gpr101
Ex_Lmx1b_Adam33_2,Lmx1a
Ex_Fezf2_Il22,Hsd11b1
Ex_Plekhg1_Nox4_Ltbp1,Rxfp1
Ex_Ebf3_Adam33_3,Lmx1b
Ex_Lhx9_Dnah5,Ramp3
Inh_Gata3_Gdpd2_1,Tal1
Inh_Six3_Fgf16,Steap3
Inh_Pax3_Chrna5_2,Olig3
Ex_Irx3_Ccdc192_6,Tfap2d
Ex_Vsx2_Lhx3_3,Nxph2
Ex_Tfap2b_Gsta2_1,Tac1
Inh_Zeb2_Clec10a,Tfap2b
Inh_Lhx8_Arhgef38_6,Gpc5
NorEx_Phox2b_Gfral_4,Kit
Ex_Tfap2b_Ramp3_2,Sema3c
Ex_C1ql4_Tnnt2,Adgrg2
Ex_Sim1_Aox3_1,Aox3
Ex_Nxph4_Crh,Crh
Inh_Pax8_Vmn1r196,Ddr2
Ex_Slc30a3_Ssmem1_2,Igfn1
Ex_Sim1_Ndnf_1,Fign
Ex_Ebf2_Ddit4l_1,Mia
Inh_Foxp2_Pdlim3_1,Tanc1
Ex_Tfap2d_Mab21l2_1,Tfap2b
Ex_Tcf7l2_Fbln1_Tead4_1,Insrr
Ex_Ebf2_Ifi213_3,Ifi213
Ex_Crym_Prrx1,Crym
Ex_Lhx9_Runx1,Prex2
Inh_Six3_Pnliprp2_3,Cd74
Ex_Nkx6-1_Gucy2c_4,Htr5b
Inh_Gata3_Sall1_3,Nptx2
Inh_Lmo2_Chrna2_2,Cdh23
Inh_Pax8_Ptgfr,Ptgfr
Inh_Pax2_Sycp2l_1,Clrn1
DopEx_Calb1_Ngf,Pax5
Ex_Nkx6-1_Pax8_2,Hmcn1
Ex_Pou4f1_Htr5b_2,Zeb2
Ex_Tlr4_Foxd2,Lhfp
Inh_Htr3a_Prok2,Ndnf
Ex_Dmrta2_Agtr1b_3,Gucy2c
Inh_Vip_Glp1r_Egfr,Hmcn1
Ex_Phox2b_Ddit4l,Phox2b
Ex_Hoxb5_Nostrin,Mecom
Ex_Dsp_Atf3_2,Etv3
Inh_Pax5_Irak3,Pax5
Ex_Rorb_Scn5a,Satb2
Inh_Hoxb5_Qrfpr_3,Pax8
Inh_Six3_Svs5,Kcns1
Inh_Pax2_Lpl_1,Plscr5
Inh_Esr2_Pgm5,Gulp1
Inh_Ppp1r1b_Drd2_Cyp26b1_1,Slit2
Inh_Pax5_Irs4_4,Sult2b1
Ex_Pax6_Avpr1a_1,Pax6
Inh_Six3_Pamr1_1,Pamr1
Inh_Gata3_Gm11639_2,Cecr2
Inh_Lhx6_Esr2_10,Sulf1
Ex_Tcf7l2_Nox4_Slc17a8,Synpo2
Ex_Ebf2_Fbln1,Gulp1
Ex_C1ql4_Islr2_1,Myo3b
Ex_Vsx2_Wnt2,Sulf1
Ex_Sox6_Plscr5_1,Pou3f3
Ex_Ebf2_Ghrh_1,Ghrh
Ex_Emx2_Foxa2_1,Lmx1a
Ex_Nkx6-1_Foxd3_1,Sulf1
Inh_Otx1_Maf_2,Fam163a
Ex_Tfap2b_Sult3a2_3,Tfap2b
Inh_Pax5_Vwa7_2,Gulp1
Inh_Six3_Gchfr_1,St8sia2
Ex_Lmx1a_Olfm4_3,Ap1s3
Ex_Ebf2_Pla2g5_11,Pld5
Inh_Pax5_Pdpn,Pdpn
Chol_Tbx20_Gm7694_1,Actn2
Inh_Sall3_Bmper_2,Ano1
Ex_C1ql4_Crispld2_1,Crispld2
Ex_Plekhg1_Col27a1_Egflam_1,Sox5
Ex_Nkx2-4_Cdkn1c_2,Brs3
Ex_Nkx2-4_Fezf2,Wnt7a
Ex_Dmrta2_Gm7271,Col25a1
Ex_Hmx2_Vip_1,Gulp1
Inh_Lhx8_Pde11a_12,Wls
Ex_Phox2b_Tlx1_2,Phox2b
Inh_Gata3_Aldh1a2,Nts
Inh_Foxp2_Drd3_1,Lancl3
Ex_Fezf2_Slc9a4,Rpl37a
Ex_Dmrta2_Col6a6,Itga4
Ex_Phox2b_Shisa3,Npnt
Ex_Phox2b_Dbh_1,Crispld1
Ex_Foxb1_Arhgef38_1,Arhgef38
Inh_Tfap2b_Erfl_1,Pax8
Inh_Frmd7_Mgam,Mgam
Inh_Vip_Sncg_Slit1,Npnt
Inh_Ppp1r1b_Drd2_Stard8_4,Stard8
Ependymal_Tmem212_Ttr,Ttr
Inh_Hoxc4_Chrdl2_6,Crym
Inh_Etv3l_Sulf1_1,Sulf1
Inh_Lhx1_Emx2_3,Lhx9
Ex_Plekhg1_Fign_Ppp1r3a_6,Ppp1r3a
Inh_Pax5_Pgr15l_2,B2m
Inh_Ecel1_Cd36_1,Cst3
Inh_Pax2_Gm21188,Gulp1
Inh_Htr3a_Tcim_2,Vwc2l
Ex_Dmrta2_Col5a2_1,Ddr2
Inh_Lhx6_Th_Crh,Htr2c
Inh_Pax5_Cdh23_Ikzf1,Pax5
Inh_Pax6_Pou6f2_Pdgfd_2,C1ql2
Inh_Sox6_Postn_3,Postn
Inh_Lhx1_Vsir_4,Mctp2
Inh_Lhx6_Esr2_11,Npsr1
Inh_Six3_Nkx2-2,Tfap2b
Ex_Vsx2_Pgr15l,Lhx3
Inh_Six3_Ano1_1,Pamr1
Inh_Ebf2_Cox8b_1,Col24a1
Ex_Lmx1a_Tinag,A830018L16Rik
Ex_Pax5_Npbwr1,Oprk1
Ex_Tfap2b_Ghrh_1,Tfap2b
Inh_Gata3_Crhbp_3,Rspo1
Inh_Gata3_Sall1_9,Pth2r
Ex_Phox2b_Cyp39a1_Mdfic2_4,Otof
Inh_Pax2_Mboat1_1,Tox
Ex_Hoxc6_Epsti1_1,Stpg2
Ex_Ebf2_Tnfaip8_5,Cst12
Ex_Pitx2_Skor2,Kitl
Ex_Hoxb5_Epsti1_1,Mecom
Inh_Pax7_Vmn1r207_6,Sst
Ex_Ebf2_Mafa_1,Maf
Inh_Pax8_Pkhd1l1_7,Pkhd1l1
Inh_Nkx2-2_Gm16223_2,Lhx6
Inh_Onecut3_Aass_1,Chrna2
Ex_Lhx9_Slc6a2_2,Tmem132d
Inh_Pax2_Erfl_7,Kcnq5
Inh_Six6_Vipr2_8,Prr5l
Ex_Lmx1a_Pirt,A830018L16Rik
Inh_Pax2_Nkx6-1_Bmp4,Pax8
Inh_Sp8_Spp1_4,Dlx2
Ex_Fezf2_Rgs16,Ddit4l
Inh_Pax7_P2ry10b_5,Gpr174
Ex_Tfap2d_Emid1_1,Tfap2d
Inh_Frmd7_Esr2_3,Aox3
Ex_Pou4f1_Plscr5_3,Barhl1
NG_Draxin_10,Kcnq5
Inh_Pax5_Pgr15l_1,Hmcn1
Inh_Six3_Cd40,Synpo2
DopEx_Calb1_Trpv1,Nckap5
Ex_Fev_Kif18b,Nptx2
Inh_Lmo2_Chrna2_1,Myo1b
Ex_Lmx1b_Arsj_2,A830018L16Rik
Inh_Lhx1_Egln3,Gm45194
CholEx_Pax2_Muc16,Muc16
Inh_Pax2_Glipr2,Corin
Ex_Pax6_Slc5a7_2,Cox5b
Inh_Foxd3_Bnc2_1,Bnc2
Inh_Pax2_A730046J19Rik_1,Hgf
Ex_Sim1_Serpina3i,Stk26
Ex_Pou4f1_Htr5b_8,Htr5b
Ex_Lmx1b_Wif1,Trh
Inh_Clic4_Ano3_3,Ntf3
Inh_Pax2_Fst_1,Cdh20
Macro_Mrc1_Ms4a4a,Ms4a4a
Ex_Lhx4_Plcz1,Lhx4
Inh_Exd1_Arhgap9_2,Cadps2
Ex_Slc12a7_Odad1_1,Dpp10
Inh_Hoxa5_Bfsp2_2,Lgr6
Inh_Pax6_Pou6f2_Pdgfd_5,Sctr
Inh_Gata3_Nkx2-2_1,Fhl2
Ex_Pou4f3_Defb1_1,Pappa
Ex_Irx2_Nppc_3,Fam163a
Ex_Ebf2_Prokr1_3,Col5a2
Inh_Pax2_Chrdl2_3,Pld5
Inh_Fbxl7_Stpg2_3,Stpg2
Inh_Pax2_Dnase1l3,Pax8
Ex_Onecut3_Tnfaip8l3,Nr4a2
Ex_Foxb1_Ctxn3_1,Sp100
Inh_Fbxl7_Cyp26b1_1,Pax8
Inh_Lhx8_Arhgef38_4,Ryr3
Inh_Otx2_Prdm16_2,Dlx1
Inh_Lhx6_Sst_Crh_Nnmt_2,Lrrc8a
Ex_Vsx2_Pgm5_1,C1ql2
Ex_Fezf2_Kl_1,Slc9a4
Inh_Hmx2_Gldn_1,Ntng2
Chol_Isl2_Il22ra1_1,Kcnq5
Inh_Lhx6_Gpr174_2,Gria3
Inh_Nkx2-2_Npy_1,Gulp1
Ex_Lhx9_Slc26a7_1,Nr5a2
Inh_Pax2_Slitrk6,Tfap2b
Inh_Pax7_Vmn1r207_4,Zfhx4
Ependymal_Tmem212_1700012P22Rik,Sulf1
Inh_Gata3_Nts,Gm2115
Ex_Fbxl7_Kcnj5,Kcnmb1
Inh_Pax2_Crh_2,Eya1
Inh_Pax2_Erfl_14,Xirp2
Inh_Lhx8_Pde11a_8,Pard3b
Inh_Otx2_Pcp2,Epha4
Ex_Fibcd1_Psrc1_3,Gm26992
Ex_Nkx6-1_Shisal2b,Pappa2
Inh_Gata3_Tnmd,Gipr
Inh_Gata3_Pou6f2_Olfr48_1,Epha4
Ex_Fbxl7_Hmga2,Cyp26b1
Ex_Tfap2d_Atp6ap1l_4,Tfap2d
NorEx_Phox2b_Gfral_1,Dbh
Inh_Lhx6_Cox6a2_Rxfp3,Qrfpr
Ex_Neurod6_Dnah11_6,Sp9
Ex_Lmx1b_Dynap_6,Bnc2
Inh_Six3_Ikzf1_1,Tpbg
Inh_Otx1_Pmfbp1_2,Zfp385b
Ex_Ebf2_Upp1_3,Otof
Ex_Lmx1b_Olfr78,Olfr78
Inh_Fbxl7_Cyp11b1,Casq2
Ex_Pou4f2_Sult3a1,Atic
Inh_Otx2_Bmp4_1,Fign
Inh_Pax2_Npr3,Eya1
Ex_Lmx1a_Abca8a_1,Rxfp1
Ex_Dmbx1_Plet1_2,Bnc2
Inh_Pax5_Slc12a7_1,Foxa2
Inh_Otx2_Gm45194,Otx2
Chol_Tbx20_S100a11_2,Tagln2
Ex_Sall1_Fgf7_2,Fgf7
Inh_Pax2_Bmp4,Svep1
Ex_Lhx9_Igfbpl1_1,Dpp4
Inh_Sox14_Scgn,Trabd2b
Ex_Slc12a7_Odad1_2,Spag16
Ex_Slc30a3_Lrmp_Il1rl2,Il1rl2
Ex_Trabd2b_Slc30a3_Mybpc1,Mybpc1
Inh_Pax5_Erfl_4,Pax5
Ex_Vsx2_Pgm5_8,Bex1
Ex_Hoxc6_Ednrb,Pamr1
Inh_Dmrt3_Prdm6_2,Bnc2
Inh_Sox6_Cdkn1c,Fkbp7
Ex_Vsx2_Nkx6-3_3,Hoxa5
Inh_Pax7_Ikzf1,Nr4a2
Fibro_Eya2_Syt9_2,Slc9a2
DopEx_Calb1_Tdh,Eya1
Inh_Hoxb5_Qrfpr_2,Pax8
Ex_Dmrta2_Lsp1,Trabd2b
Ex_Fezf2_9130008F23Rik,Nxph1
Ex_Lmx1a_Npffr2_3,Gnb4
Ex_Hoxc6_Grp,Gpx3
Inh_Lhx6_Nkx2-4_3,Ier5
Inh_Lhx6_Tnfsf8,Tnfsf8
Ex_Dmrta2_Agtr1b_2,Frem1
Ex_Vsx2_Sox1,Lhx4
Inh_Lhx6_Npy_4,Pth2r
Inh_Onecut3_Gpr174,Serpine2
Ex_Rorb_Fibcd1_Syt6_Lrmp,Rassf2
Ex_Lhx2_Frk,Ttn
Inh_Foxd3_Pappa2_3,Foxd3
Inh_Frm7_Otop1_2,Adamtsl1
Ex_Lmx1b_Deup1_2,Plcl1
Ex_Rorb_Acp7,Erbb4
Inh_Pax8_Tac2,Pax8
Inh_Tfap2a_Aldh1a3,Hmga2
Inh_Lhx8_Th_1,Sulf1
Inh_Ebf2_Stc1_3,St18
Inh_Lhx8_Ccdc68_3,Nkx2-1
Inh_Lhx6_Iqca_2,Thsd7b
Ex_Sall1_Olfr658,Sall1
Ex_Pax2_Vcan,Gulp1
Inh_Pax5_Tmem176b_3,4933424G06Rik
Ex_Lmx1a_Itih5_1,Cdh20
Fibro_Eya2_Lypd2_1,Ptprd
Ex_Sim1_A730009L09Rik,Igfbp5
Inh_Sncg_Calcb_7,Fmo1
Inh_Lhx6_Sst_Ctsc_8,Bche
Ex_Tfap2d_Pirt_3,Prkcq
Ex_Lhx9_A1bg_1,Mroh2a
Inh_Foxp2_Mab21l3,Cdc25b
Inh_Pax6_Pou6f2_Pdgfd_3,Pth2r
Ex_C1ql4_Serpina12,Gad2
Ex_Ebf2_Il15_3,Hgf
Ex_Crym_Odad2_2,Rasl11a
Ex_Lhx9_Slc38a11_1,Hmcn1
SerInh_Fev_Itgb6_2,Fibin
Inh_Foxp2_Ntrk1_2,Ppp1r1c
Inh_Pax2_Dmrt3_6,Nr4a2
Ex_Sim1_Nkx2-2_Asb4_2,Oprk1
Inh_Pax2_Egflam_2,Mecom
Ex_Fbxl7_Tmem72_3,Inhbb
Ex_Fam163a_Prdm6_1,Aox3
Inh_Sox2_Ikzf1_6,Sytl5
Inh_Pax2_Sp8,Pax5
Ex_Tfap2d_Slc38a4_1,Tfap2d
Ex_C1ql4_Bank1,C1ql2
Ex_Nkx2-4_Calcr_11,Nppa
Inh_Pax5_Asb4_4,Tmem114
Ex_Trabd2b_Slc30a3_Ednra_1,Tfap2d
Ex_Fezf2_Abca12,Sla2
Ex_Pou4f1_Plscr5_2,Rxrg
Inh_Pax2_Papln_3,Slc32a1
Inh_Tbx3_Fli1_2,Corin
CholEx_Lhx9_Crabp1,Lhx9
Ex_Gbx2_C6,Sez6
Inh_Gata3_Clic5,Pdyn
Inh_Six6_Vipr2_11,Adgrg2
Inh_Hoxc4_Ttc6_1,Cdh20
Ex_Ebf2_Bhlhe23,Bhlhe23
Inh_Dmbx1_Slitrk6,Dmbx1
Inh_Pax2_Hoxb5_Otp_1,Nppc
Inh_Onecut3_Crabp1_1,Gpc4
