Macosko_cluster,gene
Ex_Sall3_Crabp1_1,Pitx2
Inh_Pax2_Met_1,Nxph2
Inh_Hoxb5_Sytl5_1,Pax8
Ex_Otx2_Six6_1,Zfhx4
Ex_C1ql4_Wnt2,C1ql2
Chol_Tbx20_Edn3,Scn7a
Ex_Lhx9_Moxd1,Tshz2
SerInh_Fev_Fbxw28,Rxfp1
Ex_Pou4f1_Htr5b_3,Htr5b
Ex_Ebf2_Cox8b_2,Ackr3
Inh_Lmo2_Dsg3,Dlx1
Ex_Lhx2_Asb4,Sp9
Ex_Tfap2b_Mdfic,Igfbp5
Ex_Ccn2_Nmbr_3,Rprm
Inh_Lhx6_Esr1_Chodl,Arhgef26
Ex_C1ql2_Steap3_1,Tfap2b
Ex_Sim1_Pitx2_3,Ecel1
Inh_Dmrt3_Tarm1_3,Nr5a2
Inh_Lhx1_Adgrg2,Gm45194
Ex_Dmrta2_Nmu,Nmu
Ex_Otx2_Six6_2,Ttn
Ex_Pou4f1_Alpk1_2,Tns1
Ex_Hoxc4_Hpse,Teddm3
Inh_Fbxl7_Col6a1_1,Pax8
Ex_Phox2b_Kcnj2_1,Tox
Inh_Gata3_Rln3_1,Rln3
Ex_Tfap2d_Mgst2_3,Tfap2b
Inh_Pax2_Hoxb5_Lrrc52_1,Vxn
Inh_Gata3_Frk_1,Lypd6
Inh_Pax7_Arhgap28_3,Zfand2b
Ex_Neurod6_Dnah11_5,Rprm
Inh_Lhx6_Vipr2,Lhx6
Inh_Sp8_Vip_1,Calca
Ex_Nxph4_Lman1l_Pdgfc,Satb2
Ex_Irx2_Nppc_1,Col4a3
Inh_Pax8_Kcng3,Pax8
Ex_Crym_Csf2rb2,Crispld1
Ex_Lmx1b_Wdr95,Wdr95
Ex_Fezf2_Dlk1_Fos_1,Cntnap5a
Inh_Lhx6_Cxcr4_5,Rgs12
Inh_Pax8_Sfrp1_4,Eya1
Ex_Tcf7l2_Fbln1_Mtnr1a,Cpa6
Inh_Onecut3_Tbpl2,Nr5a2
Ex_Fam163a_Prdm6_2,Adad2
Ex_Zic1_Bhlhe23,Wfdc10
Inh_Lhx1_Otp_1,Fign
Inh_Lhx6_Sst_Etv1_Pdyn,Dnah14
Ex_Hmx2_Ppef1_2,Dusp10
Ex_Vsx2_Ghrh_3,Asic4
Inh_Pax2_Tfap2c_1,Pax8
Inh_Hoxc4_Ttc6_3,Il1rapl2
NG_Myoz1_1,Col5a2
Ex_Ebf2_Adgrd1_1,Col25a1
Inh_Irx5_Tafa4_3,Cd36
Inh_Pax2_Vgll3_2,Satb2
Ex_Trabd2b_Slc30a3_Pdzrn3,Trabd2b
Ex_Nxph4_Zar1l_2,Tfap2d
Inh_Pax8_Zan,Oprk1
Inh_Lhx1_Vsir_3,Pax6
ExInh_Lmx1b_Slc26a7_2,Egfem1
Ex_Skor1_Kcnmb1,Pth2r
Ex_C1ql4_Calcr_3,Olfr1191-ps1
Ex_Ebf2_Sec1_3,Cdh20
Inh_Foxp2_Sox2_2,Thsd7b
Ex_Dmrta2_Chat,Lmx1a
Ex_Cplx3_Samd9l,Crym
Inh_Lhx6_Nmu_2,Rnf152
Inh_Pax2_Erfl_12,Hpgd
Inh_Pax8_Oxtr_3,Adamtsl1
Inh_Hoxc6_Kl,Slc30a3
Inh_Gata3_Tcim,Gata3
Ex_Tcf7l2_Kif26a_2,Ntng2
Inh_Gata3_Ccdc180_2,Igf1
Ex_Lmx1a_Crhbp_4,Slc26a7
