Title,Overlap,Clusters,n,N,bias,two_sided.P.Value,two_sided.adj.P.Val
Pontine and medullary reticular neurons,9,23,1834,4671,depletion,1,1
"Hypothalamic neurons, primarily mammilary body nuclei",9,23,1834,4671,depletion,1,1
"Long-range projecting interneurons of cortex, striatum, and pallidum",4,10,1834,4671,enrichment,1,1
Midbrain and pontine neurons,8,21,1834,4671,depletion,1,1
Midbrain neurons,8,21,1834,4671,depletion,1,1
Hypothalamic and pallidal MGE neurons,5,13,1834,4671,depletion,1,1
Pontine and medullary neurons,5,13,1834,4671,depletion,1,1
Reticular medullary neurons,11,29,1834,4671,depletion,1,1
Pontine and medullary neurons,9,24,1834,4671,depletion,1,1
Bed nucleus neurons,6,16,1834,4671,depletion,1,1
Pontine and medullary neurons,6,16,1834,4671,depletion,1,1
Tegmental neurons,6,16,1834,4671,depletion,1,1
Pontine and medullary neurons,7,19,1834,4671,depletion,1,1
"CGE isocortical interneurons, primarily layer 1",4,11,1834,4671,depletion,1,1
"Tegmental neurons, primarily co-releasing (PMIDs 2797622 33619763)",4,11,1834,4671,depletion,1,1
Midbrain neurons,5,14,1834,4671,depletion,1,1
Ventral cochlear nuclei neurons,5,14,1834,4671,depletion,1,1
Tectal neurons,5,14,1834,4671,depletion,1,1
Tectal neurons,10,28,1834,4671,depletion,0.85,1
Pontine and medullary reticular neurons,23,63,1834,4671,depletion,0.7,0.87
"Posterior medullary neurons, primarily spinal nucleus",15,42,1834,4671,depletion,0.75,0.93
Tectal neurons,17,48,1834,4671,depletion,0.66,0.84
Inferior collicular neurons,10,29,1834,4671,depletion,0.7,0.87
Midbrain neurons,9,27,1834,4671,depletion,0.56,0.76
Pontine and medullary neurons,15,44,1834,4671,depletion,0.54,0.76
Hypothalamic and pallidal neurons,11,33,1834,4671,depletion,0.59,0.79
Pontine and medullary noradrenergic neurons,5,16,1834,4671,depletion,0.61,0.8
Raphe serotoneregic and excitatory neurons,8,25,1834,4671,depletion,0.54,0.76
Lateral olfactory tract and amygdalar neurons,5,17,1834,4671,depletion,0.47,0.73
Raphe serotonergic and inhibitory neurons,4,14,1834,4671,depletion,0.59,0.79
Pontine and medullary neurons,9,29,1834,4671,depletion,0.45,0.71
Pontine and medullary reticular neurons,9,29,1834,4671,depletion,0.45,0.71
"Entorhinal, insular, and piriform excitatory neurons",3,11,1834,4671,depletion,0.54,0.76
Amygdalar neurons,3,11,1834,4671,depletion,0.54,0.76
Midbrain neurons,9,30,1834,4671,depletion,0.35,0.66
Pontine and medullary neurons,5,18,1834,4671,depletion,0.47,0.73
Pontine and medullary neurons,16,51,1834,4671,depletion,0.31,0.62
Hypothalamic and pallidal MGE neurons,3,12,1834,4671,depletion,0.39,0.68
"Pontine and medullary neurons, primarily nucleus of the lateral lemniscus",3,12,1834,4671,depletion,0.39,0.68
Tectal neurons,30,91,1834,4671,depletion,0.23,0.51
Tegmental neurons,13,43,1834,4671,depletion,0.27,0.57
Pontine and medullary neurons,6,22,1834,4671,depletion,0.28,0.59
Layer 6 isocortical neurons,4,16,1834,4671,depletion,0.31,0.62
Pontine and medullary neurons,5,20,1834,4671,depletion,0.25,0.54
Hypothalamic and tegmental neurons,4,17,1834,4671,depletion,0.22,0.49
"Medullary neurons, primarily nucleus of the solitary tract",7,28,1834,4671,depletion,0.17,0.41
"Hypothalamic neurons, primarily zona incerta",2,11,1834,4671,depletion,0.22,0.49
Pontine and medullary reticular neurons,8,32,1834,4671,depletion,0.11,0.3
Pontine and medullary reticular neurons,9,36,1834,4671,depletion,0.088,0.25
Pontine and medullary neurons,5,23,1834,4671,depletion,0.091,0.26
Hypothalamic and tegmental neurons,8,34,1834,4671,depletion,0.077,0.24
"Tegmental neurons, primarily interstitial nucleus of Cajal",3,17,1834,4671,depletion,0.082,0.24
Lateral habenular neurons,8,35,1834,4671,depletion,0.055,0.2
Posterior hypothalamic neurons,5,25,1834,4671,depletion,0.063,0.21
Midbrain neurons,7,32,1834,4671,depletion,0.046,0.18
Pontine and medullary neurons,4,22,1834,4671,depletion,0.049,0.18
Tegmental neurons,8,37,1834,4671,depletion,0.028,0.13
Deep cerebellar nuclei neurons,1,10,1834,4671,depletion,0.1,0.28
Pontine and medullary neurons,4,23,1834,4671,depletion,0.033,0.14
MGE SST interneurons of hippocampus,5,27,1834,4671,depletion,0.029,0.13
Ependymal cells,1,11,1834,4671,depletion,0.059,0.2
Endothelial cells,1,13,1834,4671,depletion,0.021,0.11
Pontine and medullary reticular neurons,7,39,1834,4671,depletion,0.0075,0.052
Pontine and medullary neurons,1,14,1834,4671,depletion,0.013,0.075
Cholinergic neurons of the nucleus solitarius,1,14,1834,4671,depletion,0.013,0.075
Inferior olivary excitatory neurons,1,14,1834,4671,depletion,0.013,0.075
"Medullary neurons, primarily vestibular nuclei",3,26,1834,4671,depletion,0.0038,0.034
Pontine and medullary neurons,18,83,1834,4671,depletion,8.9e-4,0.013
Fibroblasts,5,37,1834,4671,depletion,0.001,0.013
Pontine and medullary neurons,4,34,1834,4671,depletion,6.2e-4,0.011
Pontine and medullary neurons,5,40,1834,4671,depletion,2.7e-4,0.0072
Pontine and medullary neurons,5,40,1834,4671,depletion,2.7e-4,0.0072
Pontine and medullary neurons,12,71,1834,4671,depletion,6.7e-5,0.0027
Cholinergic neurons of cranial nuclei,1,23,1834,4671,depletion,3.2e-4,0.0074
Pontine and medullary neurons,5,45,1834,4671,depletion,4.2e-5,0.0023
Pontine and medullary reticular neurons,13,78,1834,4671,depletion,1.9e-5,0.0015
Pontine and medullary neurons,8,84,1834,4671,depletion,1.2e-9,1.9e-7
