library	region	sub_region	sub_region_tube_id	donor_id	sex	dissectate	brain_struct
pBICCNsMMrTHT4iM013d210226A3	TH	T4	T4	M013	male	TH_T4_T4	TH
pBICCNsMMrTHT4iF019d210331A1	TH	T4	T4	F019	female	TH_T4_T4	TH
pBICCNsMMrTHT4iF019d210331A2	TH	T4	T4	F019	female	TH_T4_T4	TH
pBICCNsMMrTHT5iM013d210226A1	TH	T5	T5	M013	male	TH_T5_T5	TH
pBICCNsMMrTHT5iM013d210226A2	TH	T5	T5	M013	male	TH_T5_T5	TH
pBICCNsMMrTHT5iM013d210226A3	TH	T5	T5	M013	male	TH_T5_T5	TH
pBICCNsMMrTHT5iF019d210408A1	TH	T5	T5	F019	female	TH_T5_T5	TH
pBICCNsMMrTHT5iF019d210408A2	TH	T5	T5	F019	female	TH_T5_T5	TH
pBICCNsMMrTHT5iF016d210330A1	TH	T5	T5	F016	female	TH_T5_T5	TH
pBICCNsMMrTHT5iF016d210330A2	TH	T5	T5	F016	female	TH_T5_T5	TH
pBICCNsMMrTHT5iF016d210330A3	TH	T5	T5	F016	female	TH_T5_T5	TH
pBICCNsMMrTHT6iM013d210329A1	TH	T6	T6	M013	male	TH_T6_T6	TH
pBICCNsMMrTHT6iM013d210329A2	TH	T6	T6	M013	male	TH_T6_T6	TH
pBICCNsMMrTHT6iM013d210329A3	TH	T6	T6	M013	male	TH_T6_T6	TH
pBICCNsMMrTHT6iM018d210407A1	TH	T6	T6	M018	male	TH_T6_T6	TH
pBICCNsMMrTHT6iM018d210407A2	TH	T6	T6	M018	male	TH_T6_T6	TH
pBICCNsMMrTHT6iF019d210409A1	TH	T6	T6	F019	female	TH_T6_T6	TH
