library	region	sub_region	sub_region_tube_id	donor_id	sex	dissectate	brain_struct
pBICCNsMMrBSM1iF008d191029	BS	M1	M1	F008	female	BS_M1_M1	P
pBICCNsMMrMBM1iF010d200825	MB	M1	M1	F010	female	MB_M1_M1	MB
pBICCNsMMrMBM1iF012d201007	MB	M1	M1	F012	female	MB_M1_M1	MB
pBICCNsMMrMBM1iF013d201007	MB	M1	M1	F013	female	MB_M1_M1	MB
pBICCNsMMrMBM1iF011d201007	MB	M1	M1	F011	female	MB_M1_M1	MB
pBICCNsMMrMBM1iM013d201007	MB	M1	M1	M013	male	MB_M1_M1	MB
pBICCNsMMrMBM1iM012d200706	MB	M1	M1	M012	male	MB_M1_M1	MB
pBICCNsMMrBSM2iF006d190514	BS	M2	M2	F006	female	BS_M2_M2	P
pBICCNsMMrBSM2iM008d190715	BS	M2	M2	M008	male	BS_M2_M2	P
pBICCNsMMrBSM2iM009d190722	BS	M2	M2	M009	male	BS_M2_M2	P
pBICCNsMMrBSM2iF007d191016	BS	M2	M2	F007	female	BS_M2_M2	P
pBICCNsMMrBSM2iM010d191022	BS	M2	M2	M010	male	BS_M2_M2	P
pBICCNsMMrBSM2iF008d191029	BS	M2	M2	F008	female	BS_M2_M2	P
pBICCNsMMrMBM2iM012d200729	MB	M2	M2	M012	male	MB_M2_M2	MB
pBICCNsMMrMBM2iF010d200825	MB	M2	M2	F010	female	MB_M2_M2	MB
pBICCNsMMrMBM2iF012d201007	MB	M2	M2	F012	female	MB_M2_M2	MB
pBICCNsMMrMBM2iF013d201007	MB	M2	M2	F013	female	MB_M2_M2	MB
pBICCNsMMrMBM2iF011d201007	MB	M2	M2	F011	female	MB_M2_M2	MB
pBICCNsMMrMBM2iM013d201007	MB	M2	M2	M013	male	MB_M2_M2	MB
pBICCNsMMrBSM3iF006d190514	BS	M3	M3	F006	female	BS_M3_M3	MY
pBICCNsMMrBSM3iM008d190715	BS	M3	M3	M008	male	BS_M3_M3	MY
pBICCNsMMrBSM3iM009d190722	BS	M3	M3	M009	male	BS_M3_M3	MY
pBICCNsMMrBSM3iF007d191016	BS	M3	M3	F007	female	BS_M3_M3	MY
pBICCNsMMrBSM3iM010d191022	BS	M3	M3	M010	male	BS_M3_M3	MY
pBICCNsMMrBSM3iF008d191029	BS	M3	M3	F008	female	BS_M3_M3	MY
pBICCNsMMrMBM3iM012d200729	MB	M3	M3	M012	male	MB_M3_M3	MB
pBICCNsMMrMBM3iF010d200825	MB	M3	M3	F010	female	MB_M3_M3	MB
pBICCNsMMrMBM3iF012d201007	MB	M3	M3	F012	female	MB_M3_M3	MB
pBICCNsMMrMBM3iF013d201007	MB	M3	M3	F013	female	MB_M3_M3	MB
pBICCNsMMrMBM3iF011d201007	MB	M3	M3	F011	female	MB_M3_M3	MB
pBICCNsMMrMBM3iM013d201007	MB	M3	M3	M013	male	MB_M3_M3	MB
pBICCNsMMrBSM4iF006d190514	BS	M4	M4	F006	female	BS_M4_M4	P
pBICCNsMMrBSM4iM008d190715	BS	M4	M4	M008	male	BS_M4_M4	P
pBICCNsMMrBSM4iM009d190722	BS	M4	M4	M009	male	BS_M4_M4	P
pBICCNsMMrBSM4iF007d191016	BS	M4	M4	F007	female	BS_M4_M4	P
pBICCNsMMrBSM4iM010d191022	BS	M4	M4	M010	male	BS_M4_M4	P
pBICCNsMMrBSM4iF008d191029	BS	M4	M4	F008	female	BS_M4_M4	P
pBICCNsMMrMBM4iM012d200729	MB	M4	M4	M012	male	MB_M4_M4A	MB
pBICCNsMMrMBM4AiF010d200825	MB	M4	M4A	F010	female	MB_M4_M4A	MB
pBICCNsMMrMBM4BiF010d200825	MB	M4	M4B	F010	female	MB_M4_M4B	MB
pBICCNsMMrMBM4AiF012d201007	MB	M4	M4A	F012	female	MB_M4_M4A	MB
pBICCNsMMrMBM4BiF012d201007	MB	M4	M4B	F012	female	MB_M4_M4B	MB
pBICCNsMMrMBM4AiF013d201007	MB	M4	M4A	F013	female	MB_M4_M4A	MB
pBICCNsMMrMBM4BiF013d201007	MB	M4	M4B	F013	female	MB_M4_M4B	MB
pBICCNsMMrMBM4AiF011d201007	MB	M4	M4A	F011	female	MB_M4_M4A	MB
pBICCNsMMrMBM4BiF011d201007	MB	M4	M4B	F011	female	MB_M4_M4B	MB
pBICCNsMMrMBM4AiM013d201007	MB	M4	M4A	M013	male	MB_M4_M4A	MB
pBICCNsMMrMBM4BiM013d201007	MB	M4	M4B	M013	male	MB_M4_M4B	MB
pBICCNsMMrBSM5iM008d190716	BS	M5	M5	M008	male	BS_M5_M5	MY
pBICCNsMMrBSM5iM009d190722	BS	M5	M5	M009	male	BS_M5_M5	MY
pBICCNsMMrBSM5iF007d191016	BS	M5	M5	F007	female	BS_M5_M5	MY
