Zeng_cl,gene
233,Met
233,Ntn5
234,Tpbg
234,Ntn5
234,Npnt
236,Ccbe1
236,Lingo2
236,Ddit4l
243,Satb2
243,Rorb
243,Met
243,Igfbp2
228,Adarb2
228,Smoc2
228,Adamts2
228,Dio3
229,Tacr1
229,Cd36
230,Satb2
230,Cdh9
230,Met
230,Spata13
231,Pdyn
231,Ccn4
231,Ccdc3
231,Crispld1
231,C1ql3
231,Bmpr1b
235,Tnfaip6
235,Tafa1
235,Baz1a
235,Pdyn
244,Scn5a
244,Met
244,Nptx2
207,Cd44
207,Tgfbr2
207,Ntsr1
208,Cyp26b1
208,Unc5d
208,Chrm2
208,Olfm4
210,Brinp3
210,Mybpc1
209,Baz1a
211,Mybpc1
211,Calca
212,Mybpc1
214,Zar1l
214,Igfn1
214,Qrfpr
214,Pdyn
215,Nts
219,Cntnap3
251,Syndig1l
251,Fermt1
252,Fermt1
252,Col8a1
255,Fermt1
255,Ccdc60
250,Trhr
250,Fstl5
250,Fermt1
250,Ntng1
253,Mme
253,Dsc3
253,Lypd1
254,Lamp5
254,Igfn1
254,Mybpc1
213,Tafa2
213,Rnf152
213,Clrn1
218,Chrdl1
218,Igfn1
218,Ptprd
218,Smoc2
218,Rprm
220,Satb2
220,Dio3
220,Unc13c
220,Scn5a
220,Ndst4
220,Cntnap5a
224,Trim54
225,Slc17a7
225,Chrdl1
225,Dach2
226,Satb2
226,Zic2
226,Cpne7
227,Smpdl3b
227,Trabd2b
227,Zfp536
227,Nr2f2
227,Chrm2
227,Ptchd4
271,Igfn1
271,Tmc1
272,Tafa2
272,Igfn1
272,Igf1
272,Kcng1
273,Hs3st2
273,Lrmp
273,Trim54
274,Chrdl1
274,Igfn1
274,Unc13c
274,Cartpt
274,Trim54
275,Hs3st2
275,Crh
275,Trim54
222,Tafa1
222,Adgrd1
265,Igfbp6
265,Wnt4
265,Igfn1
265,Cxcl14
265,Pou3f2
265,Ndst4
265,Ptchd4
265,Abi3bp
266,Nxph4
266,Ngf
266,Abi3bp
267,Slc17a7
267,Fos
267,Lrmp
267,Trim54
292,Hspb3
293,Lrrtm4
293,Scn4b
293,Ngf
293,Abi3bp
260,Reln
260,Wnt2
260,Igfn1
260,Chst9
261,Slc38a3
261,Pthlh
262,Reln
262,Crh
262,Sox5
263,Pou6f2
263,Ccn3
263,Igfn1
263,Tmem132c
263,Syndig1l
264,AW551984
264,Igfn1
264,Plpp4
264,Igf1
264,Nrg1
268,Shisal2b
268,Qrfpr
268,Scn5a
144,Scn5a
144,Dcn
144,Cdc25c
221,Drd1
221,Igfn1
221,Vmn1r206
221,Ecel1
276,Antxr2
276,Abi3bp
270,Adarb2
270,Bmpr1b
270,Tfap2d
270,Il1rl2
156,Zic1
408,Bmpr1b
408,Ndnf
408,Sebox
269,Ebf1
269,St18
289,Slc17a7
289,Zic1
289,Ntf3
289,Gm11639
288,Scn4b
288,Ndst4
288,Penk
288,Egln3
279,Calb1
279,Dpp10
279,Ly6g6e
279,Calb2
279,Bace2
283,Pde11a
294,Abi3bp
295,Piezo2
295,Ly6g6e
295,Abcc12
295,Epha4
296,Tfap2d
296,Pnmt
296,Abi3bp
977,Rxfp1
977,Pgm5
282,Egr2
282,Rorb
282,Adgrd1
282,Ly6g6e
285,Nmbr
285,Gask1b
285,Lama2
285,Hcrtr2
286,Syt6
291,Abi3bp
280,Ndnf
280,Ly6g6e
281,Qrfpr
281,Abcc12
281,Abi3bp
287,Nmbr
287,Pappa
246,Cbln1
246,Lef1
246,Usp43
248,Cabp7
248,Ucma
248,Tmem255b
248,Scn4b
245,Ush2a
245,Qrfpr
245,Dsc3
245,Prokr2
249,Trhr
249,Ush2a
247,Gpr101
247,Cpa6
247,Tmem255b
454,Ngfr
454,Bace2
455,Lgr6
455,Col6a1
455,Ecel1
456,Vgll3
456,Mybpc1
457,Vgll3
457,Lama1
457,Krt2
458,Vgll3
458,Unc5d
458,Krt2
459,Vgll3
459,Krt2
462,Ntn1
462,Slc39a8
462,Krt2
464,Zan
466,Tmem215
466,Dio3
480,Ccdc3
480,Ngfr
486,Plekhd1
486,Sim1
486,Lyzl4
486,Galr1
1128,Them7
1128,Prox1
1128,Angpt1
484,Slc17a7
484,Sim1
484,Myh7
484,Arhgap36
485,Slc17a7
485,Lhfp
485,Col12a1
2548,Vwa5b1
2548,Nxph3
2548,Hgf
2548,Dio3
2561,Sim1
2561,Ndst4
2561,Lhx9
259,Ebf2
259,Dgkk
488,Krt12
488,Gpr101
488,Zic5
488,Scn5a
488,Chst9
161,Mafb
161,Scn5a
161,Col23a1
161,Robo3
483,Igfbpl1
487,Gpr101
487,Cxcl12
487,Ppp1r17
461,Bcl11b
463,Moxd1
256,Rasgrp1
256,Adam33
256,Pld5
452,Tmem215
452,Trh
257,Samd3
257,Grxcr2
460,Zic2
258,Rxfp1
258,Npr3
258,Grxcr2
451,Pth2r
451,Grxcr2
451,Smoc2
438,Syt10
438,Aldh1a3
439,Zan
439,Id4
439,Arhgap24
440,Calb2
441,Dcn
441,Bace2
446,Galnt14
447,Pappa2
448,Vgll3
448,Rasl11a
448,Krt2
453,Mybpc1
442,Dcn
442,Ptprc
437,C1ql3
437,Met
437,Tfap2d
443,Cd36
443,Serpinb8
443,C1ql3
443,Tafa1
443,Dcn
444,Pim1
444,Cd36
445,Bace2
445,Tfap2d
449,Igfbp6
449,Stac
449,Tfap2d
449,Dcn
449,Mgp
450,Serpina3g
450,Klk8
450,Drd1
450,Dcn
450,Tfap2d
471,Gpr39
471,Gm11639
471,Gulp1
474,Cyp26b1
474,Grp
474,Fstl4
474,Myh7
475,Bcl11b
475,Sla
475,Nr2f2
475,Naa11
481,Lypd1
481,Neurod6
481,Piezo2
481,Cyp26b1
481,Gm11639
482,Cyp26b1
482,A730009L09Rik
482,Nrn1
472,Slc17a7
472,Grp
472,Olig3
472,Dlk1
473,Vgll3
473,Sostdc1
473,Lypd1
473,Ptprc
465,Col6a3
465,Grp
465,Dcn
478,Dio3
478,Ptprc
478,Tox
478,Cntnap5a
478,Scn7a
467,Il1rapl2
467,Ptprc
467,Npsr1
467,C1ql3
467,Cbln4
476,Ptprc
477,Cyp26b1
477,Ptprc
479,Ptprc
479,Dio3
468,Drd1
468,St8sia2
469,Npsr1
470,C1qtnf7
470,Dcn
470,Lypd1
470,Col12a1
324,Adam33
324,Mgp
324,Arhgap36
366,Hs3st4
366,Trhr
366,Tacr3
366,Dcn
366,Drd2
347,C1qtnf7
347,Dcn
308,Osr1
308,Met
308,Dio3
322,Trhr
322,C1qtnf7
322,Rxfp1
323,C1qtnf7
323,Krt2
321,Dio3
320,Baz1a
327,Folh1
327,Lefty1
328,Epha6
328,Lefty1
328,Nos1
329,Epha6
329,Grem1
330,Lefty1
330,Lrp2
331,Gpc3
342,Satb2
342,Lhx9
342,Fosb
344,Satb2
344,Lefty1
356,Nptx2
358,Lefty1
358,Dach1
358,Pde11a
358,Pcdh15
358,Prlr
359,Pde11a
359,Lefty1
359,Ddc
359,Igfbp4
346,Satb2
346,Npbwr1
346,Dcn
346,Cdc25c
348,Htr2c
348,Stxbp6
348,Tox
348,Apela
348,Dcn
352,Dcn
352,Kl
352,Adamts2
352,Htr2c
353,Lefty1
353,Gm2115
353,Col5a2
353,Dcn
353,Nptx2
361,Lefty1
361,Plekhg1
361,Slc17a6
361,Chst9
361,Grem1
367,Col5a2
367,Prss12
370,Cyp26b1
370,Npbwr1
370,Sema3d
332,Col14a1
332,Dcn
332,Krt2
345,Pde11a
345,Serpina3g
345,Cd36
345,Dcn
349,Mgp
364,Mafb
364,Apela
364,Dcn
364,Dlk1
368,Apela
368,Dio3
369,Mamdc2
369,Dcn
369,A730046J19Rik
350,Hs6st3
350,Lefty1
350,Dcn
350,Gpr139
351,Apela
351,Lhx9
354,Pde11a
354,Lefty1
354,Apela
354,Drd5
360,Dock10
360,Calb1
360,Lefty1
362,Fosb
343,Sla
343,Kdr
343,Tenm2
343,Dio3
355,Dlk1
355,Cdc25c
357,Fibcd1
357,Col6a1
357,Dcn
363,Dcn
318,Sema3d
318,Hs6st3
318,Tox3
318,C1qtnf7
318,Gm11639
319,Dcc
319,Fn1
319,Qrfpr
319,Pdzrn3
319,Dcn
376,Egr2
376,C1qtnf7
422,Nmbr
422,Smoc2
422,Dcn
428,St18
428,Sema3d
429,Piezo2
429,Lrp2
430,Serpina3g
430,Lrp2
431,Twist2
431,Lum
435,Shisal2b
435,Lum
414,Nox4
414,Gabrq
415,Cplx3
426,Vgll3
427,Pi15
427,Lrp2
427,Naa11
436,Osr1
436,Gabrq
436,Slc9a4
424,Smoc1
424,Twist2
424,Kit
424,Bace2
425,Col6a1
425,Vit
425,Slc9a4
432,Neurod6
432,Iyd
432,Oxtr
434,Prss35
434,Shisal2b
419,Aldh1a3
419,Iyd
420,Neurod6
420,Cldn22
420,Col12a1
421,Tafa1
421,Trhde
421,Mafa
417,Adgrg6
417,Naa11
418,Csf2rb2
418,Smoc2
7,Radx
7,Erg
7,Col12a1
8,Lgr6
8,Erg
9,Pde3a
9,Ctxn3
9,Ntn5
6,Col24a1
6,Teddm3
6,Ntf3
3,Ccdc80
3,Chst9
3,Teddm3
3,Trabd2b
4,Chrm2
4,Clrn1
4,Cxcl14
11,Adcyap1
11,Teddm3
11,Nts
5,Ntn5
5,Teddm3
5,Esm1
5,Clrn1
5,Prlr
1,Smoc2
1,Pcdh17
1,Teddm3
2,Unc5d
2,Cntnap3
2,Cplx3
10,Col24a1
10,Teddm3
301,C1qtnf7
301,Cfap58
302,Slc17a7
302,Cfap58
302,Osbpl3
306,Slc17a7
306,Cfap58
310,Ctxn3
310,Tecta
311,Nell1
311,Neurod6
311,Ctxn3
311,Sv2c
312,Atp10b
312,Ddit4l
312,Sv2c
313,Rspo2
313,Atp10b
313,Fbxl7
300,C1ql2
300,Dcn
300,Hmcn1
303,Ednra
303,Neurod6
304,Ddit4l
304,Grm8
304,Cdc14a
304,Tenm2
305,Trhr
305,Ntn5
305,Tmem255b
309,Ntn5
299,Satb2
299,Cpa6
299,Ddit4l
299,Glra3
314,Egfem1
314,Dpp10
314,Trabd2b
314,Cxcl14
314,Pappa
315,Cxcl14
315,Cpm
315,Chst9
316,Stat4
316,Trabd2b
317,Col5a2
317,Satb2
317,Stat4
412,Chrm3
412,Teddm3
412,Fxyd6
413,Cbln1
413,Gm9732
378,Stac
378,Gm19410
378,Atp10a
378,Otx1
381,Sertm1
381,Sh3bp4
381,Cxcl12
381,Tafa1
381,Stard8
386,Pcp4
386,Stxbp6
386,Npsr1
387,Grin2a
387,Pdyn
387,Nrgn
388,Grp
388,Masp1
388,Kcnt2
398,Syt2
398,Erg
398,Mc4r
398,Egln3
402,Vwc2l
402,Chn2
403,Pvalb
403,Col23a1
403,Otx1
409,Gfra1
409,Nrtn
401,Gm7271
401,Erg
401,Samd3
383,Grp
383,Plekha2
383,Dpp10
383,Fezf2
383,Fgf10
383,Mgp
384,Bcl11b
384,Stac
389,Blnk
389,Nos1
389,L3mbtl4
390,Cort
390,Cdc25c
391,Lypd1
391,Ndnf
393,Sv2c
393,Grin2a
393,Nrgn
399,Tafa1
399,Erg
399,Ptgfr
400,Erg
400,Nrtn
400,Bmp5
404,Cdh13
404,Grp
404,Erg
404,Baz1a
405,Erg
405,Lama4
405,Bmp5
406,Qrfpr
406,Erg
406,Krt80
377,Spc25
377,Cdhr1
394,Tafa1
394,Erg
395,Sostdc1
395,Erg
