Zeng_cl,gene
1373,Trh
1378,Slc17a8
1378,Tnni1
1378,Frmd7
1389,Pcsk5
1389,Frmd7
1357,Clvs1
1357,Top2a
1360,Top2a
1360,Igfbpl1
1364,Mfng
1364,Kcnq4
1367,Top2a
1368,Egfr
1368,Tnc
1369,Top2a
1369,Sp8
1355,Dpyd
1355,Igfbpl1
1355,Zic1
1355,Adamts19
1355,Frmd7
1356,Trdn
1356,Igfbpl1
1353,Prss35
1353,Adamts19
1353,Frmd7
1353,Lgr5
1353,Ptprk
1354,Prss35
1354,Ntn1
1354,Frmd7
1354,Col12a1
1350,Frmd7
1350,Sp8
1350,Foxp2
1350,Edaradd
1351,Chd7
1351,Abca8a
1351,Frmd7
1370,Igfbpl1
1370,Dchs2
1345,Htr3a
1359,Sp8
1359,Trpc4
1361,Draxin
1361,Grik3
1344,Htr3a
1344,Prokr2
1344,Frmd7
1347,Draxin
1347,Rgs8
1347,Foxp2
1347,Sp8
1348,Htr3a
1348,Prokr2
1348,Prox1
1349,Htr3a
1349,Mob3b
1349,Lgr5
1349,Syt6
1352,Efnb2
1352,Draxin
1352,Sp8
1341,Six3
1341,Igfbpl1
1281,Cntnap5c
1342,Masp1
1342,Eya2
1343,Ednra
1343,Otogl
1343,Igfbpl1
1346,Prokr2
1346,Gja1
1358,Lhx6
1362,Met
1362,Edar
649,Barx2
649,Vip
649,Cobll1
649,Crh
649,Tac2
667,Crh
667,Syt6
686,Igfbp6
686,Gpc3
686,Ntng1
686,Npas1
686,Htr3a
688,Ndnf
688,Teddm3
688,Glp1r
688,Gulp1
633,Rspo2
633,Vip
633,Grm8
633,Pdgfra
633,Col24a1
634,Nell1
634,Crispld2
634,Vip
634,Grm8
635,Pdgfra
635,Cbln4
635,Vip
635,Crh
652,Rspo2
652,Igfbp4
652,Vip
652,Qrfpr
652,Npy2r
662,Kit
662,Itga4
662,Vip
662,Csgalnact1
636,Reln
636,Vip
636,Col15a1
636,Dach2
637,Mfge8
637,Syt10
637,Creb5
637,Vip
653,Ccbe1
653,Vip
653,Fndc1
653,Cplx3
655,Tox2
655,Pdlim5
655,Vip
655,Cplx3
656,Vip
656,Ccbe1
656,Npy2r
656,Tac2
656,Sntb1
660,Gpr101
660,Ccbe1
660,Qrfpr
660,Vip
615,Pth2r
615,Vip
617,Ptger3
617,Sostdc1
617,Rxfp1
617,Vip
628,Cxcl14
628,Vip
628,Mybpc1
628,Chat
630,Chat
630,Vip
630,Grm8
631,Ptprt
631,Sostdc1
631,Chat
631,Vip
632,Pde5a
632,Sfrp2
632,Vip
651,Slc5a7
651,Qrfpr
651,Vip
651,Pthlh
626,Sorcs1
626,Ntn1
626,Cox6a2
626,Vip
627,Vip
627,Mybpc1
627,Tpm2
629,Drd1
629,Mybpc1
629,Col25a1
640,Nell1
640,Syt10
640,Itih5
640,Mybpc1
646,Npffr1
646,Stk32a
646,Vip
646,Igfbp7
647,Htr3a
647,Klhl1
647,Pde7b
650,Dock5
650,Qrfpr
650,Vip
663,Sfrp2
663,Egln3
698,Rspo2
698,Sfrp2
698,Ngf
698,Vip
644,Htr3a
648,Ccbe1
648,1110032F04Rik
648,Smoc2
648,Htr3a
654,Npffr1
654,Vip
654,Bcl11b
654,Igf1
654,Crb1
657,Htr3a
657,Smoc2
657,Pde3a
687,Htr3a
687,Ntf3
687,Igf1
691,Sln
691,Teddm3
691,Grpr
643,Cort
643,Cyp1b1
643,Oxtr
616,Vip
616,Stk32a
618,Cort
618,Rgs5
618,Vip
638,Vip
638,Acvr1c
638,Pthlh
666,Cd24a
666,Tac2
666,Crabp1
680,Gas2l3
680,Krt73
680,Cxcl14
689,Sln
689,Npy2r
689,Naa11
689,Adarb2
692,Ppp1r1c
692,Krt73
692,Gldn
699,Sln
699,Clca3a1
642,Stxbp6
642,Tnfaip8l3
693,Cxcl14
693,Tac2
693,Edaradd
664,Col14a1
622,Itih5
622,Syt10
622,Vip
639,Vip
639,Crabp1
639,Gldn
639,Col15a1
641,Cadps2
641,Vip
641,Hsd11b1
641,Tac2
641,Nptx2
641,Ptprk
645,Grpr
645,Htr3a
645,Colgalt2
645,Hpse
625,Klhl14
625,Htr3a
625,Lama3
625,Teddm3
5343,Col14a1
5343,Vip
5343,Tac2
684,Nr1h4
684,Krt73
684,Gldn
665,Calcb
665,Myh8
685,Shisal2b
685,Vip
685,Edaradd
685,Postn
677,Slc17a8
677,Krt73
677,Vip
624,Reln
624,Pax6
624,Pcsk5
624,Htr3a
624,Tac2
661,Col14a1
661,Krt73
661,Pax6
5339,Fbn2
5339,Cpne8
5339,Itga8
659,Gdpd2
659,Teddm3
659,Tac2
670,Npy2r
670,Rarres1
670,Bmp3
670,Syt6
678,Gdf6
678,Sln
679,Gdf6
679,Grpr
681,Gdf6
681,Npas1
681,Cbln2
694,Tcim
694,Clrn1
694,Glp1r
695,Prok2
695,Rgs5
696,Baiap2l2
696,Teddm3
696,Penk
700,Ppp1r1c
700,C130074G19Rik
671,Syndig1l
671,Prok2
671,Bmp4
682,Ibsp
682,Cxcl14
682,Wif1
697,Col14a1
697,Prom1
697,Frem2
668,Sln
668,Gas2l3
668,Sytl4
669,Vgll3
669,Sytl4
675,Prok2
675,Snx31
675,Htr3a
683,Calcb
683,Krt73
683,Arhgef26
673,Ibsp
673,Dytn
673,Wif1
674,Npas1
674,Krt73
674,Myo5b
674,Calca
676,Vwc2l
676,Lama1
676,Ibsp
672,Htr3a
672,Edaradd
690,Cyp26b1
690,Stk32b
690,Edaradd
701,Sln
701,Lamp5
701,Rxfp1
702,Atp6ap1l
702,Ndnf
702,Pde11a
702,Cxcl14
702,Cplx3
703,Pde11a
703,Dock5
703,Cplx3
704,Hs6st3
704,Rassf2
704,Rasl11a
704,Cplx3
705,Chst7
705,Ndnf
705,Kcns3
705,Arhgap31
705,Cplx3
719,Htr4
719,Pde11a
719,Agtr1a
719,Cdh7
719,Cplx3
718,Sorcs1
718,Pde3a
718,Ndnf
718,Cplx3
720,Dock5
720,Pde3a
706,Calb2
706,Hsd11b1
706,Tph2
706,Cplx3
707,Ndnf
707,Tac2
707,Gpc6
707,Slit1
707,Cplx3
708,Ntn1
708,Tac2
708,Cplx3
712,Tnnt1
712,Teddm3
712,Fam163a
714,Ntn1
714,Ndnf
714,Pde11a
714,Lamp5
714,Sorcs1
714,Cplx3
709,Col14a1
709,Cxcl14
709,Tph2
710,Rxfp1
711,Col14a1
711,Teddm3
713,Col14a1
713,Krt73
713,Tgfbi
721,Col14a1
725,Lhx6
725,Ccn3
725,Fstl4
725,Egfr
728,Wif1
728,Gulp1
729,Baiap2l2
729,Dgkk
729,Mctp2
729,Nmbr
723,Cort
723,Pdlim3
727,Tcap
727,Rab38
722,Baiap2l2
722,Lhx6
722,Ndnf
722,Edaradd
724,Baiap2l2
724,Col5a2
726,Egfr
726,Ror2
726,Sv2c
726,Mctp2
613,Pde11a
613,Rxfp3
614,Krt12
614,Pthlh
592,Tcap
592,Moxd1
592,Il7
592,Corin
593,Col24a1
593,Rbp4
593,Il7
593,Gpc4
594,Tcap
594,Mybpc1
594,Th
608,Grpr
608,Rbp4
608,Akr1c18
611,Npy2r
611,Adamts5
611,Cort
611,Npr3
612,Aox3
612,Nxph2
612,Adamtsl5
599,Reln
599,Gad1
599,Pvalb
599,Mybpc1
600,Oprd1
600,Ap1s3
600,Cntnap5a
606,Cort
606,Npnt
606,Mybpc1
606,Col25a1
591,Fign
591,Lhx6
591,Adamtsl5
591,Mybpc1
596,Pde5a
596,Htr2c
596,Sema3e
596,Cort
596,Prss23
597,Corin
597,Cort
597,Ecel1
598,Prss23
598,Spp1
598,Cort
598,Lrrc38
590,Tac1
590,Prdm8
590,Syt2
590,Corin
590,Lgals1
590,Col19a1
602,Glra3
602,Cort
602,Pdlim3
602,Col25a1
602,Erbb4
604,Pthlh
605,Trarg1
603,Edn1
603,Dach2
607,Cort
607,Tacr3
607,Ngf
607,Pla2g5
595,Pth2r
595,Cort
595,Sst
595,Fibin
601,Tcap
601,Tac1
601,Lama3
601,Prss12
610,Postn
610,Mybpc1
490,Ifit1
490,Pdyn
553,Th
553,Glis3
553,Gpr149
554,Slc24a4
554,Crh
555,Lpl
555,Crh
556,Rxfp1
556,Tac2
556,Erbb4
557,Irs4
557,Chrnb3
557,Zfp804b
557,Rtl4
514,Col6a5
514,Esr2
518,Kl
518,Edaradd
548,Htr1d
548,Prokr2
548,Edaradd
548,Gpr83
548,Ecel1
548,Gpc3
548,Moxd1
549,Cort
549,Edaradd
549,Ano2
515,Ntng1
533,Layn
533,Cox6a2
533,Gna14
535,Chrnb3
535,Hpse
540,Myh8
540,Ngf
541,Myh8
542,Cdh9
542,Lama4
543,Gna14
543,Gfra2
543,Edaradd
544,Hs3st4
544,Gna14
544,Adamts12
545,Cort
545,Cbln4
545,Gna14
546,Rarres1
546,Ano1
491,Sst
491,St8sia6
491,Chrna2
496,Lhx6
496,Cntn6
496,Cd44
496,Myh8
496,Zfp804b
497,Chrna2
497,Mgat4c
497,Vwc2
498,Sst
498,C1qtnf7
498,Pdyn
499,Kit
499,Rbp4
499,Sertm1
499,Myh8
501,Shisa9
501,Tnni3k
501,Cort
501,Crybg1
501,Crhr2
501,Necab1
502,Snx31
504,Egr2
504,Spp1
504,Cort
551,Crh
551,Rgs6
551,Pdzrn3
551,Egln3
536,Itgad
536,Cxcr4
536,Adamts19
537,Itgad
537,Fbn2
537,Cxcr4
532,Sp9
532,Ctsc
534,Abi3bp
538,Ctsc
538,Cort
538,Ptger3
538,Moxd1
538,Qrfpr
538,Fgf10
539,Piezo2
539,Cort
539,Qrfpr
609,Cort
609,Qrfpr
609,Adamts12
506,Gpc5
506,Hs6st2
506,Hpse
507,Stk32b
507,Hpse
507,Akr1c18
531,Hpse
531,Tent5a
505,Tnni3k
505,Htr4
505,Akr1c18
512,Sst
512,Cort
512,Pla2g5
523,Ano3
523,Edaradd
523,Nxph2
523,Tnni3k
523,Adamts12
523,Moxd1
489,Syndig1l
489,Fxyd6
489,Pnoc
508,Pdyn
509,Pde5a
509,Hpse
510,Rxfp3
524,Slc9a2
524,Pou6f2
524,Eya1
521,Pdyn
521,Slc9a2
521,Cort
521,Prkg2
521,Npas1
522,Cort
522,Moxd1
522,Sfrp2
522,Ifit1
522,Dchs2
494,Moxd1
494,Kit
494,Tnni3k
494,Cort
511,Pdyn
511,Gad2
511,Tnni3k
511,Rprml
529,Crh
529,Nr2f2
560,Snx31
560,Corin
561,Rxfp1
561,Crybg1
561,Crh
561,Snx31
495,Rprml
495,Egln3
495,Calb1
495,Unc13c
495,Lgals1
495,Scube2
503,Crybg1
503,Prokr2
503,Cort
503,Gpx3
558,Tmem100
558,Cort
558,Nts
552,Crhr2
552,Tmem26
552,Cort
552,Met
559,Stac
559,Cort
559,Snx31
559,Corin
525,Htr2a
525,Baiap3
525,Pdyn
526,Nkain3
526,Cox6a2
526,Hpse
528,Sst
528,Pdyn
492,Eya4
492,Pdyn
492,Cdk6
492,Cort
492,Nell1
493,Nxph1
493,Tnni3k
493,Myo5b
493,Egln3
513,Lgals1
513,Cdh7
513,Pdyn
513,Egln3
527,Zmat4
527,Sst
527,Prss12
527,Cdk15
547,Ror2
547,Tacr3
547,Gpr83
550,Sst
550,Cacna2d3
550,S1pr3
1126,Moxd1
1126,Sp8
516,Dsg2
516,Arhgap28
516,Cort
516,Rxfp3
516,Daam2
516,Col19a1
517,Tnni3k
517,Crhbp
517,Ndnf
519,Cxcr4
519,Ngf
530,Sst
530,A730009L09Rik
530,Edaradd
1217,Crhr2
1217,Arhgap36
1220,Moxd1
1220,St18
1220,Cgnl1
1222,Stac
1222,Qrfpr
1222,Cdca7
1222,Cplx3
1251,Adamts5
1251,Egfr
1251,Moxd1
1251,Crhr2
1251,Cplx3
572,Egfr
572,Tmem132c
572,Padi2
572,Crabp1
574,Gna14
574,Crhbp
574,Pdlim3
575,Lhx6
575,Nr5a2
577,Pthlh
577,Gdnf
577,Wnt10a
562,Sec14l5
562,Gna14
580,Fzd5
580,Gna14
580,Car4
573,Th
573,Crabp1
576,Syt2
576,Hmcn2
576,Lhx8
565,Slc5a7
565,Lhx8
565,Hmcn2
581,Hmcn2
581,Adgrf5
581,Crabp1
581,Lhx8
566,Slc5a7
579,Il1rapl2
579,Hs3st2
579,Crhbp
769,Tshr
769,Adamts5
769,Ecel1
759,Tshr
759,Moxd1
759,Drd2
766,Tshr
766,Arhgap28
766,Cox6a2
766,Gpc4
773,Spag17
773,Lhx8
773,Ntn1
763,Npy
763,Cfap61
764,Adgrg6
764,Npy
764,Bace2
765,Spag17
768,Sel1l3
768,Lhx6
768,Hhip
762,Tac1
762,Adgrg6
762,Qrfprl
762,Ndnf
771,Hhip
771,Tacr1
760,Colec12
760,Cobll1
760,Lhx8
772,Sfrp2
772,Npy
772,Lhx8
775,Lhx8
775,Crhbp
775,Ndnf
775,Agtr2
520,Ntn1
520,Cort
520,Crabp1
767,Slc5a7
767,Cort
767,Adgrg6
761,Trhr
770,Wnt2
770,Inhba
774,Cox6a2
774,Drd1
774,Qrfprl
774,Gpr139
732,Moxd1
732,Frem3
732,Npsr1
732,Prkg2
738,Npr3
738,Itga8
738,Lhx8
738,Grem1
739,Cyp26a1
739,Ndst4
739,Car8
739,Dach2
740,Tshr
740,Cyp26a1
740,Car8
741,Crhr2
741,Tacr3
741,Corin
742,Zfp536
742,Pgr15l
742,Cyp26a1
743,Robo3
743,Rxfp3
743,Corin
818,Qrfprl
818,Corin
820,Th
820,Robo3
820,Gbx1
821,C1ql2
821,Cpne4
821,Avpr1a
821,Gbx1
822,Dsc3
823,Adamtsl3
823,Scube2
823,Gbx1
824,Efemp1
824,Gbx1
834,D7Ertd443e
834,Atp8b1
834,Lhx8
834,Kcng1
836,Calb2
839,Mageb18
839,C1ql2
744,Npy2r
744,Lhx6
744,Gm8113
744,Zfp536
745,Chrm3
745,Robo3
745,Sgcz
745,Arhgef26
745,Lhx8
745,Kcnh1
745,Vwc2
746,Npffr2
746,Cntnap4
746,Gbx1
747,Npffr2
747,Sp9
747,Lhx8
748,Cckar
748,Lhx6
748,Kcns3
749,Col5a2
749,Gm8113
750,Sostdc1
750,Htr1b
750,A730046J19Rik
750,Gbx1
751,Cxcl14
751,Gm8113
752,Slc5a7
752,Gda
752,Gadl1
753,Gadl1
816,Grpr
816,Lhx8
816,Tshr
816,Dlk1
830,Prokr2
830,Myo3b
830,Gpr174
831,Cyyr1
831,Kcnj5
831,Gbx1
832,Sox6
832,Gpr174
832,Prkg2
730,Trpc7
730,Lhx8
730,Moxd1
730,Sfrp1
730,Prlr
731,Pcsk6
731,Lhx8
731,Moxd1
731,Cbln4
731,Nrp1
736,Cckar
736,Sst
736,Pvalb
736,Lhx8
737,Moxd1
737,Lama4
737,Lhx8
755,Rbp4
755,Col23a1
755,Lhx8
755,Igf1
819,Crh
819,Gbx1
825,Cav1
825,Gabrq
825,Gbx1
826,Chrna2
826,Cav1
826,Lamc3
827,Gbx2
827,Trdn
828,Tmem72
733,Slc32a1
733,Col8a1
733,Bmp6
734,Shisa3
734,Lhx6
734,Tacr3
754,Npy2r
754,Dsc3
754,Avpr1a
817,Npr3
837,Npy2r
837,Vip
837,Lhx8
838,Gpr50
838,Ptprt
838,Nxph4
829,Rxfp2
829,Prokr2
829,Chrna2
840,Cyyr1
840,Chrna2
756,Cckar
756,Lhx6
756,C1qtnf7
757,Lhx6
757,Ccbe1
757,Lama4
757,Crhbp
757,Arhgap36
758,Apbb1ip
758,Nxph2
758,Sox6
758,Npsr1
833,Vgll3
833,Slc5a7
833,Ngf
833,Lhx8
835,Sostdc1
835,Chrna2
786,Casz1
1178,Cyp26b1
1178,Hhip
1178,Kcnj5
1179,Sp9
1179,Prox1
1179,Col14a1
1179,Cyp26b1
1179,Tafa1
1180,Col14a1
1180,Maf
1180,Sp8
1180,Cyp26b1
1181,Cyp26b1
1181,Gpr174
1182,Cyp26b1
570,Krt19
571,Slc18a3
587,Drd3
587,Chat
587,Egln3
588,Slc18a3
588,Dsg1a
588,Gbx1
589,Egln3
589,Chat
589,Syt6
578,Slc5a7
584,Cox6a2
585,Ngfr
586,Slc18a3
586,Gdnf
586,Agtr1a
563,Nxph2
563,Qrfpr
563,Sfrp1
563,Lhx8
564,Pth2r
564,Chat
564,Gpr174
567,Bmp3
567,Tmem72
569,Crhbp
569,P2ry10b
582,Abi3bp
582,Tpm2
582,Lhx8
582,Tafa4
1194,Drd3
1193,Folh1
1191,Prok2
1191,Rbm20
1191,Nrp2
1191,Sh3rf2
1192,Tnnt1
1192,Cpne4
1192,Sh3rf2
1184,Rprm
1184,Drd1
1184,Crh
1184,Sh3rf2
1186,Cnr1
1186,Crym
1186,Ntng1
1186,Npffr2
1186,Prok2
1187,Prok2
1187,Fst
1187,Nts
1187,Scn4b
1188,Serpina9
1188,Glt8d2
1188,Pdyn
1190,Htr2a
1190,Drd1
1190,Nts
1190,Adamts9
1070,Fos
1070,Htr4
1070,Dlk1
1070,Tac1
1070,Sh3rf2
1081,Pdyn
1092,Tac1
1092,Ddit4l
1092,Sh3rf2
1093,Sh3rf2
1090,Drd1
1090,Zp3r
1090,Sh3rf2
1091,Ccnd2
1091,Ebf1
1091,Sh3rf2
1053,Ebf1
1053,Crh
1053,6430628N08Rik
1068,Chrm2
1068,Slc35d3
1069,Sh3rf2
1069,Ednrb
1069,Pdyn
1083,Impg1
1083,Nts
1083,Sh3rf2
1189,Drd1
1189,Nts
1189,Sh3rf2
1189,Ano2
1072,Cd36
1072,Sh3rf2
1072,Nrg1
1067,Ebf1
1067,Igfbp4
1067,Syt6
1071,Ebf1
1071,Kcnq5
1071,Zbtb16
1080,Trhr
1080,Tac2
1082,Drd1
1082,Sh3rf2
1054,Adora2a
1054,Dio3
1054,Nts
1054,Sema6a
1058,Adamts9
1058,Gpr6
1058,Crh
1058,Adora2a
1060,Tll2
1060,Bmpr1b
1060,Calcrl
1060,Scn4b
1061,Adora2a
1066,Crh
1066,Adora2a
1062,Nr2f1
1062,Meis2
1062,Gpr6
1062,Krt12
1062,Adora2a
1062,P2ry1
1055,Calcr
1065,Sh3rf2
1065,Adgrd1
1065,Gem
1077,Adora2a
1077,Slit2
1077,Nptx2
1078,Sh3rf2
1078,Cartpt
1078,Gem
1079,Cartpt
1079,Adora2a
1075,Cacng5
1075,Otof
1075,Drd3
1075,Adora2a
1076,Chrm3
1076,Drd3
1076,D7Ertd443e
1076,Arpp21
1076,Adora2a
1076,Ptchd4
1063,Kl
1063,Alk
1063,Gpr6
1063,Adora2a
1063,Sphkap
1086,Myo3b
1086,Arpp21
1086,Adora2a
1086,Stk32a
1087,Hs3st2
1087,Nts
1087,Sh3rf2
1088,Id4
1088,Adora2a
1088,Ror1
1089,Gpr88
1089,Adora2a
1056,Kcnh7
1056,Adora2a
1056,Dach1
1057,Fgf10
1057,Myo3b
1057,Kcnq5
1059,Npy2r
1059,Drd3
1059,Sh3rf2
1059,Drd2
1074,Tac1
1074,Agtr1a
1074,Adora2a
1074,Dgkk
1084,Adora2a
1084,Zp3r
1084,Htr7
1085,Nrtn
1085,Agtr1a
1085,Adora2a
1064,Sh3rf2
1064,Pim1
1064,Penk
1272,Nxph4
1272,Zp3r
1273,Agtr1a
1266,Serpina9
1266,Oprk1
1265,Crym
1265,Glra3
1269,Dscam
1267,Nrn1l
1267,Impg1
1270,Hs3st2
1270,Baz1a
1268,Fstl5
1268,Adgrv1
1268,Drd1
1268,Penk
1257,Drd3
1257,Plpp4
1257,Penk
1259,Pth2r
1259,Crabp1
1264,Tac2
1254,Foxp2
1254,Trh
1254,Col6a3
1254,Moxd1
1254,Erbb4
1255,Chrm3
1255,Trh
1255,Slc22a3
1261,Crybg1
1261,Npffr2
1271,Scn10a
1271,Hmcn1
1277,Ankfn1
1277,Chst9
1277,Zfpm2
1277,A730046J19Rik
1278,Tnfaip6
1278,A730046J19Rik
1278,Penk
1278,Trpc3
1279,Tnfaip6
1279,St8sia6
1260,Npy2r
1260,Six3
1262,Gfra1
1262,Tac1
1262,Plscr4
1263,Tac1
1263,Tpbg
1263,Baz1a
1263,Grm8
1276,Blnk
1276,Nfix
1276,Stc1
1280,A730046J19Rik
1280,Baz1a
1280,Penk
1280,Pdyn
1048,Tshz2
1048,Il1rl2
1274,Six3
1274,Foxp2
1274,A730046J19Rik
1274,Hmcn1
1275,Pth2r
1275,Drd3
1275,Chst9
1275,A730046J19Rik
1256,Col6a3
1256,Tnnt1
1256,Mdfic
1256,Thsd7b
1292,Scn10a
1292,Glp1r
1297,Scn10a
1297,Npffr2
1297,Col14a1
1296,Fibcd1
1296,Cyp26b1
1296,Ankfn1
1298,Fmod
1293,Fmod
1293,Ngf
1293,Npsr1
1294,Trhr
1294,Htr3a
1294,Ntsr1
1294,A730046J19Rik
1295,Ccdc3
1295,Atp6ap1l
1295,Htr3a
1291,Nog
1291,Htr3a
1291,Prokr2
1291,Syt2
1170,Cyp26b1
1170,Sp8
1170,Arhgap36
1171,Stac
1171,Cyp26b1
1171,Nfix
1171,Col14a1
1172,Cyp26b1
1172,Sp8
986,Aox3
986,Prdm12
986,Ctxn3
998,Sox6
998,Prdm12
998,Vip
980,Prdm12
980,Prkcd
984,Trpc5
984,Sema3a
984,Klhl1
984,Pax6
984,Prdm12
984,Zic5
1183,Prdm12
1183,Spag17
983,Tac1
983,Sp8
987,Npy2r
987,Tac1
987,Tpbg
987,Pax6
985,Prdm12
988,Prdm12
988,Mypn
996,Aldh1a3
996,Npy2r
996,Cdh23
996,Nts
982,Lgr6
982,Slc32a1
982,Sfrp2
982,Zic5
1004,Slc18a2
1022,Nox4
1022,Serpinb1b
981,Prdm12
995,Spag16
995,Pth2r
995,Trhde
995,Scn7a
994,Gpr39
994,Gal
994,Pth2r
990,Prdm12
990,Crhbp
993,Egfem1
993,Htr5b
993,Prdm12
993,Adra1a
993,Tmem114
991,Prdm12
991,Slc35d3
991,Olfm3
991,Met
992,Gpr39
992,St8sia6
992,Prdm12
992,Pth2r
989,Aldh1a3
989,Npy
989,Prdm12
978,Prdm12
978,Slc35d3
978,Ntn1
978,Igfbpl1
885,Reln
885,Clic6
885,Atp6ap1l
885,Calcr
877,Calcr
877,Mdga1
877,E130114P18Rik
877,Zic1
877,Zfp804b
898,St8sia6
898,Sytl4
907,Six3
907,Sp8
907,Zic5
907,Sema3d
935,Sp8
935,Nell1
935,Six3
935,Sulf1
935,Mia
896,Slc18a3
896,Sytl4
897,Prlr
897,Sytl4
882,Asb4
882,Tmem26
882,Otx2
882,Lhx8
887,Clic6
887,Gm45194
887,H2-Q2
887,Glp1r
887,Arhgap36
888,Clic6
888,Dlk1
888,Fras1
889,Dio3
883,Calcr
883,Il1rapl2
883,Lhx8
883,Ndst4
883,Irs4
883,Pnoc
891,Nfib
891,Cmtm8
891,Lhx8
891,Lhx2
854,Ddr2
854,Six3
854,Sp8
854,Arhgap36
878,Fibcd1
878,Arhgef38
878,Otx2
878,Kcnh8
879,Rasgrp1
879,Ptgds
879,C130074G19Rik
879,Tmem26
880,Arhgef38
880,Syt6
880,Ecel1
890,Avpr1a
913,Gm45194
913,Egr2
913,Esr1
913,Cytip
876,Prdm12
876,Cartpt
876,Hcrtr1
886,Clic6
886,Pde3a
886,Lbhd2
886,Fezf2
893,Clic6
893,Atp6ap1l
893,Bdnf
893,Arhgap36
894,Clic6
894,Otx2
894,Cftr
894,Sp8
895,Ddr2
895,Clic6
895,Sostdc1
895,Dlk1
859,Calcr
859,Chat
859,Sp8
859,Arhgap36
892,Egr2
892,Sst
892,Asb4
892,Ddr2
892,Ano2
856,Asb4
856,Six3
857,Npy2r
857,Ddr2
857,Pnoc
868,Arhgef38
868,Prkg1
868,Prss23
870,Egr2
870,Arhgef38
870,Sostdc1
870,Prlr
870,Prss23
855,Id2
855,Cpa6
855,Ttr
861,Nts
861,Cytip
862,Gng8
862,Chat
863,Kit
864,Fgf16
864,Chat
864,Grin3a
864,Gpr139
865,Sphkap
865,Col18a1
871,Scn4b
918,Prdm12
918,Gpc5
918,Iqgap2
884,Asb4
884,Tshz2
884,Cxcl14
884,Nkx2-1
1592,Six3
1592,Tox3
1592,A730046J19Rik
1593,Six3
1593,Lhx8
1593,Cytip
1595,Eya1
1595,Lhx8
847,Otx2
847,Lhx8
842,Pou6f2
842,Myo5b
842,Pth2r
842,Dscaml1
842,Ano1
845,Pth2r
845,Sp8
846,Prdm12
846,Nfatc1
846,Nxph1
849,Pth2r
849,Fstl4
849,Sp8
849,Arhgap36
843,Rtl4
843,Spint1
843,Rgs4
843,Crhr2
843,Cpa6
843,Zbtb16
844,Cdh20
844,Gpr88
844,Htr1a
844,Npy2r
844,Ano1
848,Lhx8
848,A730046J19Rik
850,Spint1
850,A730046J19Rik
850,Cbln4
850,Sp8
853,Drd3
853,Vwa5b1
869,Egr2
869,Drd3
869,Ano2
869,Vwc2
869,Nxph1
881,Styk1
881,6430628N08Rik
1590,Tmem132c
1590,Lhx8
1590,Rassf10
851,Moxd1
851,Chat
858,Slc5a7
858,Chat
858,Moxd1
858,Fst
860,Fgf3
860,Chat
860,Isl1
841,Tmem176a
866,Cpa6
866,Lhx8
866,Gck
976,Sh3rf2
852,Asb4
852,Isl1
852,Arhgef38
852,Galr1
867,Ddr2
867,Arhgef38
867,Met
919,Fibin
919,Ddr2
919,Igfbpl1
936,Isl1
936,Foxp2
936,Cdh23
936,Prdm12
936,Nek10
944,Foxp2
944,Pgpep1l
944,Prdm12
944,Six3
944,Chrm2
944,Ndst4
948,Gda
948,Qrfpr
948,Glp1r
948,Ano1
950,Foxp2
950,Kcng1
950,Nts
950,Glp1r
950,Ano1
955,Prdm12
955,Pcsk6
956,Prdm12
956,Sema5b
956,Foxp2
956,Pcsk6
959,Foxp2
959,Adarb2
959,Prdm12
959,Adam18
959,Tox
959,Fbn2
960,Adam12
974,Prdm12
974,Atp6v1c2
974,Foxp2
943,Trpc5
943,Prok2
943,Drd1
945,Prdm12
945,Glis3
946,Asb4
946,Drd3
946,Prdm12
946,Cntnap5a
946,Myo3b
946,Nxph1
953,Prrxl1
954,Foxp2
958,Pou6f2
958,Slc12a8
961,Rfx4
961,Thsd7b
961,Sv2c
941,Hs3st4
941,Drd3
941,Glp1r
942,Edil3
942,Cntnap3
942,Prdm12
942,Glp1r
952,Stac
952,Fgf3
952,Calcrl
952,Ror1
964,Cpa6
964,Egfem1
969,Itga4
969,Penk
970,Adarb2
970,Fgf3
970,Galr1
970,Prdm12
940,Fgf3
940,Prdm12
947,Aldh1a3
947,Otx2
947,Gpr88
939,Sox5
939,Prdm12
939,Cartpt
939,Lgr6
951,Sst
951,Nts
968,Ccdc141
968,Lhx6
968,Sst
968,Rassf10
973,Fgf3
973,Rasl11a
967,Isl1
967,Spp1
967,Gpr101
899,Zeb2
899,Prdm12
899,Chodl
899,Rab38
928,Erbb4
928,Fst
928,Fgf3
928,Met
972,Fbxw13
972,Foxp2
957,Sp8
920,Epha6
920,Slc5a7
920,Ndnf
920,Col6a3
920,Brinp3
924,Drd1
924,Edaradd
924,Cytip
925,Klk8
925,Fgf3
925,Rasl11a
926,Col6a3
926,Pik3c2g
926,Zbtb7c
927,Prdm12
927,Agtr1a
927,Mctp2
934,Hs3st4
934,Prdm12
934,Apela
934,Ptk2b
921,St18
921,Gpr149
921,Ecel1
923,Adamtsl1
923,Hmcn1
923,Col6a3
923,Ano2
923,Tox
909,Calcr
909,Ntsr1
905,Ttr
905,Fmo1
905,Pnoc
905,Kcng1
911,Col6a3
911,St18
911,Mctp2
911,Trp53i11
912,Prokr2
912,Gda
912,Plpp4
912,Adamtsl3
912,Ano1
917,Col6a3
917,Pik3c2g
917,Adamtsl3
929,Kcng3
929,6430628N08Rik
