gene_id,mean_exp_single_cell,mean_exp_single_nuc
ENSMUSG00000051951,8.829478725823439,9.35311309596864
ENSMUSG00000025900,0.05449642733405036,0.06385829338540512
ENSMUSG00000025902,0.011075260261110591,0.01578647132255614
ENSMUSG00000033845,2.257564579969143,2.510916216908264
ENSMUSG00000025903,2.7663648021465455,0.7289562691269159
ENSMUSG00000033813,5.5301813674650475,3.946808271041654
ENSMUSG00000002459,3.566794227355746,2.3880858658592223
ENSMUSG00000033793,5.34910386374718,5.780097186967235
ENSMUSG00000025905,1.3817590946957263,0.6828229433034144
ENSMUSG00000033774,0.14837438904923894,0.02210458764630526
ENSMUSG00000025907,6.365283596848996,5.952575833409863
ENSMUSG00000087247,0.03149866897413855,0.014823528381954588
ENSMUSG00000033740,0.7507330122485659,0.5636416498165756
ENSMUSG00000051285,6.549906387083714,5.772030773190453
ENSMUSG00000025909,8.882915231773715,8.991188307669239
ENSMUSG00000061024,1.5669924470482017,1.040193413891943
ENSMUSG00000025911,0.35753290510669533,0.5558300124658596
ENSMUSG00000067879,1.4903035667869864,0.7681686053861287
ENSMUSG00000025912,0.47859042984842537,0.4200966146325642
ENSMUSG00000045210,4.501196989374437,2.503896779035562
ENSMUSG00000025915,1.0617400820060736,1.5805807088792703
ENSMUSG00000046101,1.3317276543589103,1.8330293885614501
ENSMUSG00000099032,0.025886813361227466,0.034646937129854005
ENSMUSG00000025916,0.15695701523508876,0.11975411565048102
ENSMUSG00000025917,3.391305324544015,4.3130492946444035
ENSMUSG00000056763,5.950271193033021,6.27269528545698
ENSMUSG00000067851,5.92239405704064,5.817503448865534
ENSMUSG00000042501,0.732950309724478,0.7802296901809547
ENSMUSG00000048960,2.3972660289944607,2.1950511170236657
ENSMUSG00000057715,5.529690798310518,5.39346579905242
ENSMUSG00000016918,1.2899514532987537,0.9574978826491315
ENSMUSG00000025938,0.6589513178208631,0.7168992396898015
ENSMUSG00000042414,0.006937756980358749,0.0043275527064292486
ENSMUSG00000005886,6.437761092305354,6.645909638994328
ENSMUSG00000025935,3.1174838552015194,2.0582523317431436
ENSMUSG00000025937,1.4480307063993252,2.096649777151045
ENSMUSG00000067813,0.0034507098556295353,0.0052844121448021465
ENSMUSG00000025932,0.34493973681296314,0.3239039875662477
ENSMUSG00000025930,0.19731422234260762,0.15901476091030328
ENSMUSG00000032769,0.04209370387627438,0.06761836700765632
ENSMUSG00000092083,8.13122915576036,7.949087138977802
ENSMUSG00000025925,3.3087447378816033,3.8478799722569823
ENSMUSG00000032719,0.1404510873178538,0.27736771890592254
ENSMUSG00000067795,0.8273614817688857,0.4660310585704676
ENSMUSG00000043716,8.009568311535167,3.951466607678234
ENSMUSG00000025921,1.316500356565302,1.0949395008881282
ENSMUSG00000025920,7.640154060571727,7.436541497197001
ENSMUSG00000025939,6.209312651649971,5.974836713912295
ENSMUSG00000079658,5.8225532108627265,3.320443919937198
ENSMUSG00000025940,2.8151706708360407,2.076526162338923
ENSMUSG00000025779,0.14086659642411345,0.3113024486790138
ENSMUSG00000042686,0.8908283186928416,0.8018306024241462
ENSMUSG00000025777,6.407328922570286,4.374896636234137
ENSMUSG00000067780,0.11215227547225935,0.12708383632265707
ENSMUSG00000025776,0.5469039459674999,0.8234943174764852
ENSMUSG00000025774,0.0027163532265095697,0.0034089468893084146
ENSMUSG00000073735,1.0505384735335217e-4,1.545003661685608e-5
ENSMUSG00000067773,0.0016043278680541277,0.0012016259918268563
ENSMUSG00000042596,0.3551194854375573,0.4072715238377768
ENSMUSG00000025927,0.6588509108885945,0.5732399553152931
ENSMUSG00000043760,0.15077459865872056,0.14914739009347444
ENSMUSG00000025929,3.533274569115325e-5,1.4416474109404507e-5
ENSMUSG00000041872,0.0027944485744013587,0.0016010446967523939
ENSMUSG00000041859,0.017816944162553982,0.00982632704370715
ENSMUSG00000025931,2.066623492144168,1.6502317965162592
ENSMUSG00000041809,0.15557235634411037,0.13152834190249446
ENSMUSG00000041779,0.1625002847444195,0.2002607074156997
ENSMUSG00000025933,2.5307257645132815,1.7420771931556547
ENSMUSG00000025934,0.3606334943989977,0.42619728174685345
ENSMUSG00000067750,0.001180157747153813,0.0019665782762978
ENSMUSG00000041722,0.0018496173913072102,0.0024718413228319042
ENSMUSG00000085079,0.0026771311735224344,0.008252088179682156
ENSMUSG00000028033,6.258823964519166,5.927227829979462
ENSMUSG00000041670,9.091598482151038,9.327419756691803
ENSMUSG00000073730,3.660713873468177e-4,1.506875577294694e-4
ENSMUSG00000026158,5.919053961923797,3.24300769477445
ENSMUSG00000026156,2.5724691852288673,1.8772343692873008
ENSMUSG00000026155,5.693044165757972,5.318135074537603
ENSMUSG00000026154,3.8783778820010024,1.5916511966474594
ENSMUSG00000026153,4.766622944371522,4.647273707996355
ENSMUSG00000026147,0.04967890532699158,0.03795149262405337
ENSMUSG00000026141,1.327294811861723,1.7984990321416605
ENSMUSG00000073725,6.365512538171649,5.356190347258221
ENSMUSG00000033569,10.398260878269555,10.726223381237745
ENSMUSG00000073722,2.71010640189454e-4,1.6927329629034185e-4
ENSMUSG00000048411,6.174154198558757e-4,0.001258493872661909
ENSMUSG00000048874,5.989684480162357,6.367495663428659
ENSMUSG00000026064,0.06433637388972127,0.12258985557184637
ENSMUSG00000117310,0.05480209228519926,0.04630038172267462
ENSMUSG00000117091,6.884882335204007e-7,5.228132090808938e-5
ENSMUSG00000086727,0.03013100730968749,0.048371183255998665
ENSMUSG00000050217,0.004501839110525117,0.004271317685243359
ENSMUSG00000026063,3.5678416723351715e-5,7.082543238452166e-6
ENSMUSG00000026058,7.059250512415836,7.052389184197515
ENSMUSG00000091318,0.07216596122134923,0.12843476848292978
ENSMUSG00000026134,1.9632991249694138,1.9197031242066902
ENSMUSG00000004768,2.362791116281742,1.6987632126583474
ENSMUSG00000042215,1.703314952746555,1.1809484260342575
ENSMUSG00000042197,5.099123645847883,4.017354987461551
ENSMUSG00000042182,7.48111797954633,6.441585325002971
ENSMUSG00000026131,8.366307642324204,8.710215244099631
ENSMUSG00000042111,1.5224518877367448,0.6529712467097988
ENSMUSG00000026127,1.8315224950965048,0.6302995688121461
ENSMUSG00000026126,0.14766841538967862,0.20344955814455412
ENSMUSG00000026125,3.7158494459934666e-4,1.531932030353058e-4
ENSMUSG00000026124,0.010443180854466744,0.003874406839214073
ENSMUSG00000037529,0.002160122300472548,0.005289304067991575
ENSMUSG00000045174,1.2724356525286324,0.5413411829085338
ENSMUSG00000037509,5.099164540786613,2.881264609356163
ENSMUSG00000118272,0,0
ENSMUSG00000037503,5.9298663133926,4.878604926349399
ENSMUSG00000026123,6.7233522415792555,3.4419899460070944
ENSMUSG00000045216,2.6931230466361247,1.7198520613664756
ENSMUSG00000037470,3.74780852124592,3.4530377409459474
ENSMUSG00000047180,0.030874317872233634,0.02025666066541223
ENSMUSG00000037447,0.23636973045555107,0.2535914637820632
ENSMUSG00000010453,4.073713828775878,3.759308801343244
ENSMUSG00000037432,0.02829346735331204,0.03041166771470859
ENSMUSG00000001143,3.609704382107639,3.317184276524048
ENSMUSG00000037408,1.1712174347706101,0.6003654749732136
ENSMUSG00000001138,2.5986414894422594,2.1041926869267757
ENSMUSG00000067653,0.3487384561763516,0.007636028409167423
ENSMUSG00000079610,1.6172747735148678,0.8997884011454027
ENSMUSG00000026121,0.5729201521413199,0.3405528191204212
ENSMUSG00000046337,0.020943253473584302,0.03975696527422406
ENSMUSG00000061518,7.328689997122012,3.8848220321160123
ENSMUSG00000037351,5.549100199795121,3.587804681663775
ENSMUSG00000102416,0.4856048719185405,0.9216042753706752
ENSMUSG00000026117,0.2818113000761392,0.16682290955382442
ENSMUSG00000026116,4.785383419703097,5.077512769328914
ENSMUSG00000050122,0.14766399367136177,0.14131430425403418
ENSMUSG00000026114,0.11472861335044317,0.042564064111841486
ENSMUSG00000026113,6.010229879531162,4.892200172146282
ENSMUSG00000026112,3.226753053593655,1.0724896023759762
ENSMUSG00000026111,1.9983225476399948,2.630364428798834
ENSMUSG00000026110,4.0642574634755935,3.529231613302189
ENSMUSG00000026090,2.8717357461835986,2.0490047069084554
ENSMUSG00000060771,3.3212768765080423,2.8523604267574787
ENSMUSG00000037216,0.42651641043518573,0.24105755109879795
ENSMUSG00000026088,1.3614885695690715,1.8360563544855044
ENSMUSG00000026087,4.505022278333167,2.4251125215970806
ENSMUSG00000061584,0.00892382284269865,0.00474316533579672
ENSMUSG00000026085,0.0011574272423561657,0.0015089258654040305
ENSMUSG00000058407,2.8214495554537287,2.7313659394475174
ENSMUSG00000026083,6.675347573481357,4.623091088871938
ENSMUSG00000026082,4.764500564890686,4.698601998366894
ENSMUSG00000037138,6.61299372181605,6.9031953533828005
ENSMUSG00000048814,6.627286622373164,3.9979785767204663
ENSMUSG00000026080,3.713522924357324,2.4423742996946993
ENSMUSG00000067604,0.028875452158146814,0.019343685251230633
ENSMUSG00000026078,3.3619143169301697,1.8514673646929711
ENSMUSG00000026077,2.209461292811009,1.7531775674190744
ENSMUSG00000073702,8.024240485124432,2.978025764804306
ENSMUSG00000003134,2.7215471778386178,2.647611483962234
ENSMUSG00000003135,1.6047765310023465,0.9420227103239937
ENSMUSG00000048234,2.067114275756691,2.863111730845698
ENSMUSG00000050967,3.94097662209357,2.230708991683468
ENSMUSG00000057173,0.05076006644377157,0.04346169161521877
ENSMUSG00000091937,0.0012632217240148673,2.1129362753720022e-4
ENSMUSG00000026074,4.733886858550109,4.802731737165793
ENSMUSG00000026073,0.24581165035593094,0.6781466885983151
ENSMUSG00000026072,0.2192970673921868,0.17691018989991794
ENSMUSG00000070942,0.04247811376994852,0.021178922750464298
ENSMUSG00000026069,0.006293777978358028,0.004582985343458188
ENSMUSG00000026070,0.0057739404040905926,0.008372713501038452
ENSMUSG00000026068,0.007088404329451767,0.0056462764792607
ENSMUSG00000026065,0.055514696035097406,0.04587174653695098
ENSMUSG00000026062,0.2968603838384275,0.26218897926567386
ENSMUSG00000041945,0.3041698162814552,0.22178625865229906
ENSMUSG00000079588,0.014733700604028843,0.013335833873093809
ENSMUSG00000045515,2.59074993220388,1.334544555773159
ENSMUSG00000060679,3.119628915620974,3.1179101146835153
ENSMUSG00000041907,4.312645869869532,4.046993742716477
ENSMUSG00000070939,2.5079239745454895,2.1091514148944404
ENSMUSG00000010290,2.406623595542172,1.0918512643965173
ENSMUSG00000008136,1.0107255130464776,0.8449731483945485
ENSMUSG00000066877,2.8718634010627913,2.5649892294514247
ENSMUSG00000026051,0.06674425291879536,0.04990796769878038
ENSMUSG00000057363,4.02851308731459,3.9211614708210885
ENSMUSG00000041763,3.980320649006919,4.352940104196832
ENSMUSG00000047343,0.086155806100392,0.4099070710615408
ENSMUSG00000091844,0.13320707339658663,0.03590305504443524
ENSMUSG00000026049,0.5348843173900056,0.5967484303125983
ENSMUSG00000026047,0.685904045172102,0.8228733030780292
ENSMUSG00000041684,2.0548937302908055,1.8950738181216498
ENSMUSG00000026048,2.191959851932478,1.9871849562287707
ENSMUSG00000046828,0.0039048486967691895,0.021145062767944384
ENSMUSG00000056870,1.6054397057450687,1.8155079641861243
ENSMUSG00000026043,0.019502558820808945,0.028115627887077298
ENSMUSG00000026042,0.15810079069461444,0.21293856343020984
ENSMUSG00000025995,2.0163004658334707,2.194131463304477
ENSMUSG00000098549,2.944258730139732e-4,1.4215183175588436e-4
ENSMUSG00000025993,0.19679870958404624,0.24166827072067917
ENSMUSG00000041144,1.6695619874514547,1.5908398624666813
ENSMUSG00000101337,0.7486829006648053,0.45552059360679453
ENSMUSG00000025986,5.307761629464669,4.343669992755868
ENSMUSG00000026109,7.092440176538724,7.543994061189141
ENSMUSG00000045954,0.6792886196062197,0.3834800325238617
ENSMUSG00000026107,1.4242278565500242,0.5943605212477635
ENSMUSG00000018417,1.4394276492412317,1.3693838787677792
ENSMUSG00000062939,0.07162539419032583,0.07751233002470048
ENSMUSG00000026104,1.334419096051529,1.0010654322330874
ENSMUSG00000026103,7.253102284455826,7.20174115207426
ENSMUSG00000002881,2.4601221405975537,1.5521823111152981
ENSMUSG00000043015,1.060552021617089,1.2129743861855635
ENSMUSG00000041439,5.719836635081853,3.9260103134707935
ENSMUSG00000026102,2.847300080044176,2.351832929123058
ENSMUSG00000041426,2.7204614253104857,2.8479276014516097
ENSMUSG00000043629,1.7290836905215232,2.0602849987148844
ENSMUSG00000026100,0.020531755105958994,0.010072323381657495
ENSMUSG00000060715,0.39584930610481806,0.2494197544955643
ENSMUSG00000026098,1.3375264683318953,1.3273112516680998
ENSMUSG00000026097,0.8198777617263592,0.3868432901418812
ENSMUSG00000026096,1.684912576782468,1.4153301514022472
ENSMUSG00000026095,1.5155468960987364,0.4657453282593062
ENSMUSG00000117809,0,0
ENSMUSG00000096141,1.625363001668458,0.6120153614025269
ENSMUSG00000026094,0.12477287417042775,0.06997667244000681
ENSMUSG00000042807,6.854400874340375,7.495902476788947
ENSMUSG00000025983,0.28400984678349317,0.9541634442382684
ENSMUSG00000041303,3.068625078121295,2.793886547438213
ENSMUSG00000109809,0.005972069940662803,0.005738306776007558
ENSMUSG00000073678,5.313617415204586,3.74927938343837
ENSMUSG00000052331,3.688361536886264,3.8881310225308736
ENSMUSG00000025982,5.617363031528156,6.329156864261107
ENSMUSG00000025981,2.187536141914338,2.0803594346433334
ENSMUSG00000025980,5.229940835725983,4.699021134680526
ENSMUSG00000073676,7.05520773960942,3.863299493791415
ENSMUSG00000025979,5.906309964688595,4.8950445272380065
ENSMUSG00000025978,0.16367531205600755,0.19598367993391616
ENSMUSG00000046994,1.0847729601870464,0.4156400873401536
ENSMUSG00000025977,0.0365633044073369,0.13539348717707494
ENSMUSG00000038349,4.32003151705079,5.059126135749572
ENSMUSG00000045336,9.754610519789592e-6,2.5342480593500996e-5
ENSMUSG00000038331,0.6135650365987861,0.38948459028284366
ENSMUSG00000038323,1.557494798999131,0.5800274158696659
ENSMUSG00000048495,1.382587928941912,1.4847145688479584
ENSMUSG00000025971,1.7507488222877052,1.2585135519070145
ENSMUSG00000038305,3.996867970789315,3.945412146068614
ENSMUSG00000054770,1.6377047341238382,2.0233615792451296
ENSMUSG00000026039,0.10429444365253478,0.10759401353947258
ENSMUSG00000063558,0.087461066596202,0.12751887372664816
ENSMUSG00000064294,0.08129173574180283,0.08722291685797336
ENSMUSG00000038242,0.0856209695413931,0.06614220195236399
ENSMUSG00000079554,0.08605881647639667,0.33178145078479054
ENSMUSG00000051223,4.986976191853377,4.045013783153421
ENSMUSG00000026034,4.9533245439382965,4.879731353237435
ENSMUSG00000026035,1.9154588989145092,1.7374308879262719
ENSMUSG00000026036,1.8219726251366808,1.8078735245597377
ENSMUSG00000026037,3.783844044785806,4.443684857126199
ENSMUSG00000038174,7.377587476489546,5.34860489682234
ENSMUSG00000026032,5.96122504130419,3.7636746165250385
ENSMUSG00000047528,0.05705227508737331,0.08022990757061996
ENSMUSG00000026031,0.7982351944928621,0.45901100850460974
ENSMUSG00000026029,0.05629012081952819,0.05814518887507739
ENSMUSG00000026028,3.3124768409332166,2.880723909050445
ENSMUSG00000026027,3.145303765853466,1.7888808319258471
ENSMUSG00000072295,0.037434448203755105,0.031989970488495015
ENSMUSG00000038079,2.7946977002248983,2.1206061555073537
