set,cluster_id
Songpeng et al.,326
Songpeng et al.,14965
Songpeng et al.,9391
Songpeng et al.,5264
Songpeng et al.,278
Songpeng et al.,1192
Songpeng et al.,5244
Songpeng et al.,2400
Songpeng et al.,2986
Songpeng et al.,14865
Songpeng et al.,270
Songpeng et al.,4187
Songpeng et al.,14980
Songpeng et al.,5255
Songpeng et al.,1470
Songpeng et al.,3007
Songpeng et al.,3892
Songpeng et al.,1339
Songpeng et al.,2679
Songpeng et al.,4570
Songpeng et al.,5273
Songpeng et al.,14914
Songpeng et al.,14990
Songpeng et al.,5268
Songpeng et al.,14926
Songpeng et al.,418
Songpeng et al.,5212
Songpeng et al.,5279
Songpeng et al.,3330
Songpeng et al.,1795
Songpeng et al.,5230
Songpeng et al.,5214
Songpeng et al.,14991
Songpeng et al.,977
Songpeng et al.,5254
Songpeng et al.,261
Songpeng et al.,2870
Songpeng et al.,613
Songpeng et al.,247
Songpeng et al.,2145
Songpeng et al.,1398
Songpeng et al.,38
Songpeng et al.,880
Songpeng et al.,14939
Songpeng et al.,14984
Songpeng et al.,3550
Songpeng et al.,867
Songpeng et al.,5275
Songpeng et al.,5204
Songpeng et al.,1407
Songpeng et al.,5266
Songpeng et al.,2575
Songpeng et al.,3262
Songpeng et al.,485
Songpeng et al.,5240
Songpeng et al.,5150
Songpeng et al.,413
Songpeng et al.,14962
Songpeng et al.,24686
Songpeng et al.,4804
Songpeng et al.,14956
Songpeng et al.,8861
Songpeng et al.,2567
Songpeng et al.,131
Songpeng et al.,4193
Songpeng et al.,5218
Songpeng et al.,14975
Songpeng et al.,473
Songpeng et al.,2417
Songpeng et al.,14884
Songpeng et al.,5236
Songpeng et al.,14945
Songpeng et al.,3565
Songpeng et al.,5220
Songpeng et al.,836
Songpeng et al.,3006
Songpeng et al.,14953
Songpeng et al.,317
Songpeng et al.,143
Songpeng et al.,4688
Songpeng et al.,5156
Songpeng et al.,3349
Songpeng et al.,5107
Songpeng et al.,982
Songpeng et al.,2
Songpeng et al.,5234
Songpeng et al.,297
Songpeng et al.,4926
Songpeng et al.,4146
Songpeng et al.,2397
Songpeng et al.,672
Songpeng et al.,5020
Songpeng et al.,3556
Songpeng et al.,4216
Songpeng et al.,14985
Songpeng et al.,3515
Songpeng et al.,3261
Songpeng et al.,4184
Songpeng et al.,4176
Songpeng et al.,14852
Songpeng et al.,897
Songpeng et al.,42
Songpeng et al.,3470
Songpeng et al.,4561
Songpeng et al.,4778
Songpeng et al.,5207
Songpeng et al.,4182
Songpeng et al.,433
Songpeng et al.,2990
Songpeng et al.,299
Songpeng et al.,713
Songpeng et al.,263
Songpeng et al.,3592
Songpeng et al.,4931
Songpeng et al.,3506
Songpeng et al.,3264
Songpeng et al.,8173
Songpeng et al.,14955
Songpeng et al.,3163
Songpeng et al.,851
Songpeng et al.,4993
Songpeng et al.,5243
Songpeng et al.,1128
Songpeng et al.,2662
Songpeng et al.,51
Songpeng et al.,5211
Songpeng et al.,5222
Songpeng et al.,3474
Songpeng et al.,4736
Songpeng et al.,5151
Songpeng et al.,2573
Songpeng et al.,1017
Songpeng et al.,244
Songpeng et al.,44
Songpeng et al.,4185
Songpeng et al.,5237
Songpeng et al.,3564
Songpeng et al.,986
Songpeng et al.,242
Songpeng et al.,5158
Songpeng et al.,14859
Songpeng et al.,831
Songpeng et al.,2403
Songpeng et al.,4918
Songpeng et al.,4167
Songpeng et al.,14998
Songpeng et al.,467
Songpeng et al.,53
Songpeng et al.,3545
Songpeng et al.,8799
Songpeng et al.,4920
Songpeng et al.,420
Songpeng et al.,486
Songpeng et al.,3605
Songpeng et al.,4560
Songpeng et al.,73
Songpeng et al.,8161
Songpeng et al.,2467
Songpeng et al.,609
Songpeng et al.,60
Songpeng et al.,145
Songpeng et al.,8957
Songpeng et al.,3507
Songpeng et al.,421
Songpeng et al.,3740
Songpeng et al.,767
Songpeng et al.,377
Songpeng et al.,972
Songpeng et al.,570
Songpeng et al.,129
Songpeng et al.,254
Songpeng et al.,2182
Songpeng et al.,558
Songpeng et al.,249
Songpeng et al.,581
Songpeng et al.,159
Songpeng et al.,3578
Songpeng et al.,4943
Songpeng et al.,951
Songpeng et al.,1299
Songpeng et al.,2668
Songpeng et al.,995
Songpeng et al.,200
Songpeng et al.,2157
Songpeng et al.,4569
Songpeng et al.,3573
Songpeng et al.,3544
Songpeng et al.,909
Songpeng et al.,130
Songpeng et al.,2395
Songpeng et al.,4990
Songpeng et al.,3326
Songpeng et al.,2910
Songpeng et al.,2984
Songpeng et al.,120
Songpeng et al.,296
Songpeng et al.,3263
Songpeng et al.,3576
Songpeng et al.,10
Songpeng et al.,2465
Songpeng et al.,4915
Songpeng et al.,4160
Songpeng et al.,4448
Songpeng et al.,14977
Songpeng et al.,1286
Songpeng et al.,587
Songpeng et al.,2555
Songpeng et al.,2909
Songpeng et al.,465
Songpeng et al.,285
Songpeng et al.,279
Songpeng et al.,2695
Songpeng et al.,2876
Songpeng et al.,409
Songpeng et al.,414
Songpeng et al.,2460
Songpeng et al.,2732
Songpeng et al.,306
Songpeng et al.,3775
Songpeng et al.,4805
