AUROC,fntype
0.985782555935808,conserved_one
0.930438101910321,conserved_one
0.935850812083235,conserved_one
0.969844519958504,diverged
0.935384192845067,conserved_one
0.946924405535181,conserved_one
0.976991235609031,conserved_one
0.979891632044537,conserved_one
0.949800320407178,conserved_one
0.969313273603827,conserved_one
0.937646722492465,diverged
0.953486160985642,conserved_one
0.922586172478041,diverged
0.945097813818657,diverged
0.927410577017815,conserved_one
0.947536432676519,conserved_one
0.896957087135094,conserved_one
0.899488887399137,diverged
0.914017954133907,diverged
0.9077576509512,diverged
0.926879992619189,conserved_one
0.944009697491067,conserved_one
0.959357221350397,diverged
0.954676759511036,conserved_both
0.942089254604323,conserved_one
0.940295488629487,diverged
0.938731157167407,conserved_one
0.951823263591297,diverged
0.945188423812823,conserved_one
0.913693811576355,conserved_one
0.939501663190126,diverged
0.983483319881625,conserved_one
0.970187225656185,conserved_one
0.984838133133653,conserved_one
0.955783365496244,diverged
0.930066979116163,conserved_one
0.948566377295458,diverged
0.937747858487304,diverged
0.998756619436096,conserved_one
0.976003744858494,conserved_one
0.993071888412017,conserved_both
0.983224504442209,conserved_one
0.980917944956367,conserved_both
0.991247397836811,conserved_one
0.990700541351772,diverged
0.996007602762,conserved_one
0.994195162311467,diverged
0.994475459409164,diverged
0.994738080204039,conserved_one
0.997764360268387,diverged
0.994653260752951,conserved_both
0.988935418087644,conserved_one
0.984788743194541,diverged
0.985128359754615,diverged
0.996298334138529,conserved_one
0.987264095022497,conserved_one
0.997462433299212,conserved_one
0.837532154113791,diverged
0.838977061961342,diverged
0.808780994742172,conserved_one
0.836405796997399,conserved_both
0.793748151693926,conserved_one
0.955702009876149,conserved_both
0.94195049039056,diverged
0.852492529568593,conserved_one
0.975449716988447,conserved_one
0.995077283576493,conserved_both
0.991564033527298,conserved_one
0.977139483068862,conserved_both
0.99379934124536,diverged
0.986193948538548,conserved_both
0.953078206798802,conserved_one
0.927672297587977,conserved_both
0.931518915451037,conserved_one
0.903344633884098,conserved_one
0.871445879411234,conserved_one
0.886236494015063,conserved_one
0.931840744924857,conserved_one
0.949364613880743,diverged
0.96675169209011,conserved_one
0.991986020727886,conserved_one
0.985195396787341,conserved_one
0.955887543680068,conserved_one
0.954998514047962,conserved_one
0.945846281787543,conserved_both
0.972834621889345,conserved_both
0.98978106225351,conserved_one
0.884852554373307,diverged
0.927389601827372,conserved_one
0.994823019503973,conserved_one
0.998232144661077,conserved_one
0.993739490751862,conserved_one
0.98728025299972,conserved_one
0.993753286240084,conserved_one
0.98504410438212,diverged
0.902714479891261,diverged
0.764838585914892,conserved_both
0.843785754247667,conserved_one
0.859793801734332,conserved_one
0.945453636662239,diverged
0.970035549070136,conserved_one
0.872994803724855,conserved_one
0.990697081628634,diverged
0.999138376701706,conserved_one
0.992163151000497,diverged
0.993542843395048,diverged
0.983633859452979,conserved_both
0.998840649236428,conserved_one
0.998053974917833,conserved_both
0.994952388006618,conserved_one
0.976218000173727,conserved_one
0.996246369789753,conserved_one
0.999762473398418,conserved_both
0.998720004297716,conserved_one
0.969409765458453,conserved_both
0.997054624036301,diverged
0.957720438570304,diverged
0.996245817141292,diverged
0.993031700422504,conserved_both
0.965107008115518,diverged
0.97073764225804,diverged
0.99809583831509,conserved_one
0.89898539772565,conserved_one
0.984460656571492,conserved_one
0.982154191661234,conserved_one
0.972916740071252,diverged
0.939842519133195,diverged
0.97981902823432,conserved_one
0.950401298367426,conserved_both
0.956292498669729,conserved_both
0.988630996274394,conserved_one
0.996991894911249,conserved_one
0.996554066267346,conserved_both
0.956375148397309,conserved_one
0.99677535927622,diverged
0.982210958779167,diverged
0.98533212814391,conserved_one
0.979710935583253,conserved_one
0.948649195005435,conserved_both
0.985544590506924,conserved_one
0.993072105418656,conserved_one
0.990321653007197,diverged
0.979307051761365,conserved_one
0.960777849514883,conserved_both
0.999884017834301,conserved_one
0.976188395605726,conserved_one
0.984748304912264,conserved_both
0.986055845520473,conserved_both
0.988909642628448,diverged
0.981063108969827,conserved_one
0.99091295106015,conserved_one
0.969791291931418,diverged
0.974950109144906,conserved_one
0.989272821653286,diverged
0.988333995752674,diverged
0.981417282327162,diverged
0.984511651855355,conserved_one
0.981361993359519,diverged
0.991490151961405,diverged
0.984472080436142,conserved_one
0.996728270898414,conserved_one
0.994232673945796,conserved_one
0.995922776149969,diverged
0.984965329380608,conserved_one
0.996036257080182,diverged
0.993142848811712,conserved_both
0.997181256355887,conserved_one
0.993170349634066,conserved_one
0.992168160542992,conserved_one
0.993240319960001,conserved_both
0.990466424140173,conserved_one
0.991284889874992,conserved_one
0.993331989788464,conserved_both
0.992588698162965,conserved_one
0.995903750711963,conserved_both
0.997241138098022,conserved_one
0.993605114789585,conserved_both
0.994470491995826,diverged
0.995061973861568,diverged
0.999209741534909,diverged
0.992237774949861,diverged
0.99100776641246,conserved_one
0.991584249541021,conserved_one
0.984484223532425,conserved_one
0.994428063505789,conserved_both
0.99020329010503,conserved_one
0.98537333186785,conserved_one
0.972774541316717,conserved_both
0.980303715246001,conserved_one
0.984651278045722,conserved_both
0.981887587965347,conserved_one
0.930609483015476,conserved_both
0.854861236819737,conserved_one
0.832261336675953,conserved_one
0.929511801449172,conserved_both
0.956766815717497,conserved_both
0.990367700346086,conserved_both
0.994796539638455,diverged
0.995645490593767,conserved_one
0.983498361501316,conserved_one
0.997874174210589,conserved_both
0.974301457160079,conserved_one
0.981235710374516,conserved_one
0.988962268659154,diverged
0.999532921827043,conserved_both
0.978330316260249,conserved_one
0.978058301002297,conserved_one
0.787680834788545,diverged
0.999034216305408,conserved_both
0.999538885471166,conserved_both
0.995675665392006,conserved_one
0.944128233122082,conserved_one
0.997200083093914,diverged
0.680705611694242,diverged
1,conserved_one
0.999933387994361,conserved_one
0.999994597631602,diverged
0.987295809648832,conserved_both
0.976689976689976,diverged
0.997792842918288,diverged
0.99607640868147,conserved_one
0.999668855102511,diverged
0.99766587501319,diverged
0.893973792814895,conserved_one
1,diverged
0.998617829993089,conserved_one
0.912407000171922,diverged
0.859400694608948,diverged
0.945232620251739,diverged
0.932460831902314,conserved_one
0.816718929415209,diverged
0.848896000153757,diverged
0.803783454217436,diverged
0.926301647250032,conserved_one
0.919251854801847,conserved_one
0.91600383865817,conserved_one
0.950962918591057,conserved_one
0.83933497582918,diverged
0.776750309891171,diverged
0.756315240228075,diverged
0.781052318603092,diverged
0.748055893345502,diverged
0.948735429109135,conserved_one
0.932952020268913,conserved_one
0.936932987588695,diverged
0.948900828406839,diverged
0.938650317659226,diverged
0.816322915807125,diverged
0.87167120032608,conserved_one
0.921090068516785,diverged
0.896294239434904,diverged
0.914969094919116,diverged
0.899443183379314,diverged
0.894939142966282,diverged
0.923320571773742,conserved_one
0.918948683788809,conserved_both
0.88277771043123,conserved_both
0.860743626822896,conserved_one
0.892270815878085,conserved_one
0.879186214673999,conserved_one
0.903079982193578,diverged
0.864967551143612,diverged
0.841524861031897,conserved_one
0.862118948949201,diverged
0.893276838482318,diverged
0.939187346478684,conserved_one
0.883066731809683,diverged
0.906328849540066,conserved_one
0.88466968052031,conserved_one
0.895078326476044,diverged
0.885758370016914,conserved_one
0.878702888124018,diverged
0.951200483213369,conserved_one
0.880071922620242,conserved_one
0.903352899829703,conserved_one
0.778457077326818,diverged
0.775216808778605,diverged
0.819909549609132,conserved_both
0.814098743283671,diverged
0.763981367781941,conserved_both
0.835018875785634,conserved_one
0.817798252530469,conserved_one
0.954017561676219,diverged
0.883641346412072,diverged
0.861492830327871,conserved_one
0.878749756014249,diverged
0.818219328519196,diverged
0.774838139286899,conserved_one
0.919687950937951,conserved_one
0.818866445692357,conserved_one
0.86199068107465,diverged
0.916163742493878,conserved_one
0.764485072789732,diverged
0.862304255196721,conserved_both
0.830335010234658,diverged
0.781008911479798,diverged
0.921788386312276,conserved_one
0.875761919042952,conserved_one
0.918203048005574,diverged
0.938267303871033,conserved_one
0.936716454730987,diverged
0.89514498955267,conserved_one
0.950038694580735,conserved_one
0.938867393666942,conserved_one
0.927804910340486,conserved_both
0.89949877836132,diverged
0.913900729387239,diverged
0.88381675229744,conserved_both
0.961769846561624,conserved_one
0.929521054436665,diverged
0.941844774605713,conserved_both
0.896861466653078,diverged
0.911356157072099,conserved_one
0.894737571515623,diverged
0.938152692648226,diverged
0.893530782239836,diverged
0.82375500791334,conserved_one
0.933050090088363,diverged
0.857243105970432,conserved_one
0.878051139102834,conserved_both
0.891111522084761,diverged
0.798804737297654,conserved_both
