target_cluster,source,auroc,type,source_label,Comparison
Ex_Sim1_Crh_4,Macosko,0.8851945329640503,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Gata3_Dkk1_2,Macosko,0.8739430854322169,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Neurod6_Dnah11_6,Macosko,0.8566856636880212,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Neurod6_Fam83b,Macosko,0.7987074332764335,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Ppp1r1b_Drd2_Sphkap_2,Macosko,0.9721488798844806,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
SerEx_Nkx6-1_Trh_3,Macosko,0.9235677849730258,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Pax7_Qrfpr_3,Macosko,0.9726548830780876,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Slc30a3_Ntn5_1,Macosko,0.922637201773672,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Slc30a3_Scn5a,Macosko,0.938771740284476,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Ebf3_Erfl,Macosko,0.8842735190463321,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Dach2_Arhgap36_1,Macosko,0.9691475666896432,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Lmx1b_Nms_2,Macosko,0.9845026632114424,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Pax2_Chrnb3,Macosko,0.9651983226988042,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Pax2_Mboat1_2,Macosko,0.8709156209992909,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Onecut3_Pirt_3,Macosko,0.9651522027502004,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Lhx6_Car8_2,Macosko,0.9674097708054418,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Slc30a3_Gsta2_3,Macosko,0.9462422507671452,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Lmx1a_Mab21l3,Macosko,0.9512907953267268,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Six3_Pnliprp2_3,Macosko,0.8564674448966775,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Sox2_Bves_2,Macosko,0.9938244226347972,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Nkx2-2_Calcb_1,Macosko,0.9411669356672602,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Gata3_Padi1,Macosko,0.7450189726666281,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_C1ql4_Slc38a11_1,Macosko,0.9637620700326678,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Vip_Glp1r_Egfr,Macosko,0.8908470950034506,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Fbxl7_Frem1_1,Macosko,0.8991641994893103,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Pax2_Ctsc,Macosko,0.9554351214506088,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Lhx6_Esr2_3,Macosko,0.9696064535714451,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Pou6f2_Pi15_2,Macosko,0.9649232464153852,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Onecut2_Hmx3_Dmbx1_1,Macosko,0.9027036040143822,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_C1ql4_Tnfrsf11b_2,Macosko,0.8780251708049415,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Nxph4_Pou4f2,Macosko,0.8760909348330386,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Fbxl7_Insrr_2,Macosko,0.8891764618897627,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Lmx1b_Nmu_3,Macosko,0.9389232394319326,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Astro_Ephb1_Fzd2,Macosko,0.8252035027232977,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Pax2_Trhr,Macosko,0.8581660091021183,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Pax2_Dmrt3_5,Macosko,0.97328850481655,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Phox2b_Adam33_1,Macosko,0.9262438427017146,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Gbx1_Htr1a_7,Macosko,0.7910350285122789,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Pax2_Trh_2,Macosko,0.9225278686760232,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Phox2b_Sall1,Macosko,0.9461122187491776,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Onecut3_Pirt_2,Macosko,0.8880281555120718,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
