target,reference,auroc,auroc_one_v_all,reference_study,target_study,log_inverse,inverse,is_ref_recip,is_ref_recip_string
Zeng|3698,Macosko|Inh_Fbxl7_Adad2_3,0.8194444444444444,0.9991624259081292,Macosko,Zeng,3.076976764867382,8.375740918707963e-4,FALSE,Nonreciprocal
Zeng|4106,Macosko|Inh_Fbxl7_Ankrd1,0.778086763070078,0.9998942021595952,Macosko,Zeng,3.9755231972334073,1.0579784040476437e-4,TRUE,Reciprocal
Zeng|2172,Macosko|Inh_Fbxl7_Bmp4,0.3005050505050506,0.9974542517962508,Macosko,Zeng,2.5941845539934856,0.0025457482037491985,FALSE,Nonreciprocal
Zeng|4013,Macosko|Inh_Fbxl7_C7,0.39257518796992485,0.9999092623967368,Macosko,Zeng,4.042212696343169,9.073760326316904e-5,TRUE,Reciprocal
Zeng|4122,Macosko|Inh_Fbxl7_Col6a1_1,0.7341666666666669,0.9986746628187726,Macosko,Zeng,2.877673618091417,0.001325337181227404,FALSE,Nonreciprocal
Zeng|4131,Macosko|Inh_Fbxl7_Col6a1_2,0.49275,0.9972176904524804,Macosko,Zeng,2.555594553962575,0.002782309547519568,FALSE,Nonreciprocal
Zeng|3843,Macosko|Inh_Fbxl7_Crabp1_1,0.6045039435450393,0.9997388008670992,Macosko,Zeng,3.5830282691160553,2.611991329007912e-4,TRUE,Reciprocal
Zeng|3836,Macosko|Inh_Fbxl7_Crabp1_2,0.9798850574712644,0.99900406936561,Macosko,Zeng,3.0017709087155993,9.959306343899632e-4,TRUE,Reciprocal
Zeng|2172,Macosko|Inh_Fbxl7_Cyp11b1,0.5261111111111112,0.9965843376560246,Macosko,Zeng,2.4665250681341453,0.0034156623439753897,TRUE,Reciprocal
Zeng|4011,Macosko|Inh_Fbxl7_Cyp26b1,0.4878102836879432,0.9993866705537992,Macosko,Zeng,3.2123061841539373,6.133294462008498e-4,FALSE,Nonreciprocal
Zeng|24740,Macosko|Inh_Fbxl7_Cyp26b1_1,0.9616666666666668,0.9969104764675648,Macosko,Zeng,2.5101084924811796,0.00308952353243519,FALSE,Nonreciprocal
Zeng|3984,Macosko|Inh_Fbxl7_Cyp26b1_2,0.7924874026568942,0.9998361669601344,Macosko,Zeng,3.785598510485688,1.6383303986555742e-4,FALSE,Nonreciprocal
Zeng|3985,Macosko|Inh_Fbxl7_Cyp26b1_3,0.7230769230769231,0.9999124421267536,Macosko,Zeng,4.0577047958541606,8.755787324643549e-5,TRUE,Reciprocal
Zeng|3986,Macosko|Inh_Fbxl7_Cyp26b1_4,0.6116200946709421,0.99969145982771,Macosko,Zeng,3.5106882823016243,3.0854017228998387e-4,FALSE,Nonreciprocal
Zeng|3983,Macosko|Inh_Fbxl7_Cyp26b1_5,0.7037625861155272,0.9986683165846504,Macosko,Zeng,2.875599008880785,0.001331683415349616,FALSE,Nonreciprocal
Zeng|3983,Macosko|Inh_Fbxl7_Cyp26b1_6,0.768592121533298,0.99876768587056,Macosko,Zeng,2.9092785719663112,0.0012323141294400264,FALSE,Nonreciprocal
Zeng|3985,Macosko|Inh_Fbxl7_Cyp26b1_7,0.2446455505279035,0.9992891947823972,Macosko,Zeng,3.148249392954819,7.108052176028057e-4,FALSE,Nonreciprocal
Zeng|4122,Macosko|Inh_Fbxl7_Frem1_1,0.7724999999999999,0.9992969293962564,Macosko,Zeng,3.1530010600774707,7.030706037436385e-4,FALSE,Nonreciprocal
Zeng|4008,Macosko|Inh_Fbxl7_Frem1_2,0.4896666666666667,0.9997564947873618,Macosko,Zeng,3.6134917375468443,2.4350521263816205e-4,TRUE,Reciprocal
Zeng|4008,Macosko|Inh_Fbxl7_Fst,0.4073333333333333,0.9984489868485014,Macosko,Zeng,2.809384519659592,0.001551013151498637,FALSE,Nonreciprocal
Zeng|4081,Macosko|Inh_Fbxl7_Hgf,0.7473684210526313,0.999283583524616,Macosko,Zeng,3.144834435265653,7.164164753840074e-4,TRUE,Reciprocal
Zeng|4106,Macosko|Inh_Fbxl7_Hmcn1_1,0.22580645161290325,0.9986289870362466,Macosko,Zeng,2.8629584386751445,0.0013710129637534152,FALSE,Nonreciprocal
Zeng|4100,Macosko|Inh_Fbxl7_Hmcn1_2,0.7502780867630702,0.9991876331151976,Macosko,Zeng,3.090247788419286,8.123668848023513e-4,FALSE,Nonreciprocal
Zeng|4024,Macosko|Inh_Fbxl7_Hpse,0.6988338192419826,0.9990402463991432,Macosko,Zeng,3.0178402497973895,9.597536008567609e-4,FALSE,Nonreciprocal
Zeng|4084,Macosko|Inh_Fbxl7_Klf4,0.8670982482863671,0.9979356876910316,Macosko,Zeng,2.6852245978388645,0.002064312308968419,TRUE,Reciprocal
Zeng|3975,Macosko|Inh_Fbxl7_Lrrc63,0.2753623188405797,0.9966871108994284,Macosko,Zeng,2.4797931019435535,0.003312889100571592,FALSE,Nonreciprocal
Zeng|3974,Macosko|Inh_Fbxl7_Mab21l3,0.545417432129006,0.9992961639918672,Macosko,Zeng,3.1525285184991683,7.03836008132841e-4,FALSE,Nonreciprocal
Zeng|2172,Macosko|Inh_Fbxl7_Nccrp1,0.7954545454545454,0.9997763454235256,Macosko,Zeng,3.6504222107608904,2.236545764744413e-4,TRUE,Reciprocal
Zeng|4086,Macosko|Inh_Fbxl7_Npsr1,0.8558404558404559,0.9983155976661672,Macosko,Zeng,2.7735541655122717,0.001684402333832824,TRUE,Reciprocal
Zeng|34236,Macosko|Inh_Fbxl7_Npy2r,0.737962962962963,0.9987331883982812,Macosko,Zeng,2.89728796792454,0.0012668116017188202,FALSE,Nonreciprocal
Zeng|4052,Macosko|Inh_Fbxl7_Pkhd1l1,0.371844951923077,0.9997808197731046,Macosko,Zeng,3.6591986278225477,2.1918022689537686e-4,TRUE,Reciprocal
Zeng|4123,Macosko|Inh_Fbxl7_Stpg2_1,0.4320322336942835,0.999043765644309,Macosko,Zeng,3.0194356569809515,9.562343556910324e-4,TRUE,Reciprocal
Zeng|4125,Macosko|Inh_Fbxl7_Stpg2_2,0.3826315789473683,0.999193901697617,Macosko,Zeng,3.093611993456372,8.060983023829849e-4,TRUE,Reciprocal
Zeng|4125,Macosko|Inh_Fbxl7_Stpg2_3,0.5152105263157896,0.9969808637194326,Macosko,Zeng,2.520117282948221,0.0030191362805673805,FALSE,Nonreciprocal
Zeng|4012,Macosko|Inh_Fbxl7_Tnc,0.5933333333333333,0.9991483729111844,Macosko,Zeng,3.0697505328419536,8.516270888155875e-4,FALSE,Nonreciprocal
Zeng|4088,Macosko|Inh_Fbxl7_Tshr,0.8048642533936653,0.9974592986396392,Macosko,Zeng,2.595046379880588,0.0025407013603607753,FALSE,Nonreciprocal
Zeng|3195,Macosko|Inh_Fefb1_Islr2,0.9060810810810812,0.996848178204694,Macosko,Zeng,2.501438345593368,0.0031518217953060423,TRUE,Reciprocal
Zeng|3149,Macosko|Inh_Foxa2_Ano1,0.7777777777777778,0.9987334063014788,Macosko,Zeng,2.8973626769784206,0.0012665936985212234,TRUE,Reciprocal
Zeng|3345,Macosko|Inh_Foxa2_Upp1_1,0.9196217494089838,0.9977228666895648,Macosko,Zeng,2.6426115436968214,0.00227713331043522,FALSE,Nonreciprocal
Zeng|3349,Macosko|Inh_Foxa2_Upp1_2,0.7524177949709865,0.9990497978113668,Macosko,Zeng,3.0221839735903386,9.502021886331757e-4,TRUE,Reciprocal
Zeng|3345,Macosko|Inh_Foxa2_Upp1_3,0.9408983451536644,0.9995001971870549,Macosko,Zeng,3.3012013039456263,4.998028129451493e-4,TRUE,Reciprocal
Zeng|3345,Macosko|Inh_Foxa2_Upp1_4,0.8265553460813357,0.9934646808423626,Macosko,Zeng,2.1847331984405614,0.006535319157637387,FALSE,Nonreciprocal
Zeng|34153,Macosko|Inh_Foxb1_Tacr3_1,0.55625,0.996193280199868,Macosko,Zeng,2.419449088968388,0.00380671980013203,TRUE,Reciprocal
Zeng|34153,Macosko|Inh_Foxb1_Tacr3_2,0.6111111111111112,0.9924165751078484,Macosko,Zeng,2.120134610221104,0.00758342489215158,FALSE,Nonreciprocal
Zeng|34181,Macosko|Inh_Foxd3_Bnc2_1,0.7430555555555556,0.9972817886042888,Macosko,Zeng,2.5657167711425974,0.0027182113957111564,TRUE,Reciprocal
Zeng|24725,Macosko|Inh_Foxd3_Bnc2_2,0.6,0.9962577889466456,Macosko,Zeng,2.426871722789392,0.0037422110533543718,FALSE,Nonreciprocal
Zeng|8215,Macosko|Inh_Foxd3_Bnc2_3,0.6851851851851853,0.9915344979439592,Macosko,Zeng,2.072347280472655,0.008465502056040797,FALSE,Nonreciprocal
Zeng|3707,Macosko|Inh_Foxd3_Gm525_1,0.26142857142857157,0.9974914051108816,Macosko,Zeng,2.6005694668741826,0.002508594889118365,FALSE,Nonreciprocal
Zeng|3707,Macosko|Inh_Foxd3_Gm525_2,0.8653571428571428,0.9999295134513706,Macosko,Zeng,4.151893754120774,7.04865486294004e-5,TRUE,Reciprocal
Zeng|24725,Macosko|Inh_Foxd3_Ifit3,0.5902777777777778,0.9947142153592132,Macosko,Zeng,2.2768905353441578,0.005285784640786773,TRUE,Reciprocal
Zeng|34182,Macosko|Inh_Foxd3_Pappa2_1,0.6911764705882353,0.997294504876966,Macosko,Zeng,2.567753244596431,0.002705495123033974,TRUE,Reciprocal
Zeng|24725,Macosko|Inh_Foxd3_Pappa2_2,0.6611111111111111,0.9901651565955768,Macosko,Zeng,2.007232550755964,0.0098348434044232,FALSE,Nonreciprocal
Zeng|24725,Macosko|Inh_Foxd3_Pappa2_3,0.625,0.9962018776634196,Macosko,Zeng,2.4204310508559432,0.0037981223365803896,FALSE,Nonreciprocal
Zeng|24725,Macosko|Inh_Foxd3_Pdgfd,0.632996632996633,0.9959899853923124,Macosko,Zeng,2.3968540453283085,0.004010014607687573,FALSE,Nonreciprocal
Zeng|24725,Macosko|Inh_Foxd3_Slc16a12_1,0.5185185185185185,0.9883515316471184,Macosko,Zeng,1.9337311758930864,0.01164846835288158,FALSE,Nonreciprocal
Zeng|24725,Macosko|Inh_Foxd3_Slc16a12_2,0.6736111111111112,0.9932226156597002,Macosko,Zeng,2.168937885152591,0.006777384340299841,FALSE,Nonreciprocal
Zeng|3721,Macosko|Inh_Foxd3_Slc16a12_3,0.9096153846153844,0.995904862346486,Macosko,Zeng,2.38773149533048,0.004095137653513992,FALSE,Nonreciprocal
Zeng|24713,Macosko|Inh_Foxd3_Sp9,0.890625,0.9989320527067824,Macosko,Zeng,2.9714501806685227,0.0010679472932175749,TRUE,Reciprocal
Zeng|34197,Macosko|Inh_Foxl3_Apela,0.9707602339181286,0.999967951264209,Macosko,Zeng,4.494189097184961,3.2048735790990435e-5,TRUE,Reciprocal
Zeng|34197,Macosko|Inh_Foxl3_Fam83b,0.7134502923976609,0.9953225225678604,Macosko,Zeng,2.3299882992038725,0.004677477432139643,FALSE,Nonreciprocal
Zeng|24714,Macosko|Inh_Foxl3_Klc3,0.819078947368421,0.994716956299375,Macosko,Zeng,2.277115796872815,0.005283043700625045,FALSE,Nonreciprocal
Zeng|34197,Macosko|Inh_Foxl3_Qrfpr,0.6939571150097467,0.9984577746131916,Macosko,Zeng,2.811852152164291,0.0015422253868083713,FALSE,Nonreciprocal
Zeng|4444,Macosko|Inh_Foxp2_Bmp3_1,0.8961538461538462,0.9960148368507854,Macosko,Zeng,2.3995538942545087,0.003985163149214599,FALSE,Nonreciprocal
Zeng|4444,Macosko|Inh_Foxp2_Bmp3_2,0.3961538461538461,0.996365937141237,Macosko,Zeng,2.4396075649262206,0.0036340628587629986,FALSE,Nonreciprocal
Zeng|4444,Macosko|Inh_Foxp2_Bmp3_3,0.8192307692307692,0.9877262239768728,Macosko,Zeng,1.9110218061626836,0.01227377602312718,FALSE,Nonreciprocal
Zeng|4404,Macosko|Inh_Foxp2_Bmp3_4,0.690883190883191,0.9966184682330674,Macosko,Zeng,2.470886528351394,0.003381531766932566,TRUE,Reciprocal
Zeng|4404,Macosko|Inh_Foxp2_Bmp3_5,0.517094017094017,0.9933823463720688,Macosko,Zeng,2.179295967822105,0.006617653627931208,FALSE,Nonreciprocal
Zeng|3379,Macosko|Inh_Foxp2_Btc_1,0.7597402597402597,0.9946589361920292,Macosko,Zeng,2.272372233623429,0.005341063807970836,FALSE,Nonreciprocal
Zeng|34177,Macosko|Inh_Foxp2_Btc_2,0.5034965034965035,0.9893185117950954,Macosko,Zeng,1.9713682347464614,0.010681488204904555,FALSE,Nonreciprocal
Zeng|3379,Macosko|Inh_Foxp2_Btc_3,0.6212121212121213,0.9914719776545512,Macosko,Zeng,2.0691516703610775,0.008528022345448805,FALSE,Nonreciprocal
Zeng|34177,Macosko|Inh_Foxp2_Btc_4,0.5576923076923077,0.9942984681611204,Macosko,Zeng,2.244008446117836,0.005701531838879559,FALSE,Nonreciprocal
Zeng|3850,Macosko|Inh_Foxp2_Drd3_1,0.7318672839506172,0.9994907204844202,Macosko,Zeng,3.2930437918182864,5.092795155797747e-4,TRUE,Reciprocal
Zeng|3861,Macosko|Inh_Foxp2_Drd3_2,0.6994301994301994,0.9990285535905576,Macosko,Zeng,3.0125811525787856,9.714464094423558e-4,FALSE,Nonreciprocal
Zeng|34145,Macosko|Inh_Foxp2_Foxd3_1,0.7037037037037036,0.9980859186015972,Macosko,Zeng,2.718039597319113,0.0019140813984027671,TRUE,Reciprocal
Zeng|4401,Macosko|Inh_Foxp2_Foxd3_2,0.495945945945946,0.9906765580807262,Macosko,Zeng,2.0304237302859103,0.009323441919273812,FALSE,Nonreciprocal
Zeng|34145,Macosko|Inh_Foxp2_Foxd3_5,0.6031746031746033,0.9974307874565692,Macosko,Zeng,2.5901999663366393,0.0025692125434307878,FALSE,Nonreciprocal
Zeng|34153,Macosko|Inh_Foxp2_Foxd3_6,0.7361111111111113,0.9982483345629176,Macosko,Zeng,2.7565488392089827,0.0017516654370823836,TRUE,Reciprocal
Zeng|34145,Macosko|Inh_Foxp2_Foxd3_7,0.4662698412698412,0.9975576870570512,Macosko,Zeng,2.6121986890036837,0.002442312942948832,FALSE,Nonreciprocal
Zeng|3711,Macosko|Inh_Foxp2_Fst_2,0.8803176403857061,0.999304802166086,Macosko,Zeng,3.1578915897248816,6.951978339140297e-4,TRUE,Reciprocal
Zeng|34145,Macosko|Inh_Foxp2_Irak3_1,0.443452380952381,0.9977848062942384,Macosko,Zeng,2.654588291262518,0.00221519370576162,FALSE,Nonreciprocal
Zeng|3713,Macosko|Inh_Foxp2_Kcnj2_1,0.4206241519674355,0.9929796138327244,Macosko,Zeng,2.153638998168738,0.007020386167275627,FALSE,Nonreciprocal
Zeng|3713,Macosko|Inh_Foxp2_Kcnj2_2,0.9712973593570606,0.9974317517894752,Macosko,Zeng,2.590363005816553,0.002568248210524815,TRUE,Reciprocal
Zeng|2949,Macosko|Inh_Foxp2_Lbhd2_1,0.7619485294117645,0.997851189704754,Macosko,Zeng,2.667801923905703,0.002148810295246051,TRUE,Reciprocal
Zeng|34177,Macosko|Inh_Foxp2_Lbhd2_2,0.48557692307692313,0.9881674524127342,Macosko,Zeng,1.9269217402429901,0.011832547587265818,FALSE,Nonreciprocal
Zeng|2958,Macosko|Inh_Foxp2_Lbhd2_3,0.6350334448160535,0.9943455936221436,Macosko,Zeng,2.247612982312994,0.0056544063778564135,TRUE,Reciprocal
Zeng|3978,Macosko|Inh_Foxp2_Mab21l3,0.5704474966770048,0.9989787190689742,Macosko,Zeng,2.990854777000129,0.0010212809310258253,FALSE,Nonreciprocal
Zeng|2172,Macosko|Inh_Foxp2_Nccrp1,0.474537037037037,0.9911984617052724,Macosko,Zeng,2.055441417108138,0.008801538294727629,TRUE,Reciprocal
Zeng|3712,Macosko|Inh_Foxp2_Npy_1,0.910326086956522,0.9989424121806348,Macosko,Zeng,2.9756835597617646,0.0010575878193651578,TRUE,Reciprocal
Zeng|3717,Macosko|Inh_Foxp2_Npy_2,0.8532818532818532,0.999009568569356,Macosko,Zeng,3.0041755860756987,9.904314306440343e-4,TRUE,Reciprocal
Zeng|3745,Macosko|Inh_Foxp2_Ntrk1_1,0.9114219114219112,0.9982583925891236,Macosko,Zeng,2.7590497359560153,0.0017416074108763668,TRUE,Reciprocal
Zeng|8201,Macosko|Inh_Foxp2_Ntrk1_2,0.5037037037037037,0.9925154252894997,Macosko,Zeng,2.1258328721586524,0.007484574710500347,FALSE,Nonreciprocal
Zeng|34177,Macosko|Inh_Foxp2_Ntrk1_3,0.5336538461538461,0.9916416438759624,Macosko,Zeng,2.0778791288361487,0.00835835612403757,FALSE,Nonreciprocal
Zeng|3379,Macosko|Inh_Foxp2_Olfm4_1,0.20643939393939392,0.9968266035678592,Macosko,Zeng,2.498475670875701,0.0031733964321407626,FALSE,Nonreciprocal
Zeng|3379,Macosko|Inh_Foxp2_Olfm4_3,0.2670454545454546,0.9976038945510596,Macosko,Zeng,2.620494073225452,0.002396105448940422,FALSE,Nonreciprocal
Zeng|4361,Macosko|Inh_Foxp2_Pdlim3_1,0.5813333333333333,0.998837564721328,Macosko,Zeng,2.9346312181352934,0.0011624352786719916,TRUE,Reciprocal
Zeng|4378,Macosko|Inh_Foxp2_Pdlim3_2,0.4095121951219513,0.9981500794972018,Macosko,Zeng,2.732846934266116,0.0018499205027981969,TRUE,Reciprocal
