cell.type,study_id,n,cumulative_cell_fraction,cumulative_cluster_fraction,Dataset
Macosko|Ex_Pax5_Ucn3_1,Macosko,54,0.9868472641728625,0.6821073558648111,Nuclei
Macosko|Ex_Pax6_Pappa2_2,Macosko,54,0.9868595165834108,0.6823061630218688,Nuclei
Macosko|Ex_Phox2b_Alkal2_1,Macosko,54,0.9868717689939591,0.6825049701789264,Nuclei
Macosko|Ex_Phox2b_Prok1,Macosko,54,0.9868840214045075,0.6827037773359841,Nuclei
Macosko|Ex_Pou4f1_Cytip,Macosko,54,0.9868962738150557,0.6829025844930418,Nuclei
Macosko|Ex_Rorb_Cobll1,Macosko,54,0.9869085262256041,0.6831013916500994,Nuclei
Macosko|Ex_Sim1_Bsx_4,Macosko,54,0.9869207786361525,0.6833001988071571,Nuclei
Macosko|Ex_Sim1_Ghrh_1,Macosko,54,0.9869330310467007,0.6834990059642148,Nuclei
Macosko|Ex_Tfap2b_Wif1,Macosko,54,0.9869452834572491,0.6836978131212723,Nuclei
Macosko|Ex_Tfap2d_Pirt_3,Macosko,54,0.9869575358677974,0.68389662027833,Nuclei
Macosko|Ex_Vsx2_Lhx3_3,Macosko,54,0.9869697882783457,0.6840954274353876,Nuclei
Macosko|Ex_Vsx2_Pgm5_6,Macosko,54,0.9869820406888941,0.6842942345924453,Nuclei
Macosko|Inh_Fbxl7_Stpg2_3,Macosko,54,0.9869942930994424,0.684493041749503,Nuclei
Macosko|Inh_Frmd7_Olfr142_9,Macosko,54,0.9870065455099907,0.6846918489065607,Nuclei
Macosko|Inh_Frmd7_Tacr3,Macosko,54,0.987018797920539,0.6848906560636183,Nuclei
Macosko|Inh_Gata2_Arid3c_1,Macosko,54,0.9870310503310874,0.685089463220676,Nuclei
Macosko|Inh_Gata3_Arhgap9,Macosko,54,0.9870433027416357,0.6852882703777335,Nuclei
Macosko|Inh_Gata3_Crhbp_2,Macosko,54,0.987055555152184,0.6854870775347912,Nuclei
Macosko|Inh_Gata3_Gdpd2_1,Macosko,54,0.9870678075627324,0.6856858846918489,Nuclei
Macosko|Inh_Gata3_Il23r,Macosko,54,0.9870800599732806,0.6858846918489065,Nuclei
Macosko|Inh_Gata3_Vwde_1,Macosko,54,0.987092312383829,0.6860834990059642,Nuclei
Macosko|Inh_Hoxb5_Ptpn14,Macosko,54,0.9871045647943774,0.6862823061630219,Nuclei
Macosko|Inh_Hoxc4_F5_2,Macosko,54,0.9871168172049256,0.6864811133200796,Nuclei
Macosko|Inh_Htr3a_Bmp3_4,Macosko,54,0.987129069615474,0.6866799204771372,Nuclei
Macosko|Inh_Irx4_Catspere1_5,Macosko,54,0.9871413220260223,0.6868787276341949,Nuclei
Macosko|Inh_Lhx6_Asb4,Macosko,54,0.9871535744365706,0.6870775347912524,Nuclei
Macosko|Inh_Nkx2-2_Pnoc_2,Macosko,54,0.987165826847119,0.6872763419483101,Nuclei
Macosko|Inh_Onecut3_Ccdc192_2,Macosko,54,0.9871780792576673,0.6874751491053678,Nuclei
Macosko|Inh_Otx1_Calcr,Macosko,54,0.9871903316682156,0.6876739562624254,Nuclei
Macosko|Inh_Pax2_Chrna6_3,Macosko,54,0.9872025840787639,0.6878727634194831,Nuclei
Macosko|Inh_Pax2_Erfl_11,Macosko,54,0.9872148364893123,0.6880715705765408,Nuclei
Macosko|Inh_Pax2_Erfl_8,Macosko,54,0.9872270888998605,0.6882703777335984,Nuclei
Macosko|Inh_Pax2_Glipr2,Macosko,54,0.9872393413104089,0.6884691848906561,Nuclei
Macosko|Inh_Pax2_Klk12,Macosko,54,0.9872515937209573,0.6886679920477137,Nuclei
Macosko|Inh_Pax2_Npy2r,Macosko,54,0.9872638461315055,0.6888667992047713,Nuclei
Macosko|Inh_Pax2_Tmem215_3,Macosko,54,0.9872760985420539,0.689065606361829,Nuclei
Macosko|Inh_Pax3_Vmn1r207_9,Macosko,54,0.9872883509526023,0.6892644135188867,Nuclei
Macosko|Inh_Pax5_Slc12a7_1,Macosko,54,0.9873006033631505,0.6894632206759443,Nuclei
Macosko|Inh_Pax8_Otp_1,Macosko,54,0.9873128557736989,0.689662027833002,Nuclei
Macosko|Inh_Pou3f1_Gm525,Macosko,54,0.9873251081842472,0.6898608349900597,Nuclei
Macosko|Inh_Six3_Myocd,Macosko,54,0.9873373605947955,0.6900596421471173,Nuclei
Macosko|Inh_Six3_Sox21,Macosko,54,0.9873496130053439,0.6902584493041749,Nuclei
Macosko|Inh_Tfap2b_Vip_1,Macosko,54,0.9873618654158922,0.6904572564612326,Nuclei
Macosko|NorEx_Phox2b_Pmnt_3,Macosko,54,0.9873741178264405,0.6906560636182902,Nuclei
Zeng|1244,Zeng,53,0.9906170603040928,0.7965050732807215,Cells
Zeng|1491,Zeng,53,0.990630169459329,0.7966929725667042,Cells
Zeng|1563,Zeng,53,0.9906432786145651,0.796880871852687,Cells
Zeng|1626,Zeng,53,0.9906563877698012,0.7970687711386697,Cells
Zeng|2307,Zeng,53,0.9906694969250374,0.7972566704246524,Cells
Zeng|2348,Zeng,53,0.9906826060802736,0.7974445697106352,Cells
Zeng|24578,Zeng,53,0.9906957152355097,0.7976324689966178,Cells
Zeng|24615,Zeng,53,0.9907088243907458,0.7978203682826005,Cells
Zeng|2790,Zeng,53,0.9907219335459819,0.7980082675685832,Cells
Zeng|2848,Zeng,53,0.9907350427012181,0.798196166854566,Cells
Zeng|2859,Zeng,53,0.9907481518564543,0.7983840661405487,Cells
Zeng|3071,Zeng,53,0.9907612610116904,0.7985719654265314,Cells
Zeng|3151,Zeng,53,0.9907743701669265,0.7987598647125141,Cells
Zeng|3164,Zeng,53,0.9907874793221627,0.7989477639984968,Cells
Zeng|3189,Zeng,53,0.9908005884773988,0.7991356632844795,Cells
Zeng|3202,Zeng,53,0.9908136976326349,0.7993235625704622,Cells
Zeng|3204,Zeng,53,0.9908268067878712,0.799511461856445,Cells
Zeng|3372,Zeng,53,0.9908399159431073,0.7996993611424277,Cells
Zeng|3393,Zeng,53,0.9908530250983434,0.7998872604284104,Cells
Zeng|34328,Zeng,53,0.9908661342535795,0.8000751597143931,Cells
Zeng|3734,Zeng,53,0.9908792434088157,0.8002630590003758,Cells
Zeng|3822,Zeng,53,0.9908923525640518,0.8004509582863585,Cells
Zeng|3934,Zeng,53,0.990905461719288,0.8006388575723412,Cells
Zeng|3993,Zeng,53,0.9909185708745241,0.8008267568583239,Cells
Zeng|4204,Zeng,53,0.9909316800297603,0.8010146561443067,Cells
Zeng|4252,Zeng,53,0.9909447891849964,0.8012025554302894,Cells
Zeng|4395,Zeng,53,0.9909578983402325,0.8013904547162721,Cells
Zeng|4583,Zeng,53,0.9909710074954687,0.8015783540022547,Cells
Zeng|4802,Zeng,53,0.9909841166507048,0.8017662532882375,Cells
Zeng|747,Zeng,53,0.990997225805941,0.8019541525742202,Cells
Zeng|841,Zeng,53,0.9910103349611771,0.8021420518602029,Cells
Zeng|866,Zeng,53,0.9910234441164133,0.8023299511461857,Cells
Zeng|960,Zeng,53,0.9910365532716494,0.8025178504321684,Cells
Macosko|CholEx_Hmx2_Pthlh,Macosko,53,0.9873861433404972,0.6908548707753479,Nuclei
Macosko|Chol_Ecel1_1700025C18Rik_1,Macosko,53,0.9873981688545539,0.6910536779324056,Nuclei
Macosko|Chol_Tbx20_Edn3,Macosko,53,0.9874101943686105,0.6912524850894632,Nuclei
Macosko|Endo_Flt1_Lrg1_2,Macosko,53,0.9874222198826673,0.6914512922465209,Nuclei
Macosko|Ex_C1ql4_Dkk2,Macosko,53,0.987434245396724,0.6916500994035786,Nuclei
Macosko|Ex_C1ql4_Krt73_2,Macosko,53,0.9874462709107806,0.6918489065606361,Nuclei
Macosko|Ex_C1ql4_Tgm6_1,Macosko,53,0.9874582964248374,0.6920477137176938,Nuclei
Macosko|Ex_Dmrta2_Csf2rb2_3,Macosko,53,0.9874703219388941,0.6922465208747515,Nuclei
