region_remap,ClusterNm,cell_count_Macosko
ACA,Ex_C1ql4_Apela,0
ACA,Ex_C1ql4_Art4,0
ACA,Ex_C1ql4_Asb4,0
ACA,Ex_C1ql4_Bank1,0
ACA,Ex_C1ql4_Calca,0
ACA,Ex_C1ql4_Calcr_1,0
ACA,Ex_C1ql4_Calcr_2,0
ACA,Ex_C1ql4_Calcr_3,0
ACA,Ex_C1ql4_Calcr_4,0
ACA,Ex_C1ql4_Cox6a2_1,0
ACA,Ex_C1ql4_Cox6a2_2,0
ACA,Ex_C1ql4_Cpne7_1,0
ACA,Ex_C1ql4_Cpne7_2,0
ACA,Ex_C1ql4_Cpne7_3,0
ACA,Ex_C1ql4_Cpne7_4,0
ACA,Ex_C1ql4_Crispld2_1,0
ACA,Ex_C1ql4_Crispld2_2,0
ACA,Ex_C1ql4_Dkk2,0
ACA,Ex_C1ql4_Dnajc22,0
ACA,Ex_C1ql4_Drd1_1,0
ACA,Ex_C1ql4_Drd1_2,0
ACA,Ex_C1ql4_Drd1_3,0
ACA,Ex_C1ql4_Drd1_4,0
ACA,Ex_C1ql4_Drd1_5,0
ACA,Ex_C1ql4_Drd1_6,0
ACA,Ex_C1ql4_Drd1_7,0
ACA,Ex_C1ql4_Dsg1b,0
ACA,Ex_C1ql4_Ebf2,0
ACA,Ex_C1ql4_Foxd3_1,0
ACA,Ex_C1ql4_Foxd3_2,0
ACA,Ex_C1ql4_Gspm3,0
ACA,Ex_C1ql4_Gucy2c,0
ACA,Ex_C1ql4_Islr2_1,0
ACA,Ex_C1ql4_Islr2_2,0
ACA,Ex_C1ql4_Islr2_3,0
ACA,Ex_C1ql4_Islr2_4,0
ACA,Ex_C1ql4_Kcne4_1,0
ACA,Ex_C1ql4_Kcne4_2,0
ACA,Ex_C1ql4_Kcne4_3,0
ACA,Ex_C1ql4_Kcne4_4,0
ACA,Ex_C1ql4_Krt73,0
ACA,Ex_C1ql4_Krt73_1,0
ACA,Ex_C1ql4_Krt73_2,0
ACA,Ex_C1ql4_Mdfic2_1,0
ACA,Ex_C1ql4_Mdfic2_2,0
ACA,Ex_C1ql4_Mettl24,0
ACA,Ex_C1ql4_Myo18b_1,0
ACA,Ex_C1ql4_Nostrin,0
ACA,Ex_C1ql4_Nts,0
ACA,Ex_C1ql4_Olfr48,0
ACA,Ex_C1ql4_Pappa,0
ACA,Ex_C1ql4_Prdm6,0
ACA,Ex_C1ql4_Prph,0
ACA,Ex_C1ql4_Rgcc_1,0
ACA,Ex_C1ql4_Rgcc_2,0
ACA,Ex_C1ql4_Rgcc_3,0
ACA,Ex_C1ql4_Rgcc_4,0
ACA,Ex_C1ql4_Serpina3g,0
ACA,Ex_C1ql4_Serpina12,0
ACA,Ex_C1ql4_Slc25a21,0
ACA,Ex_C1ql4_Slc38a11_1,0
ACA,Ex_C1ql4_Slc38a11_2,0
ACA,Ex_C1ql4_Slc38a11_3,0
ACA,Ex_C1ql4_Smoc2,0
ACA,Ex_C1ql4_Svep1,0
ACA,Ex_C1ql4_Tac1,0
ACA,Ex_C1ql4_Teddm3_1,0
ACA,Ex_C1ql4_Teddm3_3,0
ACA,Ex_C1ql4_Tekt2,0
ACA,Ex_C1ql4_Tgm6_1,0
ACA,Ex_C1ql4_Tgm6_2,0
ACA,Ex_C1ql4_Tgm6_3,0
ACA,Ex_C1ql4_Tgm6_4,0
ACA,Ex_C1ql4_Tgm6_5,0
ACA,Ex_C1ql4_Thbs4,0
ACA,Ex_C1ql4_Tnfrsf11b_1,0
ACA,Ex_C1ql4_Tnfrsf11b_2,0
ACA,Ex_C1ql4_Tnfrsf11b_3,0
ACA,Ex_C1ql4_Tnnt2,0
ACA,Ex_C1ql4_Trhr_1,0
ACA,Ex_C1ql4_Trhr_2,0
ACA,Ex_C1ql4_Trhr_3,0
ACA,Ex_C1ql4_Trhr_4,0
ACA,Ex_C1ql4_Trhr_5,0
ACA,Ex_C1ql4_Trhr_6,0
ACA,Ex_C1ql4_Trhr_7,0
ACA,Ex_C1ql4_Trhr_8,0
ACA,Ex_C1ql4_Trhr_9,0
ACA,Ex_C1ql4_Wnt2,0
ACA,Ex_Ccn2_Nmbr_1,0
ACA,Ex_Ccn2_Nmbr_2,0
ACA,Ex_Ccn2_Nmbr_3,0
ACA,Ex_Ccn2_Nmbr_4,0
ACA,Ex_Ccn2_Prph,0
ACA,Ex_Ccn3_Fezf2_C1ql2,0
ACA,Ex_Ccn3_Fezf2_Cd36,0
ACA,Ex_Ccn3_Fezf2_Col6a3,0
ACA,Ex_Ccn3_Fezf2_Dcn_1,0
ACA,Ex_Ccn3_Fezf2_Dcn_2,0
ACA,Ex_Ccn3_Fezf2_Dcn_3,0
ACA,Ex_Ccn3_Fezf2_Mndal,1
ACA,Ex_Ccn3_Fezf2_Psrc1,0
ACA,Ex_Ccn3_Fezf2_Ptprc_1,0
ACA,Ex_Ccn3_Fezf2_Ptprc_2,0
ACA,Ex_Ccn3_Fezf2_Ptprc_3,0
ACA,Ex_Ccn3_Fezf2_Scin,0
ACA,Ex_Ccn3_Fezf2_Speer4a,0
ACA,Ex_Ccn3_Fezf2_Vgll3_1,0
ACA,Ex_Ccn3_Fezf2_Vgll3_2,0
ACA,Ex_Ccn3_Slc30a3_Dcn_1,0
ACA,Ex_Ccn3_Slc30a3_Dcn_2,0
ACA,Ex_Ccn3_Slc30a3_Fanci,0
ACA,Ex_Ccn3_Slc30a3_Grp,0
ACA,Ex_Cplx3_Samd9l,0
ACA,Ex_Crlf1_Ntn5_1,0
ACA,Ex_Crlf1_Ntn5_2,0
ACA,Ex_Crym_Chrna5,3
ACA,Ex_Crym_Cldn22,0
ACA,Ex_Crym_Csf2rb2,0
ACA,Ex_Crym_Cxcl12,0
ACA,Ex_Crym_Krt2,0
ACA,Ex_Crym_Mndal_1,0
ACA,Ex_Crym_Mndal_2,0
ACA,Ex_Crym_Mndal_3,0
ACA,Ex_Crym_Mndal_4,0
ACA,Ex_Crym_Nuak2,36
ACA,Ex_Crym_Odad2_1,0
ACA,Ex_Crym_Odad2_2,0
ACA,Ex_Crym_Odad2_3,0
ACA,Ex_Crym_Odad2_Fos,0
ACA,Ex_Crym_Plagl1_1,0
ACA,Ex_Crym_Plagl1_2,0
ACA,Ex_Crym_Prrx1,0
ACA,Ex_Crym_Rgs5,0
ACA,Ex_Cyp26b1_Slc30a3_Dkkl1_1,0
ACA,Ex_Cyp26b1_Slc30a3_Dkkl1_2,0
ACA,Ex_Cyp26b1_Slc30a3_Ptprc_1,0
ACA,Ex_Cyp26b1_Slc30a3_Ptprc_2,0
ACA,Ex_Cyp26b1_Slc30a3_Ptprc_3,2
ACA,Ex_Dab2_Tmem100_1,0
ACA,Ex_Dab2_Tmem100_2,0
ACA,Ex_Dach2_Arhgap36_1,0
ACA,Ex_Dach2_Arhgap36_2,0
ACA,Ex_Dach2_Arhgap36_3,0
ACA,Ex_Dcn_Grik3,0
ACA,Ex_Defb1_Arhgap36,0
ACA,Ex_Defb1_Bhlhe23_1,0
ACA,Ex_Defb1_Cnga3,0
ACA,Ex_Defb1_Fgf17,0
ACA,Ex_Defb1_Gsta2,0
ACA,Ex_Defb1_Gsta2_1,0
ACA,Ex_Defb1_Gsta2_2,0
ACA,Ex_Defb1_Ldoc1_1,0
ACA,Ex_Defb1_Ldoc1_2,0
ACA,Ex_Defb1_Mab21l2,0
ACA,Ex_Defb1_Mbl2_1,0
ACA,Ex_Defb1_Mbl2_2,0
ACA,Ex_Defb1_Wif1,0
ACA,Ex_Defb1_Zic2,0
ACA,Ex_Dkk2_Morc1_1,0
ACA,Ex_Dkk2_Morc1_2,0
ACA,Ex_Dlk1_Nms,0
ACA,Ex_Dmbx1_Art4,0
ACA,Ex_Dmbx1_Plet1_1,0
ACA,Ex_Dmbx1_Plet1_2,0
ACA,Ex_Dmbx1_Pnmt,0
ACA,Ex_Dmrta2_Adgrv1,0
ACA,Ex_Dmrta2_Agtr1b_1,0
ACA,Ex_Dmrta2_Agtr1b_2,0
ACA,Ex_Dmrta2_Agtr1b_3,0
ACA,Ex_Dmrta2_Arhgap36_1,0
ACA,Ex_Dmrta2_Arhgap36_2,0
ACA,Ex_Dmrta2_Arhgap36_3,0
ACA,Ex_Dmrta2_Bmp3_1,0
ACA,Ex_Dmrta2_Bmp3_2,0
ACA,Ex_Dmrta2_Bmp3_3,0
ACA,Ex_Dmrta2_Casr,0
ACA,Ex_Dmrta2_Cd274,0
ACA,Ex_Dmrta2_Chat,0
ACA,Ex_Dmrta2_Chat_1,0
ACA,Ex_Dmrta2_Chat_2,0
ACA,Ex_Dmrta2_Chodl_1,0
ACA,Ex_Dmrta2_Chodl_2,0
ACA,Ex_Dmrta2_Chodl_3,0
ACA,Ex_Dmrta2_Chodl_4,0
ACA,Ex_Dmrta2_Chrna6_1,0
ACA,Ex_Dmrta2_Chrna6_2,0
ACA,Ex_Dmrta2_Chrna6_3,0
ACA,Ex_Dmrta2_Chrna6_4,0
ACA,Ex_Dmrta2_Chrna6_5,0
ACA,Ex_Dmrta2_Chrna6_6,0
ACA,Ex_Dmrta2_Col5a2_1,0
ACA,Ex_Dmrta2_Col5a2_2,0
ACA,Ex_Dmrta2_Col6a6,0
ACA,Ex_Dmrta2_Col6a6_1,0
ACA,Ex_Dmrta2_Col6a6_2,0
ACA,Ex_Dmrta2_Col6a6_3,0
ACA,Ex_Dmrta2_Crhbp_1,0
ACA,Ex_Dmrta2_Crhbp_2,0
ACA,Ex_Dmrta2_Crhbp_3,0
ACA,Ex_Dmrta2_Crhbp_4,0
ACA,Ex_Dmrta2_Csf2rb2_1,0
ACA,Ex_Dmrta2_Csf2rb2_2,0
ACA,Ex_Dmrta2_Csf2rb2_3,0
ACA,Ex_Dmrta2_Csf2rb2_4,0
ACA,Ex_Dmrta2_Csf2rb2_5,0
ACA,Ex_Dmrta2_Dnah11,0
ACA,Ex_Dmrta2_Dsc3,0
ACA,Ex_Dmrta2_Fam83b_1,0
ACA,Ex_Dmrta2_Fam83b_2,0
ACA,Ex_Dmrta2_Fbln2,0
ACA,Ex_Dmrta2_Fgfr4,0
ACA,Ex_Dmrta2_Fgfr4_Csf2rb2,0
ACA,Ex_Dmrta2_Fn1_1,0
ACA,Ex_Dmrta2_Fn1_2,0
ACA,Ex_Dmrta2_Fn1_3,0
ACA,Ex_Dmrta2_Frem1,0
ACA,Ex_Dmrta2_Gm7271,0
ACA,Ex_Dmrta2_Greb1_1,0
ACA,Ex_Dmrta2_Greb1_2,0
ACA,Ex_Dmrta2_Irx3,0
ACA,Ex_Dmrta2_Itga4,0
ACA,Ex_Dmrta2_Kcnmb1,0
ACA,Ex_Dmrta2_Lcp1_1,0
ACA,Ex_Dmrta2_Lcp1_2,0
ACA,Ex_Dmrta2_Lcp1_3,0
ACA,Ex_Dmrta2_Lhx1_1,0
ACA,Ex_Dmrta2_Lhx1_2,0
ACA,Ex_Dmrta2_Lhx1_3,0
ACA,Ex_Dmrta2_Lhx1_4,0
ACA,Ex_Dmrta2_Lhx1_5,0
ACA,Ex_Dmrta2_Lhx1_6,0
ACA,Ex_Dmrta2_Lrrc31_9130008F23Rik,0
ACA,Ex_Dmrta2_Lrrc31_Th,0
ACA,Ex_Dmrta2_Lsp1,0
ACA,Ex_Dmrta2_Nmu,0
ACA,Ex_Dmrta2_Npy2r,0
ACA,Ex_Dmrta2_Ntn1_Csf2rb2,0
ACA,Ex_Dmrta2_Prkcq_1,0
ACA,Ex_Dmrta2_Prkcq_2,0
ACA,Ex_Dmrta2_Prkcq_3,0
ACA,Ex_Dmrta2_Prkcq_4,0
ACA,Ex_Dmrta2_Prkcq_5,0
ACA,Ex_Dmrta2_Prkcq_6,0
ACA,Ex_Dmrta2_Rxfp2_1,0
ACA,Ex_Dmrta2_Rxfp2_2,0
ACA,Ex_Dmrta2_Slc26a7,0
ACA,Ex_Dmrta2_Tgm6_1,0
ACA,Ex_Dmrta2_Tgm6_2,0
ACA,Ex_Dmrta2_Tll2_1,0
ACA,Ex_Dmrta2_Tll2_2,0
ACA,Ex_Dmrta2_Tmem72,0
ACA,Ex_Dmrta2_Tnfaip8l3_1,0
ACA,Ex_Dmrta2_Tnfaip8l3_2,0
ACA,Ex_Dsp_Atf3_1,0
ACA,Ex_Dsp_Atf3_2,0
ACA,Ex_Dsp_Atf3_3,0
ACA,Ex_Dsp_Gsg1l,0
ACA,Ex_Dsp_Moxd1_1,0
ACA,Ex_Dsp_Moxd1_2,0
ACA,Ex_Dsp_Moxd1_3,0
ACA,Ex_Dsp_Moxd1_4,0
ACA,Ex_Ebf2_4930469K13Rik_1,0
ACA,Ex_Ebf2_4930469K13Rik_2,0
ACA,Ex_Ebf2_4930469K13Rik_3,0
ACA,Ex_Ebf2_6430628N08Rik_1,0
ACA,Ex_Ebf2_6430628N08Rik_2,0
ACA,Ex_Ebf2_6430628N08Rik_3,0
ACA,Ex_Ebf2_6430628N08Rik_5,0
ACA,Ex_Ebf2_6430628N08Rik_6,0
ACA,Ex_Ebf2_Abcc9_1,0
ACA,Ex_Ebf2_Abcc9_2,0
ACA,Ex_Ebf2_Abcc9_3,0
ACA,Ex_Ebf2_Abcc9_4,0
ACA,Ex_Ebf2_Adgrd1_1,0
ACA,Ex_Ebf2_Adgrd1_2,0
ACA,Ex_Ebf2_Adgrd1_3,0
ACA,Ex_Ebf2_Antxr2,0
ACA,Ex_Ebf2_Apela_1,0
ACA,Ex_Ebf2_Apela_2,0
ACA,Ex_Ebf2_Arhgap36,0
ACA,Ex_Ebf2_Atp8b1,0
ACA,Ex_Ebf2_Bhlhe23,0
ACA,Ex_Ebf2_Bmp4,0
ACA,Ex_Ebf2_Bmp6,0
ACA,Ex_Ebf2_Bmp7_1,0
ACA,Ex_Ebf2_Bmp7_2,0
ACA,Ex_Ebf2_C1ql2_1,0
ACA,Ex_Ebf2_C1ql2_2,0
ACA,Ex_Ebf2_C1ql2_3,0
ACA,Ex_Ebf2_C1ql2_4,0
ACA,Ex_Ebf2_C1ql2_5,0
ACA,Ex_Ebf2_C1ql2_6,0
ACA,Ex_Ebf2_C1qtnf7,0
ACA,Ex_Ebf2_C1qtnf7_1,0
ACA,Ex_Ebf2_C1qtnf7_2,0
ACA,Ex_Ebf2_Catspere1_1,0
ACA,Ex_Ebf2_Catspere1_2,0
ACA,Ex_Ebf2_Clec9a_1,0
ACA,Ex_Ebf2_Clec9a_2,0
ACA,Ex_Ebf2_Cox8b_1,0
ACA,Ex_Ebf2_Cox8b_2,0
ACA,Ex_Ebf2_Crhr2_1,0
ACA,Ex_Ebf2_Crhr2_2,0
ACA,Ex_Ebf2_Crhr2_3,0
ACA,Ex_Ebf2_Ddit4l_1,0
ACA,Ex_Ebf2_Ddit4l_2,0
ACA,Ex_Ebf2_Ddit4l_3,0
ACA,Ex_Ebf2_Ddit4l_4,0
ACA,Ex_Ebf2_Dmrt2,0
ACA,Ex_Ebf2_Dsc3,0
ACA,Ex_Ebf2_Emilin2,0
ACA,Ex_Ebf2_Entpd1,0
ACA,Ex_Ebf2_F2rl2,0
ACA,Ex_Ebf2_Fam83f,0
ACA,Ex_Ebf2_Fbln1,0
ACA,Ex_Ebf2_Fer1l6_1,0
ACA,Ex_Ebf2_Fer1l6_2,0
ACA,Ex_Ebf2_Fer1l6_3,0
ACA,Ex_Ebf2_Fer1l6_4,0
ACA,Ex_Ebf2_Fer1l6_5,0
ACA,Ex_Ebf2_Fgfr4,0
ACA,Ex_Ebf2_Fzd9_1,0
ACA,Ex_Ebf2_Fzd9_2,0
ACA,Ex_Ebf2_Fzd9_3,0
ACA,Ex_Ebf2_Galnt3,0
ACA,Ex_Ebf2_Gask1b_1,0
ACA,Ex_Ebf2_Gask1b_2,0
ACA,Ex_Ebf2_Gask1b_3,0
ACA,Ex_Ebf2_Ghrh_1,0
ACA,Ex_Ebf2_Ghrh_2,0
ACA,Ex_Ebf2_Ghrh_3,0
ACA,Ex_Ebf2_Gli2,0
ACA,Ex_Ebf2_Glp1r_1,0
ACA,Ex_Ebf2_Glp1r_2,0
ACA,Ex_Ebf2_Glp1r_3,0
ACA,Ex_Ebf2_Glp1r_4,0
ACA,Ex_Ebf2_Gng8,0
ACA,Ex_Ebf2_Gpsm3_1,0
ACA,Ex_Ebf2_Gpsm3_2,0
ACA,Ex_Ebf2_Grp,0
ACA,Ex_Ebf2_Grp_1,0
ACA,Ex_Ebf2_Grp_2,0
ACA,Ex_Ebf2_Grpr,0
ACA,Ex_Ebf2_Gzmk_1,0
ACA,Ex_Ebf2_Gzmk_2,0
ACA,Ex_Ebf2_Gzmk_3,0
ACA,Ex_Ebf2_Gzmk_4,0
ACA,Ex_Ebf2_Ifi213_1,0
ACA,Ex_Ebf2_Ifi213_2,0
ACA,Ex_Ebf2_Ifi213_3,0
ACA,Ex_Ebf2_Iigp1_1,0
ACA,Ex_Ebf2_Iigp1_2,0
ACA,Ex_Ebf2_Il15_1,0
ACA,Ex_Ebf2_Il15_2,0
ACA,Ex_Ebf2_Il15_3,0
ACA,Ex_Ebf2_Krt17_1,0
ACA,Ex_Ebf2_Layn,0
ACA,Ex_Ebf2_Lhfpl1,0
ACA,Ex_Ebf2_Lpar1,0
ACA,Ex_Ebf2_Ltbp1_1,0
ACA,Ex_Ebf2_Ltbp1_2,0
ACA,Ex_Ebf2_Ltbp1_3,0
ACA,Ex_Ebf2_Mafa_1,0
ACA,Ex_Ebf2_Mafa_2,0
ACA,Ex_Ebf2_Mdfic2,0
ACA,Ex_Ebf2_Meox2,0
ACA,Ex_Ebf2_Met,0
ACA,Ex_Ebf2_Mgp,0
ACA,Ex_Ebf2_Mgst2,0
ACA,Ex_Ebf2_Mybpc1,0
ACA,Ex_Ebf2_Myl2_1,0
ACA,Ex_Ebf2_Myl2_2,0
ACA,Ex_Ebf2_Myzap,0
ACA,Ex_Ebf2_Nat8f6_1,0
ACA,Ex_Ebf2_Nat8f6_2,0
ACA,Ex_Ebf2_Nek11_1,0
ACA,Ex_Ebf2_Nek11_2,0
ACA,Ex_Ebf2_Niban1_1,0
ACA,Ex_Ebf2_Niban1_2,0
ACA,Ex_Ebf2_Nmu_1,0
ACA,Ex_Ebf2_Nmu_2,0
ACA,Ex_Ebf2_Nmu_3,0
ACA,Ex_Ebf2_Npff_1,0
ACA,Ex_Ebf2_Npff_2,0
ACA,Ex_Ebf2_Npffr2_1,0
ACA,Ex_Ebf2_Npffr2_2,0
ACA,Ex_Ebf2_Npffr2_3,0
ACA,Ex_Ebf2_Nr1h4,0
ACA,Ex_Ebf2_Nr5a2_1,0
ACA,Ex_Ebf2_Nr5a2_2,0
ACA,Ex_Ebf2_Nr5a2_3,0
ACA,Ex_Ebf2_Olfr25,0
ACA,Ex_Ebf2_Olfr273_1,1
ACA,Ex_Ebf2_Olfr273_2,0
ACA,Ex_Ebf2_Olfr275,0
ACA,Ex_Ebf2_Pla2g5_1,0
ACA,Ex_Ebf2_Pla2g5_2,0
ACA,Ex_Ebf2_Pla2g5_3,0
ACA,Ex_Ebf2_Pla2g5_4,0
ACA,Ex_Ebf2_Pla2g5_5,0
ACA,Ex_Ebf2_Pla2g5_6,0
ACA,Ex_Ebf2_Pla2g5_7,0
ACA,Ex_Ebf2_Pla2g5_9,0
ACA,Ex_Ebf2_Pla2g5_10,0
