target_study,region,region_name,target_celltype,target_size,ref_celltype,AUROC,is_recip
Sziraki,MB,Midbrain,Sziraki|Interbrain and midbrain neurons 2_22,181,Macosko|Ex_Sim1_Dnah8_Oxt,0.975258406,TRUE
Sziraki,MB,Midbrain,Sziraki|Interbrain and midbrain neurons 2_23,256,Macosko|Inh_Lhx6_Esr2_4,0.990212805,FALSE
Sziraki,MB,Midbrain,Sziraki|Interbrain and midbrain neurons 2_24,185,Macosko|Inh_Otx2_Gabrr2_2,0.999970219,TRUE
Sziraki,MB,Midbrain,Sziraki|Interbrain and midbrain neurons 2_25,272,Macosko|Ex_Sall3_Cd44_1,0.995319839,TRUE
Sziraki,MB,Midbrain,Sziraki|Interbrain and midbrain neurons 2_26,136,Macosko|Inh_Pax2_Sgo2b_1,0.979414994,TRUE
Sziraki,MB,Midbrain,Sziraki|Interbrain and midbrain neurons 2_27,387,Macosko|Inh_Six3_Pvalb_Cplx3_1,0.999071304,TRUE
Sziraki,MB,Midbrain,Sziraki|Interbrain and midbrain neurons 2_28,474,Macosko|Ex_Ebf2_Fzd9_1,0.993792425,FALSE
Sziraki,MB,Midbrain,Sziraki|Interbrain and midbrain neurons 2_29,54,Macosko|Chol_Isl2_Gata6_2,0.99850829,FALSE
Sziraki,MB,Midbrain,Sziraki|Interbrain and midbrain neurons 2_3,3497,Macosko|Inh_Otx2_Pla2g5,0.980969763,TRUE
Sziraki,MB,Midbrain,Sziraki|Interbrain and midbrain neurons 2_30,667,Macosko|Inh_Lhx6_Gpr174_2,0.989114602,TRUE
Sziraki,MB,Midbrain,Sziraki|Interbrain and midbrain neurons 2_31,152,Macosko|Inh_Exd1_Arhgap9_1,0.991623375,FALSE
Sziraki,MB,Midbrain,Sziraki|Interbrain and midbrain neurons 2_32,174,Macosko|Ex_Lmx1b_Vmn1r196,0.997117962,TRUE
Sziraki,MB,Midbrain,Sziraki|Interbrain and midbrain neurons 2_33,73,Macosko|Ser_Fev_Wfdc12,0.99252479,FALSE
Sziraki,MB,Midbrain,Sziraki|Interbrain and midbrain neurons 2_34,123,Macosko|Ex_Irx2_Gpr151,0.985496341,FALSE
Sziraki,MB,Midbrain,Sziraki|Interbrain and midbrain neurons 2_35,32,Macosko|Ex_Ebf2_Nek11_2,0.99128671,TRUE
Sziraki,MB,Midbrain,Sziraki|Interbrain and midbrain neurons 2_36,11,Macosko|Inh_Six6_Vipr2_2,0.945821583,FALSE
Sziraki,MB,Midbrain,Sziraki|Interbrain and midbrain neurons 2_4,6309,Macosko|Ex_Ebf2_Sp5_3,0.980615179,FALSE
Sziraki,MB,Midbrain,Sziraki|Interbrain and midbrain neurons 2_5,2785,Macosko|Ex_Ebf2_Ghrh_1,0.92091847,FALSE
Sziraki,MB,Midbrain,Sziraki|Interbrain and midbrain neurons 2_6,1107,Macosko|Inh_Six3_Six6_1,0.911396424,TRUE
Sziraki,MB,Midbrain,Sziraki|Interbrain and midbrain neurons 2_7,508,Macosko|DopEx_Sox6_Aldh1a1,0.985822732,FALSE
Sziraki,MB,Midbrain,Sziraki|Interbrain and midbrain neurons 2_8,770,Macosko|Ex_Sim1_Cd34_5,0.979289629,TRUE
Sziraki,MB,Midbrain,Sziraki|Interbrain and midbrain neurons 2_9,882,Macosko|Inh_Sall3_Trhr_5,0.995397407,FALSE
Sziraki,WMB,whole mouse brain,Sziraki|Interneurons 1_1,482,Macosko|Inh_Lhx6_Sst_Th_Ephb1,0.99750165,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Interneurons 1_10,752,Macosko|Inh_Lhx6_Sst_Hpse,0.997917763,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Interneurons 1_11,353,Macosko|Inh_Lhx6_Sst_Myh13,0.998641495,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Interneurons 1_12,260,Macosko|Inh_Lhx6_Pthlh,0.998572404,TRUE
