cell_type,dendro_order,cell_type_short,study,study_type
Macosko|Ex_Ebf2_Abcc9_1,3336,Ex_Ebf2_Abcc9_1,Macosko,Nuclei
Macosko|Ex_Ebf2_Abcc9_2,3337,Ex_Ebf2_Abcc9_2,Macosko,Nuclei
Macosko|Ex_Ebf2_Abcc9_4,3338,Ex_Ebf2_Abcc9_4,Macosko,Nuclei
Zeng|4222,3339,4222,Zeng,Cells
Zeng|4233,3340,4233,Zeng,Cells
Macosko|Ex_Ebf2_Sec1_4,3341,Ex_Ebf2_Sec1_4,Macosko,Nuclei
Zeng|4232,3342,4232,Zeng,Cells
Macosko|Ex_Ebf2_4930469K13Rik_3,3343,Ex_Ebf2_4930469K13Rik_3,Macosko,Nuclei
Macosko|Ex_Ebf2_4930469K13Rik_2,3344,Ex_Ebf2_4930469K13Rik_2,Macosko,Nuclei
Macosko|Ex_Ebf2_4930469K13Rik_1,3345,Ex_Ebf2_4930469K13Rik_1,Macosko,Nuclei
Zeng|4255,3346,4255,Zeng,Cells
Macosko|Ex_Ebf2_Galnt3,3347,Ex_Ebf2_Galnt3,Macosko,Nuclei
Zeng|4219,3348,4219,Zeng,Cells
Zeng|4240,3349,4240,Zeng,Cells
Macosko|Ex_Lmx1b_Wif1,3350,Ex_Lmx1b_Wif1,Macosko,Nuclei
Macosko|Ex_Lmx1b_Abi3bp,3351,Ex_Lmx1b_Abi3bp,Macosko,Nuclei
Macosko|Ex_Lmx1b_Olfr25,3352,Ex_Lmx1b_Olfr25,Macosko,Nuclei
Macosko|Ex_Ebf2_6430628N08Rik_3,3353,Ex_Ebf2_6430628N08Rik_3,Macosko,Nuclei
Zeng|4242,3354,4242,Zeng,Cells
Macosko|Ex_Lmx1b_Prkcq_Dynap_2,3355,Ex_Lmx1b_Prkcq_Dynap_2,Macosko,Nuclei
Macosko|Ex_Lmx1b_F2rl2,3356,Ex_Lmx1b_F2rl2,Macosko,Nuclei
Zeng|4250,3357,4250,Zeng,Cells
Macosko|Ex_Lmx1b_Pamr1_2,3358,Ex_Lmx1b_Pamr1_2,Macosko,Nuclei
Macosko|Ex_Lmx1b_Pamr1_3,3359,Ex_Lmx1b_Pamr1_3,Macosko,Nuclei
Zeng|4224,3360,4224,Zeng,Cells
Macosko|Ex_Lmx1b_Dynap_5,3361,Ex_Lmx1b_Dynap_5,Macosko,Nuclei
Zeng|4243,3362,4243,Zeng,Cells
Macosko|Ex_Lmx1b_Dynap_2,3363,Ex_Lmx1b_Dynap_2,Macosko,Nuclei
Zeng|4244,3364,4244,Zeng,Cells
Macosko|Ex_Lmx1b_Dynap_3,3365,Ex_Lmx1b_Dynap_3,Macosko,Nuclei
Macosko|Ex_Lmx1b_Dynap_4,3366,Ex_Lmx1b_Dynap_4,Macosko,Nuclei
Zeng|4245,3367,4245,Zeng,Cells
Macosko|Ex_Lmx1b_Dynap_6,3368,Ex_Lmx1b_Dynap_6,Macosko,Nuclei
Zeng|4241,3369,4241,Zeng,Cells
Macosko|Ex_Lmx1b_Deup1_3,3370,Ex_Lmx1b_Deup1_3,Macosko,Nuclei
Macosko|Ex_Lmx1b_Olfr78,3371,Ex_Lmx1b_Olfr78,Macosko,Nuclei
Macosko|Ex_Lmx1b_Scn5a,3372,Ex_Lmx1b_Scn5a,Macosko,Nuclei
Macosko|Ex_Lmx1b_Ccdc170,3373,Ex_Lmx1b_Ccdc170,Macosko,Nuclei
Macosko|Ex_Lmx1b_Unc5cl_2,3374,Ex_Lmx1b_Unc5cl_2,Macosko,Nuclei
Zeng|4228,3375,4228,Zeng,Cells
Macosko|Ex_Lmx1b_Unc5cl_1,3376,Ex_Lmx1b_Unc5cl_1,Macosko,Nuclei
Macosko|Ex_Lmx1b_Pou4f1_Arsj_2,3377,Ex_Lmx1b_Pou4f1_Arsj_2,Macosko,Nuclei
Macosko|Ex_Lmx1b_Pou4f1_Arsj_1,3378,Ex_Lmx1b_Pou4f1_Arsj_1,Macosko,Nuclei
Macosko|Ex_Lmx1b_Grp,3379,Ex_Lmx1b_Grp,Macosko,Nuclei
Macosko|Ex_Lmx1b_Aldh1a2_2,3380,Ex_Lmx1b_Aldh1a2_2,Macosko,Nuclei
Zeng|4226,3381,4226,Zeng,Cells
Macosko|Ex_Lmx1b_Aldh1a2_1,3382,Ex_Lmx1b_Aldh1a2_1,Macosko,Nuclei
Zeng|4227,3383,4227,Zeng,Cells
Macosko|Ex_Lmx1b_Sec1,3384,Ex_Lmx1b_Sec1,Macosko,Nuclei
Macosko|Ex_Lmx1b_Tnnt2,3385,Ex_Lmx1b_Tnnt2,Macosko,Nuclei
Macosko|Ex_Lmx1b_Deup1_5,3386,Ex_Lmx1b_Deup1_5,Macosko,Nuclei
Macosko|Ex_Lmx1b_Deup1_1,3387,Ex_Lmx1b_Deup1_1,Macosko,Nuclei
Macosko|Ex_Lmx1b_Deup1_2,3388,Ex_Lmx1b_Deup1_2,Macosko,Nuclei
Macosko|Ex_Lmx1b_Olfr273,3389,Ex_Lmx1b_Olfr273,Macosko,Nuclei
Macosko|Ex_Lmx1b_Upp1,3390,Ex_Lmx1b_Upp1,Macosko,Nuclei
Macosko|Ex_Lmx1b_Cyyr1,3391,Ex_Lmx1b_Cyyr1,Macosko,Nuclei
Macosko|Ex_Lmx1b_Deup1_6,3392,Ex_Lmx1b_Deup1_6,Macosko,Nuclei
Macosko|Ex_Lmx1b_Deup1_4,3393,Ex_Lmx1b_Deup1_4,Macosko,Nuclei
Macosko|Ex_Lmx1b_Vstm4,3394,Ex_Lmx1b_Vstm4,Macosko,Nuclei
Zeng|1736,3395,1736,Zeng,Cells
Zeng|1738,3396,1738,Zeng,Cells
Zeng|1739,3397,1739,Zeng,Cells
Zeng|1740,3398,1740,Zeng,Cells
Zeng|1735,3399,1735,Zeng,Cells
Zeng|1734,3400,1734,Zeng,Cells
Zeng|1732,3401,1732,Zeng,Cells
Zeng|1733,3402,1733,Zeng,Cells
Zeng|1439,3403,1439,Zeng,Cells
Zeng|1156,3404,1156,Zeng,Cells
Zeng|1505,3405,1505,Zeng,Cells
Zeng|1039,3406,1039,Zeng,Cells
Zeng|1508,3407,1508,Zeng,Cells
Zeng|1512,3408,1512,Zeng,Cells
Zeng|1502,3409,1502,Zeng,Cells
Zeng|1511,3410,1511,Zeng,Cells
Zeng|1491,3411,1491,Zeng,Cells
