gene_id,ranked_cor,cor_abs,is_HVG,is_same_gene_best
ENSMUSG00000051951,20984,0.7339436763232039,TRUE,TRUE
ENSMUSG00000002459,20984,0.8132768744441032,TRUE,TRUE
ENSMUSG00000025905,20984,0.8271021267844647,FALSE,TRUE
ENSMUSG00000033774,20984,0.42946899546154066,FALSE,TRUE
ENSMUSG00000033740,20984,0.43925227490803753,TRUE,TRUE
ENSMUSG00000051285,20984,0.7211064244319128,FALSE,TRUE
ENSMUSG00000025909,20984,0.7464288081435813,TRUE,TRUE
ENSMUSG00000067879,20984,0.8017313912979622,TRUE,TRUE
ENSMUSG00000025912,20984,0.5817623791239858,FALSE,TRUE
ENSMUSG00000025915,20984,0.7934845132948471,TRUE,TRUE
ENSMUSG00000025916,20984,0.29249477207519897,FALSE,TRUE
ENSMUSG00000042501,20984,0.6533824325391622,TRUE,TRUE
ENSMUSG00000048960,20984,0.8891310235106178,TRUE,TRUE
ENSMUSG00000057715,20984,0.9021645391243818,TRUE,TRUE
ENSMUSG00000016918,20984,0.7717454177144472,TRUE,TRUE
ENSMUSG00000025938,20984,0.7306503289357003,FALSE,TRUE
ENSMUSG00000025937,20984,0.7383143536962133,FALSE,TRUE
ENSMUSG00000025932,20984,0.5431189088488972,TRUE,TRUE
ENSMUSG00000025930,20984,0.49065547365573187,FALSE,TRUE
ENSMUSG00000092083,20984,0.8806102783675601,TRUE,TRUE
ENSMUSG00000025925,20984,0.6119385817872024,TRUE,TRUE
ENSMUSG00000032719,20984,0.3401280407552708,FALSE,TRUE
ENSMUSG00000067795,20984,0.6489029168139068,FALSE,TRUE
ENSMUSG00000025921,20984,0.43464246611419194,FALSE,TRUE
ENSMUSG00000025920,20984,0.7736118015401527,FALSE,TRUE
ENSMUSG00000025779,20984,0.38344015229636097,FALSE,TRUE
ENSMUSG00000042686,20984,0.7705712857546904,TRUE,TRUE
ENSMUSG00000067780,20984,0.3990071826558467,FALSE,TRUE
ENSMUSG00000025776,20984,0.7258380313396696,TRUE,TRUE
ENSMUSG00000042596,20984,0.48702551309245506,FALSE,TRUE
ENSMUSG00000025927,20984,0.5286725489170421,FALSE,TRUE
ENSMUSG00000041859,20984,0.34509009902511906,FALSE,TRUE
ENSMUSG00000025931,20984,0.7555967790102124,TRUE,TRUE
ENSMUSG00000041779,20984,0.4129672784971742,FALSE,TRUE
ENSMUSG00000028033,20984,0.9192637662683187,TRUE,TRUE
ENSMUSG00000041670,20984,0.7515772156618966,TRUE,TRUE
ENSMUSG00000026158,20984,0.7348309132658757,TRUE,TRUE
ENSMUSG00000026156,20984,0.7477987199252011,TRUE,TRUE
