...1,Study_ID|Celltype_1,Study_ID|Celltype_2,Mean_AUROC,Match_type
4275,Zeng|3103,Macosko|Ex_Vsx2_Ghrh_2,1,Reciprocal_top_hit
2712,Zeng|3956,Macosko|Ex_Phox2a_Qrfpr,1,Reciprocal_top_hit
190,Zeng|2396,Macosko|DopEx_Calb1_Aqp1,1,Reciprocal_top_hit
8709,Zeng|34321,Macosko|Inh_Tfap2b_Gabrq_1,1,Reciprocal_top_hit
407,Zeng|3868,Macosko|Ex_C1ql4_Nostrin,1,Reciprocal_top_hit
4916,Zeng|34197,Macosko|Inh_Foxl3_Apela,1,Reciprocal_top_hit
2924,Zeng|3930,Macosko|Ex_Phox2b_Zbbx_Nts_1,1,Reciprocal_top_hit
855,Zeng|4330,Macosko|Ex_Ebf2_Gask1b_1,1,Reciprocal_top_hit
7260,Zeng|34342,Macosko|Inh_Pax2_Igfbpl1_2,1,Reciprocal_top_hit
7257,Zeng|4410,Macosko|Inh_Pax2_Igfbp4,1,Reciprocal_top_hit
8655,Zeng|4153,Macosko|Inh_Tfap2a_Nxf7,1,Reciprocal_top_hit
7370,Zeng|4433,Macosko|Inh_Pax2_Postn_2,1,Reciprocal_top_hit
95,Zeng|571,Macosko|CholInh_Ecel1_Nid1,1,Reciprocal_top_hit
6008,Zeng|4359,Macosko|Inh_Hoxc4_Chrdl2_7,1,Reciprocal_top_hit
2206,Zeng|4243,Macosko|Ex_Lmx1b_Dynap_5,1,Reciprocal_top_hit
7114,Zeng|4414,Macosko|Inh_Pax2_Chrdl2_1,1,Reciprocal_top_hit
4254,Zeng|3046,Macosko|Ex_Vsx2_Col2a1,1,Reciprocal_top_hit
2802,Zeng|3961,Macosko|Ex_Phox2b_Gch1,1,Reciprocal_top_hit
3669,Zeng|2266,Macosko|Ex_Slc12a7_Odad1_1,1,Reciprocal_top_hit
5300,Zeng|1323,Macosko|Inh_Frmd7_Ltbp2_2,1,Reciprocal_top_hit
932,Zeng|4339,Macosko|Ex_Ebf2_Mgp,1,Reciprocal_top_hit
6980,Zeng|3473,Macosko|Inh_Otx2_Bmp4_2,1,Reciprocal_top_hit
5234,Zeng|3201,Macosko|Inh_Foxp2_Sox2_2,1,Reciprocal_top_hit
8886,Zeng|1371,Macosko|NG_Draxin_5,1,Reciprocal_top_hit
1491,Zeng|4036,Macosko|Ex_Hmx3_Has2,1,Reciprocal_top_hit
4303,Zeng|3060,Macosko|Ex_Vsx2_Igfbp4_3,1,Reciprocal_top_hit
2899,Zeng|3919,Macosko|Ex_Phox2b_Slc39a12_3,1,Reciprocal_top_hit
1846,Zeng|2609,Macosko|Ex_Lhx9_Atp8b1_3,1,Reciprocal_top_hit
291,Zeng|2420,Macosko|ExInh_Lmx1b_Met,1,Reciprocal_top_hit
7545,Zeng|3142,Macosko|Inh_Pax5_Cmtm8_1,1,Reciprocal_top_hit
852,Zeng|8175,Macosko|Ex_Ebf2_Fzd9_3,1,Reciprocal_top_hit
977,Zeng|4346,Macosko|Ex_Ebf2_Pla2g5_11,1,Reciprocal_top_hit
7350,Zeng|4212,Macosko|Inh_Pax2_Pdyn,1,Reciprocal_top_hit
4279,Zeng|3099,Macosko|Ex_Vsx2_Ghrh_3,1,Reciprocal_top_hit
5803,Zeng|3158,Macosko|Inh_Gata3_Pdlim3_4,1,Reciprocal_top_hit
113,Zeng|584,Macosko|Chol_Ecel1_Gm7271,1,Reciprocal_top_hit
7792,Zeng|3012,Macosko|Inh_Pax7_Vmn1r207_5,1,Reciprocal_top_hit
837,Zeng|4230,Macosko|Ex_Ebf2_Emilin2,1,Reciprocal_top_hit
7793,Zeng|3010,Macosko|Inh_Pax7_Vmn1r207_6,1,Reciprocal_top_hit
7676,Zeng|989,Macosko|Inh_Pax6_Eya4_4,1,Reciprocal_top_hit
3133,Zeng|2910,Macosko|Ex_Pou4f1_Cdh3_Lpar1,1,Reciprocal_top_hit
7024,Zeng|3474,Macosko|Inh_Otx2_Pcp2,1,Reciprocal_top_hit
8902,Zeng|2766,Macosko|Ng_Lhx1_Gcgr,1,Reciprocal_top_hit
2226,Zeng|2787,Macosko|Ex_Lmx1b_Itih5_2,1,Reciprocal_top_hit
7127,Zeng|2159,Macosko|Inh_Pax2_Chrna6_3,1,Reciprocal_top_hit
7735,Zeng|3550,Macosko|Inh_Pax7_Egflam_7,1,Reciprocal_top_hit
8882,Zeng|1408,Macosko|NG_Draxin_2,1,Reciprocal_top_hit
2796,Zeng|3920,Macosko|Ex_Phox2b_Dpy19l2,1,Reciprocal_top_hit
2902,Zeng|4220,Macosko|Ex_Phox2b_Slc39a12_6,1,Reciprocal_top_hit
4595,Zeng|3851,Macosko|Inh_Bhlhe22_Cdh23_1,1,Reciprocal_top_hit
1685,Zeng|3827,Macosko|Ex_Lhx2_Frk,1,Reciprocal_top_hit
6493,Zeng|767,Macosko|Inh_Lhx6_Sst_Chodl_1,1,Reciprocal_top_hit
7036,Zeng|1419,Macosko|Inh_Otx2_Prdm16_5,1,Reciprocal_top_hit
301,Zeng|294,Macosko|Ex_Abi3bp_Calcrl,1,Reciprocal_top_hit
7023,Zeng|3471,Macosko|Inh_Otx2_Ntrk1_2,1,Reciprocal_top_hit
7051,Zeng|3613,Macosko|Inh_Otx2_Tnnt1_2,1,Reciprocal_top_hit
1864,Zeng|3833,Macosko|Ex_Lhx9_Dnah5,1,Reciprocal_top_hit
220,Zeng|2397,Macosko|DopEx_Calb1_Npw_2,1,Reciprocal_top_hit
7823,Zeng|4101,Macosko|Inh_Pax8_Hhip,1,Reciprocal_top_hit
7791,Zeng|3014,Macosko|Inh_Pax7_Vmn1r207_4,1,Reciprocal_top_hit
8507,Zeng|2997,Macosko|Inh_Sox6_Postn_2,1,Reciprocal_top_hit
943,Zeng|4916,Macosko|Ex_Ebf2_Nek11_2,1,Reciprocal_top_hit
971,Zeng|4237,Macosko|Ex_Ebf2_Olfr273_1,1,Reciprocal_top_hit
5323,Zeng|1378,Macosko|Inh_Frmd7_Slc17a8,1,Reciprocal_top_hit
4906,Zeng|3707,Macosko|Inh_Foxd3_Gm525_2,1,Reciprocal_top_hit
2874,Zeng|3905,Macosko|Ex_Phox2b_Pdyn_5,1,Reciprocal_top_hit
8904,Zeng|2762,Macosko|Ng_Lhx1_Mab21l3_2,1,Reciprocal_top_hit
4587,Zeng|1258,Macosko|Inh_Aqp9_4930523C07Rik,1,Reciprocal_top_hit
6067,Zeng|672,Macosko|Inh_Htr3a_Ibsp_6,1,Reciprocal_top_hit
5383,Zeng|3240,Macosko|Inh_Gata3_Chrna5,1,Reciprocal_top_hit
2175,Zeng|2815,Macosko|Ex_Lmx1b_Arsj_2,1,Reciprocal_top_hit
7826,Zeng|4438,Macosko|Inh_Pax8_Krt19,1,Reciprocal_top_hit
7050,Zeng|3592,Macosko|Inh_Otx2_Tnnt1_1,1,Reciprocal_top_hit
2838,Zeng|3873,Macosko|Ex_Phox2b_Npb,1,Reciprocal_top_hit
3828,Zeng|4874,Macosko|Ex_Sox6_Prom1,1,Reciprocal_top_hit
8254,Zeng|3311,Macosko|Inh_Six3_Ikzf1_1,1,Reciprocal_top_hit
2793,Zeng|3946,Macosko|Ex_Phox2b_Dkk2_2,1,Reciprocal_top_hit
4643,Zeng|1356,Macosko|Inh_Cobll1_Heg1,1,Reciprocal_top_hit
3370,Zeng|4986,Macosko|Ex_Sall3_Efemp1_2,1,Reciprocal_top_hit
1038,Zeng|8163,Macosko|Ex_Ebf2_Tnfaip8_5,1,Reciprocal_top_hit
2706,Zeng|3938,Macosko|Ex_Phox2a_Cyp26b1_2,1,Reciprocal_top_hit
7947,Zeng|1299,Macosko|Inh_Plpp4_Fn1,1,Reciprocal_top_hit
7945,Zeng|1387,Macosko|Inh_Plpp4_Fbln5,1,Reciprocal_top_hit
6077,Zeng|668,Macosko|Inh_Htr3a_Pdzph1_2,1,Reciprocal_top_hit
7042,Zeng|3576,Macosko|Inh_Otx2_Samsn1_1,1,Reciprocal_top_hit
1676,Zeng|2695,Macosko|Ex_Lhx1_Edn1,1,Reciprocal_top_hit
223,Zeng|2402,Macosko|DopEx_Calb1_Trpv1,1,Reciprocal_top_hit
6824,Zeng|3740,Macosko|Inh_Nkx6-1_Cox8b,1,Reciprocal_top_hit
