,Study_ID|Celltype_1,Study_ID|Celltype_2,Mean_AUROC,Match_type
8993,Macosko|SerInh_Fev_Nkx2-2,Zeng|3881,1.0,Above_0.99
7014,Zeng|3568,Macosko|Inh_Otx2_Mbnl3,1.0,Above_0.99
999,Macosko|Ex_Ebf2_Sec1_3,Zeng|4231,1.0,Above_0.99
7554,Macosko|Inh_Pax5_Gdf10_2,Zeng|3857,1.0,Reciprocal_top_hit
7513,Macosko|Inh_Pax3_Vmn1r207_5,Zeng|2986,1.0,Reciprocal_top_hit
7334,Macosko|Inh_Pax2_Olfr920_1,Zeng|4206,1.0,Above_0.99
7386,Macosko|Inh_Pax2_Rxfp1_2,Zeng|4426,1.0,Above_0.99
3895,Zeng|4727,Macosko|Ex_Tcf7l2_Ccdc80,1.0,Above_0.99
7335,Macosko|Inh_Pax2_Olfr920_2,Zeng|4205,1.0,Above_0.99
1447,Macosko|Ex_Gabra6_Gabrd,Zeng|5158,1.0,Reciprocal_top_hit
7848,Macosko|Inh_Pax8_Pdzk1ip1_2,Zeng|3438,1.0,Above_0.99
4519,Macosko|Ex_Vsx2_Tnnt1_5,Zeng|3024,1.0,Above_0.99
8926,Macosko|NorEx_Phox2b_Ppara_2,Zeng|3967,1.0,Reciprocal_top_hit
2213,Macosko|Ex_Lmx1b_Grp,Zeng|4226,1.0,Above_0.99
7796,Macosko|Inh_Pax7_Vmn1r207_7,Zeng|3007,1.0,Reciprocal_top_hit
7110,Macosko|Inh_Pax2_Ceacam10,Zeng|8201,1.0,Above_0.99
1028,Macosko|Ex_Ebf2_Tac2_3,Zeng|4234,1.0,Above_0.99
2182,Zeng|2776,Macosko|Ex_Lmx1b_Cd36_2,1.0,Above_0.99
7510,Macosko|Inh_Pax3_Vmn1r207_3,Zeng|2989,1.0,Reciprocal_top_hit
848,Macosko|Ex_Ebf2_Fer1l6_5,Zeng|4333,1.0,Above_0.99
1117,Macosko|Ex_Evx2_Lmcd1_2,Zeng|24588,1.0,Above_0.99
7953,Macosko|Inh_Pou6f2_Fst,Zeng|3758,1.0,Above_0.99
290,Macosko|ExInh_Lmx1b_Card14,Zeng|2417,1.0,Above_0.99
2240,Macosko|Ex_Lmx1b_Nmu_1,Zeng|15016,1.0,Above_0.99
5933,Macosko|Inh_Gbx2_Chrna5_1,Zeng|34177,1.0,Above_0.99
8915,Macosko|NorEx_Phox2b_Gfral_4,Zeng|3965,1.0,Above_0.99
2444,Macosko|Ex_Nkx6-1_Gucy2c_4,Zeng|3775,1.0,Above_0.99
7063,Macosko|Inh_Pax2_6430628N08Rik_5,Zeng|4204,1.0,Above_0.99
8476,Macosko|Inh_Sox2_Ikzf1_2,Zeng|3459,1.0,Above_0.99
7057,Macosko|Inh_Pax2_6430628N08Rik_2,Zeng|4203,1.0,Above_0.99
7055,Macosko|Inh_Pax2_6430628N08Rik_1,Zeng|4207,1.0,Above_0.99
8710,Macosko|Inh_Tfap2b_Gabrq_2,Zeng|34318,1.0,Above_0.99
2725,Macosko|Ex_Phox2b_Adora2a,Zeng|3965,1.0,Above_0.99
2535,Macosko|Ex_Onecut2_Hmx3_Adamtsl3_2,Zeng|3847,1.0,Reciprocal_top_hit
7133,Macosko|Inh_Pax2_Col5a2_2,Zeng|4209,1.0,Above_0.99
2616,Macosko|Ex_Pax2_Nr5a2_2,Zeng|3669,1.0,Above_0.99
4520,Macosko|Ex_Vsx2_Tspo2_1,Zeng|3111,1.0,Above_0.99
2973,Macosko|Ex_Pitx2_Snorc,Zeng|5006,1.0,Above_0.99
8931,Macosko|NorEx_Phox2b_Tmem45a2_2,Zeng|3968,1.0,Above_0.99
2780,Macosko|Ex_Phox2b_Dbh_2,Zeng|3959,1.0,Above_0.99
7280,Macosko|Inh_Pax2_Kirrel2_2,Zeng|4208,1.0,Above_0.99
2734,Macosko|Ex_Phox2b_Bmp3_3,Zeng|4263,1.0,Reciprocal_top_hit
7628,Macosko|Inh_Pax5_Slc12a7_2,Zeng|3140,1.0,Reciprocal_top_hit
7749,Zeng|2983,Macosko|Inh_Pax7_Nhlh1,1.0,Above_0.99
7627,Macosko|Inh_Pax5_Slc12a7_1,Zeng|3143,1.0,Above_0.99
2565,Macosko|Ex_Onecut3_Pirt_3,Zeng|1612,1.0,Above_0.99
4521,Macosko|Ex_Vsx2_Tspo2_2,Zeng|3097,1.0,Reciprocal_top_hit
1593,Macosko|Ex_Iqcj_Ms4a15_4,Zeng|2693,1.0,Above_0.99
2713,Macosko|Ex_Phox2b_4930469K13Rik_1,Zeng|4252,1.0,Above_0.99
2608,Macosko|Ex_Pax2_Erfl_3,Zeng|24595,1.0,Above_0.99
2863,Macosko|Ex_Phox2b_Olig3_4,Zeng|4302,1.0,Above_0.99
955,Macosko|Ex_Ebf2_Npff_2,Zeng|4332,1.0,Above_0.99
8733,Macosko|Inh_Tfap2b_Il7_2,Zeng|3736,1.0,Above_0.99
5249,Macosko|Inh_Frm7_Atp1b4,Zeng|1282,1.0,Above_0.99
3409,Zeng|2717,Macosko|Ex_Samd3_Tnfaip8_1,1.0,Above_0.99
2269,Macosko|Ex_Lmx1b_Tll2_2,Zeng|2859,1.0,Above_0.99
998,Macosko|Ex_Ebf2_Sec1_2,Zeng|4231,1.0,Above_0.99
7847,Macosko|Inh_Pax8_Pdzk1ip1_1,Zeng|3438,1.0,Above_0.99
1043,Macosko|Ex_Ebf2_Upp1_2,Zeng|4248,1.0,Above_0.99
114,Macosko|Chol_Ecel1_Gpr174,Zeng|583,1.0,Above_0.99
2856,Macosko|Ex_Phox2b_Olfr560_2,Zeng|3969,1.0,Above_0.99
2165,Macosko|Ex_Lmx1b_Aldh1a2_2,Zeng|4227,1.0,Above_0.99
7282,Macosko|Inh_Pax2_Krt17_1,Zeng|4456,1.0,Above_0.99
7901,Macosko|Inh_Pax8_Sox6_3,Zeng|4002,1.0,Above_0.99
1526,Macosko|Ex_Hoxb5_Prdm16_3,Zeng|24428,1.0,Above_0.99
759,Macosko|Ex_Ebf2_Abcc9_2,Zeng|4222,1.0,Above_0.99
8454,Macosko|Inh_Sox1_Igfbp2_1,Zeng|3221,1.0,Above_0.99
8979,Macosko|SerEx_Fev_Crhr2_3,Zeng|2850,1.0,Above_0.99
2897,Macosko|Ex_Phox2b_Slc39a12_2,Zeng|3921,1.0,Reciprocal_top_hit
4935,Macosko|Inh_Foxp2_Drd3_2,Zeng|3861,1.0,Above_0.99
6369,Macosko|Inh_Lhx6_Iqca_4,Zeng|840,1.0,Above_0.99
1041,Macosko|Ex_Ebf2_Unc5cl,Zeng|4229,1.0,Above_0.99
160,Macosko|Chol_Tbx20_S100a11_1,Zeng|3893,1.0,Above_0.99
4649,Macosko|Inh_Dlk1_Asb4_1,Zeng|3242,1.0,Above_0.99
1588,Macosko|Ex_Iqcj_Ms4a15_1,Zeng|2871,1.0,Above_0.99
2782,Zeng|3951,Macosko|Ex_Phox2b_Dbh_4,1.0,Above_0.99
8834,Macosko|Inh_Vip_Trim55_1,Zeng|1374,1.0,Reciprocal_top_hit
8239,Macosko|Inh_Six3_Fgf15,Zeng|3169,1.0,Reciprocal_top_hit
7330,Macosko|Inh_Pax2_Olfr372_1,Zeng|4457,1.0,Reciprocal_top_hit
7582,Macosko|Inh_Pax5_Olig3_2,Zeng|3862,1.0,Reciprocal_top_hit
1040,Macosko|Ex_Ebf2_Ucn3_2,Zeng|4345,1.0,Above_0.99
2541,Macosko|Ex_Onecut2_Hmx3_Trim6_2,Zeng|3848,1.0,Above_0.99
303,Macosko|Ex_Abi3bp_Hcrtr2,Zeng|977,1.0,Reciprocal_top_hit
7026,Macosko|Inh_Otx2_Prdm16_1,Zeng|875,1.0,Above_0.99
7338,Macosko|Inh_Pax2_Olfr920_3,Zeng|4206,1.0,Above_0.99
7070,Macosko|Inh_Pax2_Abcg8,Zeng|4209,1.0,Above_0.99
7602,Macosko|Inh_Pax5_Padi1_2,Zeng|3445,1.0,Above_0.99
8604,Macosko|Inh_Sp8_Spp1_3,Zeng|949,1.0,Above_0.99
8927,Macosko|NorEx_Phox2b_Prlh,Zeng|3935,1.0,Above_0.99
7750,Macosko|Inh_Pax7_Nhlh1,Zeng|3007,1.0,Above_0.99
847,Macosko|Ex_Ebf2_Fer1l6_4,Zeng|4333,1.0,Above_0.99
3613,Zeng|2711,Macosko|Ex_Skor1_Emx2_2,1.0,Above_0.99
7573,Macosko|Inh_Pax5_Myof,Zeng|3354,1.0,Above_0.99
763,Macosko|Ex_Ebf2_Adgrd1_1,Zeng|4339,1.0,Above_0.99
6017,Macosko|Inh_Hoxc4_F5_1,Zeng|4392,1.0,Reciprocal_top_hit
1050,Macosko|Ex_Ebf2_Wdr86,Zeng|4346,1.0,Above_0.99
