cluster,class,region,study,is_reciprocal,recip_cluster
Zeng|940,LSX GABA,LSX,Cells,FALSE,NA
Zeng|947,LSX GABA,LSX,Cells,FALSE,NA
Zeng|939,LSX GABA,LSX,Cells,FALSE,NA
Zeng|951,LSX GABA,LSX,Cells,FALSE,NA
Zeng|968,LSX GABA,LSX,Cells,FALSE,NA
Zeng|973,LSX GABA,LSX,Cells,FALSE,NA
Zeng|949,LSX GABA,LSX,Cells,TRUE,Macosko|Inh_Sp8_Spp1_1
Zeng|967,LSX GABA,LSX,Cells,TRUE,Macosko|Inh_Sp8_Spp1_2
Zeng|899,LSX GABA,LSX,Cells,TRUE,Macosko|Inh_Clic4_Ano3_2
Zeng|928,LSX GABA,LSX,Cells,FALSE,NA
Zeng|972,LSX GABA,LSX,Cells,TRUE,Macosko|Inh_Sp8_Fbxw13
Zeng|957,LSX GABA,LSX,Cells,TRUE,Macosko|Inh_Sp8_Mc4r
Zeng|920,LSX GABA,LSX,Cells,FALSE,NA
Zeng|924,LSX GABA,LSX,Cells,FALSE,NA
Zeng|925,LSX GABA,LSX,Cells,FALSE,NA
Zeng|926,LSX GABA,LSX,Cells,TRUE,Macosko|Inh_Clic4_Ano3_1
Zeng|927,LSX GABA,LSX,Cells,FALSE,NA
Zeng|934,LSX GABA,LSX,Cells,FALSE,NA
Zeng|921,LSX GABA,LSX,Cells,FALSE,NA
Zeng|923,LSX GABA,LSX,Cells,FALSE,NA
Zeng|909,LSX GABA,LSX,Cells,FALSE,NA
Zeng|905,LSX GABA,LSX,Cells,FALSE,NA
Zeng|911,LSX GABA,LSX,Cells,TRUE,Macosko|Inh_Sall3_Trhr_1
Zeng|912,LSX GABA,LSX,Cells,TRUE,Macosko|Inh_Sall3_Bmper_2
Zeng|917,LSX GABA,LSX,Cells,FALSE,NA
Zeng|929,LSX GABA,LSX,Cells,FALSE,NA
Zeng|930,LSX GABA,LSX,Cells,FALSE,NA
Zeng|933,LSX GABA,LSX,Cells,TRUE,Macosko|Inh_Clic4_Ano3_3
Zeng|922,LSX GABA,LSX,Cells,TRUE,Macosko|Inh_Clic4_Ano3_4
Zeng|931,LSX GABA,LSX,Cells,FALSE,NA
Zeng|932,LSX GABA,LSX,Cells,FALSE,NA
Zeng|963,LSX GABA,LSX,Cells,FALSE,NA
Zeng|962,LSX GABA,LSX,Cells,FALSE,NA
Zeng|965,LSX GABA,LSX,Cells,FALSE,NA
Zeng|966,LSX GABA,LSX,Cells,FALSE,NA
Zeng|971,LSX GABA,LSX,Cells,FALSE,NA
Zeng|975,LSX GABA,LSX,Cells,FALSE,NA
Zeng|900,LSX GABA,LSX,Cells,TRUE,Macosko|Inh_Ecel1_Pon3
Zeng|903,LSX GABA,LSX,Cells,FALSE,NA
Zeng|901,LSX GABA,LSX,Cells,TRUE,Macosko|Inh_Sall3_Sp8
Zeng|902,LSX GABA,LSX,Cells,TRUE,Macosko|Inh_Sall3_Cytip_3
Zeng|906,LSX GABA,LSX,Cells,FALSE,NA
Zeng|910,LSX GABA,LSX,Cells,TRUE,Macosko|Inh_Sall3_Cytip_1
Zeng|915,LSX GABA,LSX,Cells,FALSE,NA
Zeng|916,LSX GABA,LSX,Cells,TRUE,Macosko|Inh_Sall3_Prss23
Zeng|914,LSX GABA,LSX,Cells,TRUE,Macosko|Inh_Sall3_Chrne
Zeng|904,LSX GABA,LSX,Cells,FALSE,NA
Zeng|908,LSX GABA,LSX,Cells,FALSE,NA
Zeng|979,LSX GABA,LSX,Cells,FALSE,NA
Zeng|937,LSX GABA,LSX,Cells,FALSE,NA
Zeng|938,LSX GABA,LSX,Cells,FALSE,NA
Zeng|1130,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1143,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1148,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1147,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1129,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1132,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1133,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1141,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1145,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1151,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1019,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1163,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1165,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1166,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1167,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1168,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1169,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1117,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1146,CNU-HYa GABA,OLF,Cells,FALSE,NA
Zeng|1158,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1160,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1164,CNU-HYa GABA,OLF,Cells,FALSE,NA
Zeng|1175,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1177,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1134,CNU-HYa GABA,OLF,Cells,FALSE,NA
Zeng|1135,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1136,CNU-HYa GABA,OLF,Cells,FALSE,NA
Zeng|1137,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1138,CNU-HYa GABA,OLF,Cells,FALSE,NA
Zeng|1139,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1140,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1051,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1157,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1159,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1162,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1173,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1174,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1176,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1114,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1115,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1116,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|1149,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1113,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1161,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1142,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1127,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1150,CNU-HYa GABA,OLF,Cells,FALSE,NA
Zeng|1449,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|1722,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1744,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1099,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1103,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1122,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1104,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1105,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1102,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|5354,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1120,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1121,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|1123,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1096,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1106,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1110,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1118,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1124,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1101,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1109,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1119,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1131,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1108,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1111,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1112,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1125,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|5344,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1107,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1152,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|1153,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1154,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|1155,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1580,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1581,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|1206,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1207,CNU-HYa GABA,sAMY,Cells,TRUE,Macosko|Inh_Lhx6_Nr2e1_2
Zeng|1208,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1209,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1210,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1204,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1205,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1211,CNU-HYa GABA,CTXsp,Cells,FALSE,NA
Zeng|1214,CNU-HYa GABA,CTXsp,Cells,FALSE,NA
Zeng|1212,CNU-HYa GABA,CTXsp,Cells,FALSE,NA
Zeng|1215,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1213,CNU-HYa GABA,CTXsp,Cells,TRUE,Macosko|Inh_Lhx6_Arhgap28_3
Zeng|1226,CNU-HYa GABA,sAMY,Cells,TRUE,Macosko|Inh_Lhx6_Esr2_15
Zeng|1233,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|1234,CNU-HYa GABA,HY,Cells,TRUE,Macosko|Inh_Lhx6_Esr2_3
Zeng|1235,CNU-HYa GABA,PAL,Cells,TRUE,Macosko|Inh_Lhx6_Esr2_7
Zeng|1236,CNU-HYa GABA,HY,Cells,TRUE,Macosko|Inh_Lhx6_Esr2_6
Zeng|1239,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1244,CNU-HYa GABA,sAMY,Cells,TRUE,Macosko|Inh_Lhx6_Esr2_5
Zeng|1250,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1227,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1228,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1229,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1230,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1232,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1241,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1253,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1225,CNU-HYa GABA,sAMY,Cells,TRUE,Macosko|Inh_Lhx6_Esr2_12
Zeng|1237,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1238,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1242,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1243,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1216,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|1240,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1248,CNU-HYa GABA,HY,Cells,TRUE,Macosko|Inh_Lhx6_Gpr179
Zeng|1231,CNU-HYa GABA,HY,Cells,TRUE,Macosko|Inh_Lhx6_Myo1h_1
Zeng|1249,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|1223,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1224,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1245,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|1246,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|1247,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|1218,CNU-HYa GABA,sAMY,Cells,TRUE,Macosko|Inh_Lhx6_Npy_2
Zeng|1219,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1221,CNU-HYa GABA,HY,Cells,TRUE,Macosko|Inh_Lhx6_Itgad
Zeng|1252,CNU-HYa GABA,sAMY,Cells,TRUE,Macosko|Inh_Lhx6_Npy_1
Zeng|1523,CNU-HYa GABA,PAL,Cells,TRUE,Macosko|Inh_Esr2_Avp_2
Zeng|1524,CNU-HYa GABA,PAL,Cells,TRUE,Macosko|Inh_Esr2_Avp_1
Zeng|1839,CNU-HYa GABA,PAL,Cells,TRUE,Macosko|Inh_Foxp4_Bnc2
Zeng|1841,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1837,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1840,CNU-HYa GABA,OLF,Cells,FALSE,NA
Zeng|1838,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1842,CNU-HYa GABA,STRv,Cells,FALSE,NA
Zeng|1843,CNU-HYa GABA,STRv,Cells,FALSE,NA
Zeng|1000,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|997,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|999,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1001,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1041,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1042,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1002,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1006,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1007,CNU-HYa GABA,sAMY,Cells,TRUE,Macosko|Inh_Sox8_Sh3d21_2
Zeng|1008,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1009,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1015,CNU-HYa GABA,sAMY,Cells,TRUE,Macosko|Inh_Sox8_Calcrl_2
Zeng|1014,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1028,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1040,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1045,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1005,CNU-HYa GABA,sAMY,Cells,TRUE,Macosko|Inh_Sox8_Cyp26b1
Zeng|1012,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1013,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1011,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1010,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1052,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1025,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1026,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1021,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1018,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1020,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1031,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1037,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1049,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1023,CNU-HYa GABA,STRv,Cells,FALSE,NA
Zeng|1027,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1033,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1034,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1003,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1035,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1043,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1044,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1047,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1029,CNU-HYa GABA,CTXsp,Cells,FALSE,NA
Zeng|1050,CNU-HYa GABA,OLF,Cells,FALSE,NA
Zeng|1016,CNU-HYa GABA,STRv,Cells,FALSE,NA
Zeng|1030,CNU-HYa GABA,STRd,Cells,FALSE,NA
Zeng|1036,CNU-HYa GABA,STRd,Cells,FALSE,NA
Zeng|1032,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1017,CNU-HYa GABA,STRv,Cells,FALSE,NA
Zeng|1046,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1038,CNU-HYa GABA,OLF,Cells,FALSE,NA
Zeng|1024,CNU-HYa GABA,CTXsp,Cells,FALSE,NA
Zeng|1095,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1199,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1200,CNU-HYa GABA,STRv,Cells,FALSE,NA
Zeng|1185,CNU-HYa GABA,STRv,Cells,FALSE,NA
Zeng|1195,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1201,CNU-HYa GABA,STRv,Cells,FALSE,NA
Zeng|1203,CNU-HYa GABA,STRv,Cells,FALSE,NA
Zeng|1202,CNU-HYa GABA,LSX,Cells,FALSE,NA
Zeng|1196,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1197,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1198,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1825,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1826,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1827,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1814,CNU-HYa GABA,sAMY,Cells,TRUE,Macosko|Inh_Ecel1_Chodl
Zeng|1815,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1823,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1808,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1809,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1810,CNU-HYa GABA,STRd,Cells,FALSE,NA
Zeng|1811,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1812,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1816,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1822,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1831,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1824,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1828,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1829,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1830,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1818,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1817,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1813,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1832,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1833,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1820,CNU-HYa GABA,PAL,Cells,TRUE,Macosko|Inh_Pde11a_Atp2c2_1
Zeng|1821,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1835,CNU-HYa GABA,PAL,Cells,TRUE,Macosko|Inh_Pde11a_Pgm5_3
Zeng|1836,CNU-HYa GABA,PAL,Cells,TRUE,Macosko|Inh_Pde11a_Pgm5_6
Zeng|1540,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1541,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1544,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1537,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1542,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1543,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1545,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|779,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|780,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|781,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|782,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|783,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|784,CNU-HYa GABA,PAL,Cells,TRUE,Macosko|Inh_Lhx6_Ccdc172_2
Zeng|787,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|788,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|789,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|791,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|792,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|793,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|799,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|800,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|801,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|802,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|808,CNU-HYa GABA,LSX,Cells,FALSE,NA
Zeng|810,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|811,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|812,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|813,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|794,CNU-HYa GABA,HY,Cells,TRUE,Macosko|Inh_Lhx6_Serpinb1b_2
Zeng|795,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|803,CNU-HYa GABA,HY,Cells,TRUE,Macosko|Inh_Lhx6_Serpinb1b_1
Zeng|804,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|805,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|814,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|815,CNU-HYa GABA,HY,Cells,TRUE,Macosko|Inh_Lhx6_Nmu_4
Zeng|796,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|797,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|798,CNU-HYa GABA,HY,Cells,TRUE,Macosko|Inh_Lhx6_Nmu_1
Zeng|807,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|809,CNU-HYa GABA,LSX,Cells,FALSE,NA
Zeng|776,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|777,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|778,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|785,CNU-HYa GABA,HY,Cells,TRUE,Macosko|Inh_Lhx6_Ntrk1
Zeng|790,CNU-HYa GABA,STRv,Cells,FALSE,NA
Zeng|806,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|1571,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1573,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|1574,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|1551,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1555,CNU-HYa GABA,HY,Cells,TRUE,Macosko|Inh_Lhx8_Efhb_1
Zeng|1557,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|1561,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1570,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|1575,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|1552,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|1553,CNU-HYa GABA,HY,Cells,TRUE,Macosko|Inh_Lhx8_Nmu
Zeng|1554,CNU-HYa GABA,HY,Cells,TRUE,Macosko|Inh_Lhx8_Th_3
Zeng|1556,CNU-HYa GABA,HY,Cells,TRUE,Macosko|Inh_Lhx8_Th_1
Zeng|1568,CNU-HYa GABA,HY,Cells,TRUE,Macosko|Inh_Lhx8_Rspo2
Zeng|1569,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|1566,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|1567,CNU-HYa GABA,PAL,Cells,TRUE,Macosko|Inh_Lhx8_Lypd6
Zeng|1576,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|1558,CNU-HYa GABA,PAL,Cells,TRUE,Macosko|Inh_Lhx8_Pde11a_6
Zeng|1559,CNU-HYa GABA,PAL,Cells,TRUE,Macosko|Inh_Lhx8_Pde11a_2
Zeng|1560,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1563,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1565,CNU-HYa GABA,PAL,Cells,TRUE,Macosko|Inh_Lhx8_Pde11a_5
Zeng|1562,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|1564,CNU-HYa GABA,LSX,Cells,FALSE,NA
Zeng|1572,CNU-HYa GABA,HY,Cells,TRUE,Macosko|Inh_Lhx8_Arhgef38_4
Zeng|1578,CNU-HYa GABA,PAL,Cells,TRUE,Macosko|Inh_Lhx6_Asb4
Zeng|1582,CNU-HYa GABA,sAMY,Cells,FALSE,NA
Zeng|1583,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|1585,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|1577,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|1586,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|1579,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|1588,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|1584,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|1587,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|1546,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|1547,CNU-HYa GABA,PAL,Cells,TRUE,Macosko|Inh_Dlx1_Satb2_1
Zeng|1548,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1549,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|1550,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1534,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|1805,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1806,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1807,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1804,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1450,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|1451,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1452,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1453,CNU-HYa GABA,PAL,Cells,FALSE,NA
Zeng|1460,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|1457,CNU-HYa GABA,HY,Cells,TRUE,Macosko|Inh_Six3_Serpinb1b_Sox3
Zeng|1458,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|1459,CNU-HYa GABA,HY,Cells,FALSE,NA
Zeng|1445,CNU-HYa GABA,HY,Cells,FALSE,NA
