cluster	class	subclass	level1_anno	level2_anno	dataset
Zeng|190	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|198	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|178	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|179	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|180	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|177	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|184	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|186	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|187	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|205	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|152	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|163	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|167	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|170	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|172	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|173	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|153	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|154	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|181	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|197	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|199	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|194	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|171	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|185	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|196	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|195	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|201	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|188	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|189	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|200	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|237	IT-ET Glut	L2/3 IT CTX Glut	Neuron	ExN	Zeng
Zeng|239	IT-ET Glut	L2/3 IT CTX Glut	Neuron	ExN	Zeng
Zeng|240	IT-ET Glut	L2/3 IT CTX Glut	Neuron	ExN	Zeng
Zeng|241	IT-ET Glut	L2/3 IT CTX Glut	Neuron	ExN	Zeng
Zeng|242	IT-ET Glut	L2/3 IT CTX Glut	Neuron	ExN	Zeng
Zeng|150	IT-ET Glut	L2/3 IT CTX Glut	Neuron	ExN	Zeng
Zeng|232	IT-ET Glut	L2/3 IT CTX Glut	Neuron	ExN	Zeng
Zeng|233	IT-ET Glut	L2/3 IT CTX Glut	Neuron	ExN	Zeng
Zeng|234	IT-ET Glut	L2/3 IT CTX Glut	Neuron	ExN	Zeng
Zeng|236	IT-ET Glut	L2/3 IT CTX Glut	Neuron	ExN	Zeng
Zeng|243	IT-ET Glut	L2/3 IT CTX Glut	Neuron	ExN	Zeng
Zeng|228	IT-ET Glut	L2/3 IT CTX Glut	Neuron	ExN	Zeng
Zeng|229	IT-ET Glut	L2/3 IT CTX Glut	Neuron	ExN	Zeng
Zeng|230	IT-ET Glut	L2/3 IT CTX Glut	Neuron	ExN	Zeng
Zeng|231	IT-ET Glut	L2/3 IT CTX Glut	Neuron	ExN	Zeng
Zeng|235	IT-ET Glut	L2/3 IT CTX Glut	Neuron	ExN	Zeng
Zeng|244	IT-ET Glut	L2/3 IT CTX Glut	Neuron	ExN	Zeng
Zeng|238	IT-ET Glut	L2/3 IT CTX Glut	Neuron	ExN	Zeng
Zeng|207	IT-ET Glut	L2/3 IT ENT Glut	Neuron	ExN	Zeng
Zeng|208	IT-ET Glut	L2/3 IT ENT Glut	Neuron	ExN	Zeng
Zeng|210	IT-ET Glut	L2/3 IT ENT Glut	Neuron	ExN	Zeng
Zeng|209	IT-ET Glut	L2/3 IT ENT Glut	Neuron	ExN	Zeng
Zeng|211	IT-ET Glut	L2/3 IT ENT Glut	Neuron	ExN	Zeng
Zeng|212	IT-ET Glut	L2/3 IT ENT Glut	Neuron	ExN	Zeng
Zeng|214	IT-ET Glut	L2/3 IT ENT Glut	Neuron	ExN	Zeng
Zeng|215	IT-ET Glut	L2/3 IT ENT Glut	Neuron	ExN	Zeng
