cluster	class	subclass	level1_anno	level2_anno	dataset
Zeng|5010	MB Glut	SCop Sln Glut	Neuron	ExN	Zeng
Zeng|5011	MB Glut	SCop Sln Glut	Neuron	ExN	Zeng
Zeng|5013	MB Glut	SCop Sln Glut	Neuron	ExN	Zeng
Zeng|5017	MB Glut	SCop Sln Glut	Neuron	ExN	Zeng
Zeng|5018	MB Glut	SCop Sln Glut	Neuron	ExN	Zeng
Zeng|5009	MB Glut	SCop Sln Glut	Neuron	ExN	Zeng
Zeng|5015	MB Glut	SCop Sln Glut	Neuron	ExN	Zeng
Zeng|5014	MB Glut	SCop Sln Glut	Neuron	ExN	Zeng
Zeng|5016	MB Glut	SCop Sln Glut	Neuron	ExN	Zeng
Zeng|5012	MB Glut	SCop Sln Glut	Neuron	ExN	Zeng
Zeng|2145	MB Glut	PAG Ucn Glut	Neuron	ExN	Zeng
Zeng|2182	MB Glut	ND-INC Foxd2 Glut	Neuron	ExN	Zeng
Zeng|3776	MB Glut	ND-INC Foxd2 Glut	Neuron	ExN	Zeng
Zeng|3775	MB Glut	ND-INC Foxd2 Glut	Neuron	ExN	Zeng
Zeng|3383	MB GABA	PAG-MRN Rln3 Gaba	Neuron	InN	Zeng
Zeng|3384	MB GABA	PAG-MRN Rln3 Gaba	Neuron	InN	Zeng
Zeng|3385	MB GABA	PAG-MRN Rln3 Gaba	Neuron	InN	Zeng
Zeng|2924	MB GABA	PPN-CUN-PCG Otp En1 Gaba	Neuron	InN	Zeng
Zeng|2926	MB GABA	PPN-CUN-PCG Otp En1 Gaba	Neuron	InN	Zeng
Zeng|2930	MB GABA	PPN-CUN-PCG Otp En1 Gaba	Neuron	InN	Zeng
Zeng|2946	MB GABA	PPN-CUN-PCG Otp En1 Gaba	Neuron	InN	Zeng
Zeng|2937	MB GABA	PPN-CUN-PCG Otp En1 Gaba	Neuron	InN	Zeng
Zeng|2943	MB GABA	PPN-CUN-PCG Otp En1 Gaba	Neuron	InN	Zeng
Zeng|2914	MB GABA	PPN-CUN-PCG Otp En1 Gaba	Neuron	InN	Zeng
Zeng|2915	MB GABA	PPN-CUN-PCG Otp En1 Gaba	Neuron	InN	Zeng
Zeng|2947	MB GABA	PPN-CUN-PCG Otp En1 Gaba	Neuron	InN	Zeng
Zeng|2944	MB GABA	PPN-CUN-PCG Otp En1 Gaba	Neuron	InN	Zeng
Zeng|2945	MB GABA	PPN-CUN-PCG Otp En1 Gaba	Neuron	InN	Zeng
Zeng|2965	MB GABA	PPN-CUN-PCG Otp En1 Gaba	Neuron	InN	Zeng
Zeng|2942	MB GABA	PPN-CUN-PCG Otp En1 Gaba	Neuron	InN	Zeng
Zeng|2916	MB GABA	PPN-CUN-PCG Otp En1 Gaba	Neuron	InN	Zeng
Zeng|2917	MB GABA	PPN-CUN-PCG Otp En1 Gaba	Neuron	InN	Zeng
Zeng|2936	MB GABA	PPN-CUN-PCG Otp En1 Gaba	Neuron	InN	Zeng
Zeng|2968	MB GABA	PPN-CUN-PCG Otp En1 Gaba	Neuron	InN	Zeng
Zeng|2970	MB GABA	PPN-CUN-PCG Otp En1 Gaba	Neuron	InN	Zeng
Zeng|2971	MB GABA	PPN-CUN-PCG Otp En1 Gaba	Neuron	InN	Zeng
Zeng|2920	MB GABA	MRN-PPN-CUN Pax8 Gaba	Neuron	InN	Zeng
Zeng|2922	MB GABA	MRN-PPN-CUN Pax8 Gaba	Neuron	InN	Zeng
Zeng|2941	MB GABA	MRN-PPN-CUN Pax8 Gaba	Neuron	InN	Zeng
Zeng|2921	MB GABA	MRN-PPN-CUN Pax8 Gaba	Neuron	InN	Zeng
Zeng|2969	MB GABA	MRN-PPN-CUN Pax8 Gaba	Neuron	InN	Zeng
Zeng|2967	MB GABA	MRN-PPN-CUN Pax8 Gaba	Neuron	InN	Zeng
Zeng|2972	MB GABA	MRN-PPN-CUN Pax8 Gaba	Neuron	InN	Zeng
Zeng|2973	MB GABA	MRN-PPN-CUN Pax8 Gaba	Neuron	InN	Zeng
Zeng|2974	MB GABA	MRN-PPN-CUN Pax8 Gaba	Neuron	InN	Zeng
Zeng|2966	MB GABA	MRN-PPN-CUN Pax8 Gaba	Neuron	InN	Zeng
Zeng|2919	MB GABA	MRN-PPN-CUN Pax8 Gaba	Neuron	InN	Zeng
Zeng|3361	MB GABA	MRN-VTN-PPN Pax5 Cdh23 Gaba	Neuron	InN	Zeng
Zeng|3359	MB GABA	MRN-VTN-PPN Pax5 Cdh23 Gaba	Neuron	InN	Zeng
Zeng|3360	MB GABA	MRN-VTN-PPN Pax5 Cdh23 Gaba	Neuron	InN	Zeng
Zeng|3362	MB GABA	MRN-VTN-PPN Pax5 Cdh23 Gaba	Neuron	InN	Zeng
Zeng|3370	MB GABA	MRN-VTN-PPN Pax5 Cdh23 Gaba	Neuron	InN	Zeng
Zeng|3382	MB GABA	MRN-VTN-PPN Pax5 Cdh23 Gaba	Neuron	InN	Zeng
Zeng|3350	MB GABA	MRN-VTN-PPN Pax5 Cdh23 Gaba	Neuron	InN	Zeng
Zeng|3353	MB GABA	MRN-VTN-PPN Pax5 Cdh23 Gaba	Neuron	InN	Zeng
Zeng|3354	MB GABA	MRN-VTN-PPN Pax5 Cdh23 Gaba	Neuron	InN	Zeng
Zeng|3358	MB GABA	MRN-VTN-PPN Pax5 Cdh23 Gaba	Neuron	InN	Zeng
Zeng|3371	MB GABA	MRN-VTN-PPN Pax5 Cdh23 Gaba	Neuron	InN	Zeng
Zeng|3355	MB GABA	MRN-VTN-PPN Pax5 Cdh23 Gaba	Neuron	InN	Zeng
Zeng|3363	MB GABA	MRN-VTN-PPN Pax5 Cdh23 Gaba	Neuron	InN	Zeng
Zeng|3365	MB GABA	MRN-VTN-PPN Pax5 Cdh23 Gaba	Neuron	InN	Zeng
Zeng|3375	MB GABA	SNr-VTA Pax5 Npas1 Gaba	Neuron	InN	Zeng
Zeng|3376	MB GABA	SNr-VTA Pax5 Npas1 Gaba	Neuron	InN	Zeng
Zeng|3378	MB GABA	SNr-VTA Pax5 Npas1 Gaba	Neuron	InN	Zeng
Zeng|3379	MB GABA	SNr-VTA Pax5 Npas1 Gaba	Neuron	InN	Zeng
Zeng|3380	MB GABA	SNr-VTA Pax5 Npas1 Gaba	Neuron	InN	Zeng
Zeng|3374	MB GABA	SNr-VTA Pax5 Npas1 Gaba	Neuron	InN	Zeng
Zeng|3377	MB GABA	SNr-VTA Pax5 Npas1 Gaba	Neuron	InN	Zeng
Zeng|3381	MB GABA	SNr-VTA Pax5 Npas1 Gaba	Neuron	InN	Zeng
Zeng|3445	MB GABA	SNr-VTA Pax5 Npas1 Gaba	Neuron	InN	Zeng
Zeng|3441	MB GABA	PAG-PPN Pax5 Sox21 Gaba	Neuron	InN	Zeng
Zeng|3442	MB GABA	PAG-PPN Pax5 Sox21 Gaba	Neuron	InN	Zeng
Zeng|3446	MB GABA	PAG-PPN Pax5 Sox21 Gaba	Neuron	InN	Zeng
Zeng|3447	MB GABA	PAG-PPN Pax5 Sox21 Gaba	Neuron	InN	Zeng
Zeng|3448	MB GABA	PAG-PPN Pax5 Sox21 Gaba	Neuron	InN	Zeng
Zeng|3450	MB GABA	PAG-PPN Pax5 Sox21 Gaba	Neuron	InN	Zeng
Zeng|3453	MB GABA	PAG-PPN Pax5 Sox21 Gaba	Neuron	InN	Zeng
Zeng|3456	MB GABA	PAG-PPN Pax5 Sox21 Gaba	Neuron	InN	Zeng
Zeng|3457	MB GABA	PAG-PPN Pax5 Sox21 Gaba	Neuron	InN	Zeng
Zeng|3458	MB GABA	PAG-PPN Pax5 Sox21 Gaba	Neuron	InN	Zeng
Zeng|3436	MB GABA	PAG-PPN Pax5 Sox21 Gaba	Neuron	InN	Zeng
Zeng|3438	MB GABA	PAG-PPN Pax5 Sox21 Gaba	Neuron	InN	Zeng
Zeng|3439	MB GABA	PAG-PPN Pax5 Sox21 Gaba	Neuron	InN	Zeng
Zeng|3443	MB GABA	PAG-PPN Pax5 Sox21 Gaba	Neuron	InN	Zeng
Zeng|3444	MB GABA	PAG-PPN Pax5 Sox21 Gaba	Neuron	InN	Zeng
Zeng|3372	MB GABA	PAG-PPN Pax5 Sox21 Gaba	Neuron	InN	Zeng
Zeng|3373	MB GABA	PAG-PPN Pax5 Sox21 Gaba	Neuron	InN	Zeng
Zeng|3437	MB GABA	PAG-PPN Pax5 Sox21 Gaba	Neuron	InN	Zeng
Zeng|3440	MB GABA	PAG-PPN Pax5 Sox21 Gaba	Neuron	InN	Zeng
Zeng|3137	MB GABA	SNr Six3 Gaba	Neuron	InN	Zeng
Zeng|3314	MB GABA	SNr Six3 Gaba	Neuron	InN	Zeng
Zeng|3313	MB GABA	SNr Six3 Gaba	Neuron	InN	Zeng
Zeng|3155	MB GABA	SNr Six3 Gaba	Neuron	InN	Zeng
Zeng|3307	MB GABA	IC Six3 En2 Gaba	Neuron	InN	Zeng
Zeng|3315	MB GABA	IC Six3 En2 Gaba	Neuron	InN	Zeng
Zeng|3317	MB GABA	IC Six3 En2 Gaba	Neuron	InN	Zeng
Zeng|3327	MB GABA	IC Six3 En2 Gaba	Neuron	InN	Zeng
Zeng|3329	MB GABA	IC Six3 En2 Gaba	Neuron	InN	Zeng
Zeng|3330	MB GABA	IC Six3 En2 Gaba	Neuron	InN	Zeng
Zeng|3331	MB GABA	IC Six3 En2 Gaba	Neuron	InN	Zeng
Zeng|3335	MB GABA	IC Six3 En2 Gaba	Neuron	InN	Zeng
Zeng|3336	MB GABA	IC Six3 En2 Gaba	Neuron	InN	Zeng
Zeng|3150	MB GABA	IC Six3 En2 Gaba	Neuron	InN	Zeng
Zeng|3162	MB GABA	IC Six3 En2 Gaba	Neuron	InN	Zeng
Zeng|3185	MB GABA	IC Six3 En2 Gaba	Neuron	InN	Zeng
Zeng|3340	MB GABA	IC Six3 En2 Gaba	Neuron	InN	Zeng
Zeng|3312	MB GABA	IC Six3 En2 Gaba	Neuron	InN	Zeng
Zeng|3321	MB GABA	IC Six3 En2 Gaba	Neuron	InN	Zeng
Zeng|3169	MB GABA	IC Six3 En2 Gaba	Neuron	InN	Zeng
Zeng|3184	MB GABA	IC Six3 En2 Gaba	Neuron	InN	Zeng
Zeng|3304	MB GABA	IC Six3 En2 Gaba	Neuron	InN	Zeng
Zeng|3316	MB GABA	IC Six3 En2 Gaba	Neuron	InN	Zeng
Zeng|3323	MB GABA	IC Six3 En2 Gaba	Neuron	InN	Zeng
Zeng|3332	MB GABA	IC Six3 En2 Gaba	Neuron	InN	Zeng
Zeng|3333	MB GABA	IC Six3 En2 Gaba	Neuron	InN	Zeng
Zeng|3337	MB GABA	IC Six3 En2 Gaba	Neuron	InN	Zeng
Zeng|3302	MB GABA	IC Six3 En2 Gaba	Neuron	InN	Zeng
Zeng|3309	MB GABA	IC Six3 En2 Gaba	Neuron	InN	Zeng
Zeng|3310	MB GABA	IC Six3 En2 Gaba	Neuron	InN	Zeng
Zeng|3311	MB GABA	IC Six3 En2 Gaba	Neuron	InN	Zeng
Zeng|3322	MB GABA	IC Six3 En2 Gaba	Neuron	InN	Zeng
Zeng|3328	MB GABA	IC Six3 En2 Gaba	Neuron	InN	Zeng
Zeng|3338	MB GABA	IC Six3 En2 Gaba	Neuron	InN	Zeng
Zeng|3305	MB GABA	IC Six3 En2 Gaba	Neuron	InN	Zeng
Zeng|3306	MB GABA	IC Six3 En2 Gaba	Neuron	InN	Zeng
Zeng|3308	MB GABA	IC Six3 En2 Gaba	Neuron	InN	Zeng
Zeng|3324	MB GABA	IC Six3 En2 Gaba	Neuron	InN	Zeng
Zeng|3325	MB GABA	IC Six3 En2 Gaba	Neuron	InN	Zeng
Zeng|3334	MB GABA	IC Six3 En2 Gaba	Neuron	InN	Zeng
Zeng|3301	MB GABA	IC Six3 En2 Gaba	Neuron	InN	Zeng
Zeng|3303	MB GABA	IC Six3 En2 Gaba	Neuron	InN	Zeng
Zeng|3318	MB GABA	IC Six3 En2 Gaba	Neuron	InN	Zeng
Zeng|3319	MB GABA	IC Six3 En2 Gaba	Neuron	InN	Zeng
Zeng|3320	MB GABA	IC Six3 En2 Gaba	Neuron	InN	Zeng
Zeng|3238	MB GABA	IC Six3 En2 Gaba	Neuron	InN	Zeng
Zeng|3346	MB GABA	IC Six3 En2 Gaba	Neuron	InN	Zeng
Zeng|3347	MB GABA	IC Six3 En2 Gaba	Neuron	InN	Zeng
Zeng|3326	MB GABA	PAG-MRN-RN Foxa2 Gaba	Neuron	InN	Zeng
Zeng|3345	MB GABA	PAG-MRN-RN Foxa2 Gaba	Neuron	InN	Zeng
Zeng|3348	MB GABA	PAG-MRN-RN Foxa2 Gaba	Neuron	InN	Zeng
Zeng|3349	MB GABA	PAG-MRN-RN Foxa2 Gaba	Neuron	InN	Zeng
Zeng|3449	MB GABA	PAG-MRN-RN Foxa2 Gaba	Neuron	InN	Zeng
Zeng|3452	MB GABA	PAG-MRN-RN Foxa2 Gaba	Neuron	InN	Zeng
Zeng|3139	MB GABA	PAG-MRN-RN Foxa2 Gaba	Neuron	InN	Zeng
Zeng|3143	MB GABA	PAG-MRN-RN Foxa2 Gaba	Neuron	InN	Zeng
Zeng|3149	MB GABA	PAG-MRN-RN Foxa2 Gaba	Neuron	InN	Zeng
Zeng|3153	MB GABA	PAG-MRN-RN Foxa2 Gaba	Neuron	InN	Zeng
Zeng|3178	MB GABA	PAG-MRN-RN Foxa2 Gaba	Neuron	InN	Zeng
Zeng|3179	MB GABA	PAG-MRN-RN Foxa2 Gaba	Neuron	InN	Zeng
Zeng|3117	MB GABA	PAG-MRN-RN Foxa2 Gaba	Neuron	InN	Zeng
Zeng|3140	MB GABA	PAG-MRN-RN Foxa2 Gaba	Neuron	InN	Zeng
Zeng|3141	MB GABA	PAG-MRN-RN Foxa2 Gaba	Neuron	InN	Zeng
Zeng|3142	MB GABA	PAG-MRN-RN Foxa2 Gaba	Neuron	InN	Zeng
Zeng|3115	MB GABA	PAG-MRN-RN Foxa2 Gaba	Neuron	InN	Zeng
Zeng|3118	MB GABA	PAG-MRN-RN Foxa2 Gaba	Neuron	InN	Zeng
Zeng|3120	MB GABA	PAG-MRN-RN Foxa2 Gaba	Neuron	InN	Zeng
Zeng|3138	MB GABA	PAG-MRN-RN Foxa2 Gaba	Neuron	InN	Zeng
Zeng|3119	MB GABA	PAG-MRN-RN Foxa2 Gaba	Neuron	InN	Zeng
Zeng|3121	MB GABA	PAG-MRN-RN Foxa2 Gaba	Neuron	InN	Zeng
Zeng|3435	MB GABA	PAG-MRN-RN Foxa2 Gaba	Neuron	InN	Zeng
Zeng|3114	MB GABA	PAG-ND-PCG Onecut1 Gaba	Neuron	InN	Zeng
Zeng|3151	MB GABA	PAG-ND-PCG Onecut1 Gaba	Neuron	InN	Zeng
Zeng|3154	MB GABA	PAG-ND-PCG Onecut1 Gaba	Neuron	InN	Zeng
Zeng|3130	MB GABA	PAG-ND-PCG Onecut1 Gaba	Neuron	InN	Zeng
Zeng|3152	MB GABA	PAG-ND-PCG Onecut1 Gaba	Neuron	InN	Zeng
Zeng|3156	MB GABA	PAG-ND-PCG Onecut1 Gaba	Neuron	InN	Zeng
Zeng|3128	MB GABA	PAG-ND-PCG Onecut1 Gaba	Neuron	InN	Zeng
Zeng|3133	MB GABA	PAG-ND-PCG Onecut1 Gaba	Neuron	InN	Zeng
Zeng|3157	MB GABA	PAG-ND-PCG Onecut1 Gaba	Neuron	InN	Zeng
Zeng|3129	MB GABA	PAG-ND-PCG Onecut1 Gaba	Neuron	InN	Zeng
Zeng|3131	MB GABA	PAG-ND-PCG Onecut1 Gaba	Neuron	InN	Zeng
Zeng|3125	MB GABA	PAG-ND-PCG Onecut1 Gaba	Neuron	InN	Zeng
Zeng|3135	MB GABA	PAG-ND-PCG Onecut1 Gaba	Neuron	InN	Zeng
Zeng|3136	MB GABA	PAG-ND-PCG Onecut1 Gaba	Neuron	InN	Zeng
Zeng|3158	MB GABA	PAG-ND-PCG Onecut1 Gaba	Neuron	InN	Zeng
Zeng|3123	MB GABA	PAG-ND-PCG Onecut1 Gaba	Neuron	InN	Zeng
Zeng|3126	MB GABA	PAG-ND-PCG Onecut1 Gaba	Neuron	InN	Zeng
Zeng|3127	MB GABA	PAG-ND-PCG Onecut1 Gaba	Neuron	InN	Zeng
Zeng|3122	MB GABA	PAG-ND-PCG Onecut1 Gaba	Neuron	InN	Zeng
Zeng|3124	MB GABA	PAG-ND-PCG Onecut1 Gaba	Neuron	InN	Zeng
Zeng|3132	MB GABA	PAG-ND-PCG Onecut1 Gaba	Neuron	InN	Zeng
Zeng|3145	MB GABA	PAG-ND-PCG Onecut1 Gaba	Neuron	InN	Zeng
Zeng|3147	MB GABA	PAG-ND-PCG Onecut1 Gaba	Neuron	InN	Zeng
Zeng|3167	MB GABA	PAG-ND-PCG Onecut1 Gaba	Neuron	InN	Zeng
Zeng|3166	MB GABA	PAG-ND-PCG Onecut1 Gaba	Neuron	InN	Zeng
Zeng|3168	MB GABA	PAG-ND-PCG Onecut1 Gaba	Neuron	InN	Zeng
Zeng|3393	MB GABA	PAG-RN Nkx2-2 Otx1 Gaba	Neuron	InN	Zeng
Zeng|3394	MB GABA	PAG-RN Nkx2-2 Otx1 Gaba	Neuron	InN	Zeng
Zeng|3399	MB GABA	PAG-RN Nkx2-2 Otx1 Gaba	Neuron	InN	Zeng
Zeng|3401	MB GABA	PAG-RN Nkx2-2 Otx1 Gaba	Neuron	InN	Zeng
Zeng|3406	MB GABA	PAG-RN Nkx2-2 Otx1 Gaba	Neuron	InN	Zeng
Zeng|3407	MB GABA	PAG-RN Nkx2-2 Otx1 Gaba	Neuron	InN	Zeng
Zeng|3408	MB GABA	PAG-RN Nkx2-2 Otx1 Gaba	Neuron	InN	Zeng
Zeng|3386	MB GABA	PAG-RN Nkx2-2 Otx1 Gaba	Neuron	InN	Zeng
Zeng|3388	MB GABA	PAG-RN Nkx2-2 Otx1 Gaba	Neuron	InN	Zeng
Zeng|3391	MB GABA	PAG-RN Nkx2-2 Otx1 Gaba	Neuron	InN	Zeng
Zeng|3392	MB GABA	PAG-RN Nkx2-2 Otx1 Gaba	Neuron	InN	Zeng
Zeng|3404	MB GABA	PAG-RN Nkx2-2 Otx1 Gaba	Neuron	InN	Zeng
Zeng|3405	MB GABA	PAG-RN Nkx2-2 Otx1 Gaba	Neuron	InN	Zeng
Zeng|3409	MB GABA	PAG-RN Nkx2-2 Otx1 Gaba	Neuron	InN	Zeng
Zeng|3400	MB GABA	PAG-RN Nkx2-2 Otx1 Gaba	Neuron	InN	Zeng
Zeng|3189	MB GABA	PAG-RN Nkx2-2 Otx1 Gaba	Neuron	InN	Zeng
Zeng|3342	MB GABA	PAG-RN Nkx2-2 Otx1 Gaba	Neuron	InN	Zeng
Zeng|3389	MB GABA	PAG-RN Nkx2-2 Otx1 Gaba	Neuron	InN	Zeng
Zeng|3395	MB GABA	PAG-RN Nkx2-2 Otx1 Gaba	Neuron	InN	Zeng
Zeng|3397	MB GABA	PAG-RN Nkx2-2 Otx1 Gaba	Neuron	InN	Zeng
Zeng|3398	MB GABA	PAG-RN Nkx2-2 Otx1 Gaba	Neuron	InN	Zeng
Zeng|3402	MB GABA	PAG-RN Nkx2-2 Otx1 Gaba	Neuron	InN	Zeng
Zeng|3403	MB GABA	PAG-RN Nkx2-2 Otx1 Gaba	Neuron	InN	Zeng
Zeng|3387	MB GABA	PAG-RN Nkx2-2 Otx1 Gaba	Neuron	InN	Zeng
Zeng|3390	MB GABA	PAG-RN Nkx2-2 Otx1 Gaba	Neuron	InN	Zeng
Zeng|3396	MB GABA	PAG-RN Nkx2-2 Otx1 Gaba	Neuron	InN	Zeng
Zeng|3255	MB GABA	PAG-RN Nkx2-2 Otx1 Gaba	Neuron	InN	Zeng
Zeng|3175	MB GABA	PAG-RN Nkx2-2 Otx1 Gaba	Neuron	InN	Zeng
Zeng|3269	MB GABA	PAG-RN Nkx2-2 Otx1 Gaba	Neuron	InN	Zeng
Zeng|3272	MB GABA	PAG-RN Nkx2-2 Otx1 Gaba	Neuron	InN	Zeng
Zeng|3163	MB GABA	PAG-RN Nkx2-2 Otx1 Gaba	Neuron	InN	Zeng
Zeng|3176	MB GABA	PAG-RN Nkx2-2 Otx1 Gaba	Neuron	InN	Zeng
Zeng|3177	MB GABA	PAG-RN Nkx2-2 Otx1 Gaba	Neuron	InN	Zeng
Zeng|3187	MB GABA	PAG-RN Nkx2-2 Otx1 Gaba	Neuron	InN	Zeng
Zeng|3339	MB GABA	PAG-RN Nkx2-2 Otx1 Gaba	Neuron	InN	Zeng
Zeng|3341	MB GABA	PAG-RN Nkx2-2 Otx1 Gaba	Neuron	InN	Zeng
Zeng|3343	MB GABA	PAG-RN Nkx2-2 Otx1 Gaba	Neuron	InN	Zeng
Zeng|3344	MB GABA	PAG-RN Nkx2-2 Otx1 Gaba	Neuron	InN	Zeng
Zeng|3186	MB GABA	PRT Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3148	MB GABA	PRT Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3159	MB GABA	PRT Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3160	MB GABA	PRT Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3161	MB GABA	PRT Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3171	MB GABA	PRT Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3172	MB GABA	PRT Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3180	MB GABA	PRT Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3182	MB GABA	PRT Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3183	MB GABA	PRT Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3427	MB GABA	PRT Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3411	MB GABA	PRT Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3412	MB GABA	PRT Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3413	MB GABA	PRT Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3414	MB GABA	PRT Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3415	MB GABA	PRT Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3423	MB GABA	PRT Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3419	MB GABA	PRT Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3421	MB GABA	PRT Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3426	MB GABA	PRT Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3432	MB GABA	PRT Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3433	MB GABA	PRT Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3425	MB GABA	PRT Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3429	MB GABA	PRT Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3434	MB GABA	PRT Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3428	MB GABA	PRT Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3416	MB GABA	PRT Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3418	MB GABA	PRT Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3420	MB GABA	PRT Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3424	MB GABA	PRT Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3173	MB GABA	PRT Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3250	MB GABA	PRT Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3276	MB GABA	PRT Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3300	MB GABA	PRT Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3422	MB GABA	PRT Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3170	MB GABA	PRT Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3181	MB GABA	PRT Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3165	MB GABA	LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3289	MB GABA	LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3299	MB GABA	LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3287	MB GABA	LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3294	MB GABA	LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3295	MB GABA	LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3296	MB GABA	LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3298	MB GABA	LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3475	MB GABA	LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3476	MB GABA	LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3478	MB GABA	LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3481	MB GABA	LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3491	MB GABA	LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3496	MB GABA	LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3297	MB GABA	LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3488	MB GABA	LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3494	MB GABA	LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3495	MB GABA	LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3498	MB GABA	LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3499	MB GABA	LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3480	MB GABA	LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3486	MB GABA	LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3487	MB GABA	LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3492	MB GABA	LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3497	MB GABA	LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3479	MB GABA	LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3482	MB GABA	LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3483	MB GABA	LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3485	MB GABA	LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba	Neuron	InN	Zeng
Zeng|3490	MB GABA	LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba	Neuron	InN	Zeng
